datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-14,BMY,4.709,1.201,0.31,2.944,0.832,0.255,0.62,39.776,5.801,11.4,4.917,29.6358528267,28.8936111955
2001-11-14,BMY,4.743,0.014,-0.143,2.801,1.48,0.003,0.0,39.999,5.59,10.649,5.132,29.0050056943,21.596186108
2002-04-01,BMY,5.282,0.02,2.699,5.5,1.52,0.004,0.01,346.202,4.028,7.288,5.543,21.5481827306,16.2274334896
2002-05-15,BMY,4.082,0.585,-2.118,3.382,1.321,0.143,0.3,31.983,3.094,5.423,5.547,16.1360870097,12.3808922391
2002-08-14,BMY,4.053,0.44,0.165,3.547,1.313,0.109,0.23,43.186,2.518,4.269,5.531,12.8319958633,12.4930405786
2003-03-19,BMY,4.537,0.357,0.015,3.562,1.715,0.079,0.19,31.238,2.439,4.762,4.75,12.5876848254,11.9697135668
2003-03-28,BMY,4.794,0.374,0.416,3.978,1.774,0.078,0.19,20.218,2.305,4.658,4.632,12.0031174187,14.7609700358
2003-05-14,BMY,4.711,0.761,0.35,4.328,1.728,0.162,0.39,26.356,2.814,5.477,4.802,14.8117143942,14.8617658977
2003-08-08,BMY,5.052,0.878,-0.021,4.307,1.696,0.174,0.45,21.284,2.642,5.247,4.963,14.8218914779,14.3825353769
2003-11-12,BMY,5.337,0.884,0.646,4.953,1.636,0.166,0.46,17.07,2.486,4.913,5.196,14.6819316298,15.0184546063
2004-03-15,BMY,5.794,0.583,-0.898,2.444,1.807,0.101,0.3,15.742,2.34,4.997,5.044,14.6463364898,15.2919928093
2004-05-10,BMY,5.181,0.964,0.621,3.065,1.692,0.186,0.5,14.913,2.31,4.685,5.432,14.9273375961,14.4391701334
2004-06-28,BMY,5.181,0.964,0.621,3.065,1.692,0.186,0.5,14.537,2.252,4.567,5.432,14.5509193116,13.6821324674
2004-08-06,BMY,5.43,0.527,0.093,3.158,1.779,0.097,0.27,14.908,2.028,4.228,5.371,13.4858236102,14.3542717749
2004-11-09,BMY,5.427,0.758,0.223,3.381,1.83,0.14,0.39,16.454,2.134,4.37,5.491,14.4144574008,15.2528730316
2005-03-04,BMY,3.342,0.139,0.194,3.68,1.983,0.042,0.07,20.433,2.518,4.783,5.245,15.2163537825,15.9861940426
2005-05-09,BMY,4.532,0.533,-0.369,3.311,1.736,0.118,0.27,25.904,2.706,4.883,5.326,15.9615809648,15.5540299874
2005-08-03,BMY,4.889,1.004,-1.513,1.798,1.336,0.205,0.51,20.169,2.699,4.545,5.533,15.6162461074,13.2421654336
2005-11-03,BMY,4.767,0.964,0.331,2.129,1.273,0.202,0.49,15.697,2.364,3.678,5.77,13.3366173982,14.6235793265
2006-03-14,BMY,5.019,0.499,0.921,3.05,1.511,0.099,0.25,14.961,2.337,4.004,5.733,14.6044552035,16.2991351219
2006-05-08,BMY,4.676,0.714,-0.573,2.477,1.376,0.153,0.36,15.522,2.552,4.273,5.905,16.1895285962,14.8438179487
