datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2002-07-22,CA,0.765,-0.065,-0.367,0.0,1.465,-0.085,-0.11,,,1.273,8.019,7.94980771306,10.036534909
2002-10-22,CA,0.772,-0.052,-0.039,0.0,1.433,-0.067,-0.09,,,1.529,7.916,9.42141756396,11.6760011488
2003-01-22,CA,0.778,-0.044,0.223,0.0,1.476,-0.057,-0.08,,,1.73,7.756,10.4654458457,14.2064522339
2003-05-15,CA,0.801,,0.511,,,,-0.18,,3.759,,,15.823129316,17.6188118385
2003-07-23,CA,0.813,0.01,-0.641,0.0,1.266,0.012,0.02,,4.069,2.913,7.645,17.3997502348,19.7311915882
2003-10-22,CA,0.833,-0.087,0.109,0.0,1.268,-0.104,-0.15,,4.516,3.353,7.501,19.6764261873,22.4346030219
2004-01-21,CA,0.513,0.022,0.375,0.0,1.311,0.043,0.04,,5.592,3.75,7.61,22.2857181258,21.7998832018
2004-06-14,CA,0.85,0.089,0.545,1.793,1.263,0.105,0.15,641.879,4.898,3.401,8.093,21.5021134097,21.0397866272
2004-06-25,CA,0.85,0.089,0.545,1.793,1.263,0.105,0.15,625.271,4.772,3.313,8.093,20.9457540613,19.6503703225
2004-07-30,CA,0.86,0.053,0.266,2.059,1.21,0.062,0.09,191.871,4.834,3.078,8.191,19.8073221622,21.0315465113
2004-10-20,CA,0.855,-0.096,0.083,2.142,1.214,-0.112,-0.16,232.362,5.133,3.344,8.049,21.172803167,21.9078274456
2005-02-09,CA,0.911,0.036,1.012,3.154,1.388,0.04,0.06,196.662,4.639,3.23,8.477,21.4284954965,21.9637483474
2005-06-29,CA,0.904,0.018,-0.325,2.829,1.29,0.02,0.03,1485.724,4.63,3.377,8.19,21.9165314036,21.3184501157
2005-08-09,CA,0.92,0.094,-1.053,1.776,1.029,0.102,0.16,305.876,4.431,3.216,8.426,21.3420585876,22.7357985882
2005-11-09,CA,0.942,0.041,-0.247,1.529,1.019,0.044,0.07,88.695,4.559,3.429,8.37,22.743679281,21.4330331078
2006-02-09,CA,0.967,0.059,0.233,1.762,1.062,0.061,0.1,73.774,4.19,3.207,8.423,21.3699019352,16.1128441862
2006-07-31,CA,0.967,-0.035,0.069,1.831,1.23,-0.036,-0.06,75.002,3.142,2.548,8.139,16.5958336188,17.1500837873
2006-08-14,CA,0.956,0.035,-0.331,1.5,1.216,0.037,0.06,123.585,3.225,2.704,8.048,17.2371802424,20.0505065368
2006-11-03,CA,0.996,0.053,-0.205,1.295,1.734,0.053,0.09,107.705,3.104,3.358,6.414,18.170771549,21.1511477589
2007-02-06,CA,1.002,0.05,0.538,1.833,1.789,0.05,0.1,135.68,3.564,3.856,6.916,21.0558007367,20.6915091365
2007-05-30,CA,1.005,-0.02,0.442,2.275,1.869,-0.02,-0.03,118.171,3.536,3.779,7.055,20.9939235008,20.7391977199
2007-08-03,CA,1.025,0.129,-0.546,1.729,2.008,0.126,0.25,61.572,3.241,3.9,6.375,20.1812638842,20.9719613397
2007-11-02,CA,1.067,0.137,0.159,1.888,1.835,0.128,0.27,47.345,3.419,4.004,6.836,21.6984358285,20.5243379592
2008-02-05,CA,1.1,0.163,0.189,2.078,1.754,0.148,0.32,30.778,2.999,3.417,7.224,19.6048604114,19.3590273718
2008-05-23,CA,1.085,0.071,0.718,2.796,2.17,0.065,0.14,25.789,3.015,3.477,7.258,20.1039134063,19.270789744
2008-08-01,CA,1.087,0.2,-0.385,2.411,1.801,0.184,0.39,20.231,2.662,2.94,7.674,17.8828436051,12.7882500428
2008-10-30,CA,1.107,0.209,-0.011,2.4,1.642,0.189,0.41,14.017,2.058,2.206,7.947,13.9778546979,14.1238537157
2009-01-30,CA,1.042,0.213,-0.03,2.369,1.551,0.204,0.41,13.47,2.16,2.187,8.305,14.4944739501,14.7515893655
2009-05-15,CA,1.035,0.072,0.343,2.713,1.59,0.07,0.14,13.487,2.191,2.155,8.468,14.5658824386,15.4747641946
2009-07-24,CA,1.05,0.195,0.266,2.979,1.455,0.186,0.37,15.691,2.553,2.34,8.953,16.7049755741,19.3875014539
2009-10-23,CA,1.072,0.218,0.047,3.025,1.37,0.203,0.42,16.152,2.685,2.344,9.286,17.5225389552,18.1553714002
2010-01-29,CA,1.128,0.257,-0.401,2.624,1.27,0.228,0.49,15.447,2.675,2.283,9.748,17.9035519311,17.8062977217
2010-05-14,CA,1.103,0.101,-0.041,2.583,1.376,0.092,0.2,13.67,2.421,2.115,9.732,16.6913695737,15.5754820489
2010-07-23,CA,1.091,0.217,-0.107,2.476,1.213,0.199,0.42,12.61,2.276,1.96,10.004,15.8038137229,17.7804988094
2010-10-22,CA,1.11,0.222,0.049,2.525,1.174,0.2,0.43,14.681,2.64,2.212,10.434,18.6875003572,20.7566911312
2011-01-26,CA,1.165,0.2,-0.007,2.518,1.176,0.172,0.39,16.156,2.675,2.188,10.822,19.1852066291,18.7732037847
2011-05-16,CA,1.063,0.188,0.531,3.049,1.209,0.177,0.36,14.027,2.619,2.064,11.173,18.7895995958,18.7895995958
2011-05-17,CA,1.063,0.188,0.531,3.049,1.209,0.177,0.36,13.972,2.609,2.056,11.173,18.7158184456,18.596245781
2011-07-22,CA,1.163,0.241,-0.288,2.761,1.071,0.207,0.48,13.504,2.553,2.008,11.446,18.7071577837,18.1360048293
2011-10-27,CA,1.2,0.236,-0.558,2.203,1.023,0.197,0.47,12.634,2.38,1.928,11.495,18.2430747942,18.2430747942
2011-10-28,CA,1.2,0.236,-0.558,2.203,1.023,0.197,0.47,12.668,2.387,1.934,11.495,18.2924917011,18.8408726964
2012-01-25,CA,1.263,0.263,0.155,2.358,1.058,0.208,0.54,13.099,2.592,2.122,11.859,20.6655146184,22.0089347255
2012-05-11,CA,1.188,0.211,0.321,2.679,1.223,0.178,0.45,12.96,2.56,2.284,11.532,21.7672614551,22.1451185294
2012-07-27,CA,1.145,0.24,-0.138,2.541,1.089,0.21,0.51,12.062,2.389,2.108,11.692,20.5585146363,21.1633133956
2012-10-26,CA,1.152,0.222,-0.455,2.086,1.09,0.193,0.48,11.153,2.199,1.959,11.638,19.3189603808,21.5520453685
2013-01-24,CA,1.195,0.251,0.267,2.353,1.135,0.21,0.55,12.286,2.426,2.097,11.976,21.4059006651,23.5390262221
2013-05-09,CA,1.151,0.242,0.24,2.593,1.167,0.21,0.53,12.722,2.617,2.229,12.111,23.2785427154,26.1787337345
2013-07-25,CA,1.128,0.335,-0.132,2.461,1.019,0.297,0.74,12.896,2.927,2.405,12.511,26.0385530987,26.8467020319
2013-10-25,CA,1.14,0.24,0.329,2.79,1.043,0.211,0.53,13.268,3.071,2.497,12.667,27.7389418823,30.4990845052
2014-01-22,CA,1.163,0.232,0.184,2.974,1.07,0.199,0.52,14.641,3.352,2.699,12.758,30.5346934772,26.0037088477
2014-05-19,CA,1.084,0.107,0.278,3.252,1.157,0.099,0.25,14.175,2.87,2.326,12.659,26.2369259675,25.6552890111
2014-07-24,CA,1.069,0.217,0.003,3.255,1.058,0.203,0.49,16.572,2.96,2.327,12.882,26.8132146082,25.0149360815
2014-10-23,CA,1.079,0.256,-0.062,3.193,0.98,0.237,0.58,15.205,2.809,2.15,13.052,25.3252271529,29.1434762627
2015-01-21,CA,1.091,0.222,-0.51,2.683,0.903,0.203,0.5,16.531,3.067,2.311,13.036,27.551489716,29.1167395069
2015-05-08,CA,1.023,0.151,0.121,2.804,0.952,0.148,0.34,16.423,3.26,2.47,12.901,29.3021964464,27.9512255698
2015-07-24,CA,0.977,0.212,0.012,2.816,0.868,0.217,0.48,15.259,3.077,2.238,13.149,27.1846702197,26.1572270639
2015-10-22,CA,1.005,0.174,-0.358,2.458,0.91,0.173,0.39,16.197,3.001,2.156,13.078,26.4498557319,25.5809707177
2016-01-27,CA,1.034,0.223,-0.105,2.353,1.077,0.216,0.53,15.206,2.861,2.211,12.445,26.4193786965,28.7956025667
2016-05-12,CA,1.009,0.174,0.459,2.812,1.083,0.172,0.42,16.756,3.26,2.44,13.085,30.2565276636,33.4763739852
2016-07-28,CA,0.999,0.198,-0.036,2.776,1.01,0.198,0.47,18.774,3.567,2.66,13.109,33.3891706955,31.3047885826
2016-10-28,CA,1.018,0.212,-0.191,2.585,0.933,0.208,0.5,15.916,3.164,2.323,13.355,30.0065232625,32.4243301698
2017-01-25,CA,1.007,0.208,0.243,2.828,0.977,0.207,0.5,16.524,3.245,2.347,13.501,30.8104940096,31.782711384
2017-05-12,CA,1.012,0.157,-0.057,2.771,1.217,0.155,0.37,17.041,3.272,2.322,13.742,31.3561643836,30.85
2017-08-03,CA,1.025,0.178,0.202,2.971,1.126,0.174,0.42,17.213,3.199,2.214,14.142,31.85,31.99
