datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-24,CAH,12.401,0.2533,0.5379,0.9341,1.693,0.02,0.56,39.472,0.706,6.224,12.136,43.4220416292,37.5243364432
2001-11-14,CAH,11.7734,0.1763,-0.0621,0.872,1.773,0.015,0.39,35.569,0.638,5.217,12.611,37.8473745433,38.5201783612
2002-02-13,CAH,13.0921,0.2833,-0.4731,0.3989,1.737,0.022,0.63,33.274,0.605,5.14,13.032,38.6933027583,40.1271271075
2002-05-08,CAH,13.242,0.3003,0.4703,0.8692,1.618,0.023,0.67,31.259,0.627,5.101,13.801,40.4792713679,37.0042578811
2002-09-30,CAH,13.0282,0.2963,0.5128,1.382,1.571,0.023,0.65,26.185,0.541,4.326,14.175,35.9354385668,39.1765609199
2002-11-14,CAH,13.0861,0.2883,-0.4364,0.9456,1.555,0.022,0.65,25.659,0.572,4.718,14.24,39.136119108,31.1651797541
2003-02-14,CAH,14.091,0.3675,0.0533,0.9989,1.63,0.026,0.83,20.305,0.476,3.893,14.779,32.506114788,33.5978694623
2003-05-15,CAH,14.3713,0.3831,-0.4537,0.5452,1.551,0.027,0.85,19.561,0.479,3.605,16.131,33.9167448411,33.4394114826
2003-09-29,CAH,15.1886,0.3669,1.1788,1.724,1.387,0.024,0.82,17.888,0.443,3.241,17.371,33.741033234,34.4664596451
2003-11-14,CAH,15.3887,0.3286,-0.732,0.992,1.618,0.021,0.75,18.263,0.447,3.708,16.169,35.4008088626,37.9723603893
2004-02-17,CAH,16.3504,0.3758,-0.4477,0.5443,1.571,0.023,0.87,19.588,0.465,3.752,17.526,38.0246159311,43.4086381651
2004-05-14,CAH,16.3923,0.4281,-0.0171,0.5272,1.607,0.026,0.98,21.081,0.499,4.128,17.668,42.6593120145,22.510471448
2004-10-26,CAH,16.9221,0.342,0.5688,1.096,1.679,0.02,0.79,11.524,0.261,2.13,18.528,22.8710111612,28.5000828124
2004-11-09,CAH,17.796,0.2133,0.0564,1.1524,1.709,0.012,0.49,15.987,0.322,2.644,19.039,29.2444228655,33.3847870903
2005-02-09,CAH,18.5546,0.214,0.1213,1.2737,1.546,0.012,0.49,20.46,0.352,2.862,19.809,32.8727861729,32.5473079689
2005-05-09,CAH,19.103,0.3657,0.2758,1.5495,1.552,0.019,0.85,21.224,0.333,2.777,20.088,32.745234721,34.8598601126
2005-09-12,CAH,19.4571,0.2577,-0.1378,1.4117,1.567,0.013,0.6,24.618,0.345,3.01,20.129,35.3144019195,35.6979667713
2005-11-08,CAH,19.3734,0.2283,0.5757,1.9769,1.587,0.012,0.54,24.616,0.343,2.955,20.828,35.732964778,40.7321452059
2006-02-07,CAH,19.919,0.304,0.247,2.2239,1.655,0.015,0.71,25.568,0.38,3.377,20.566,40.8839347681,39.8415117007
2006-05-08,CAH,20.6375,0.1468,-0.5093,1.7134,1.754,0.007,0.35,30.421,0.359,3.319,20.489,39.864882583,39.4479943889
2006-09-01,CAH,21.7083,0.321,-0.3925,1.3209,1.753,0.015,0.78,27.58,0.339,3.249,20.509,39.7990593048,37.6035603011
2006-11-07,CAH,21.3567,0.2707,0.2887,1.6096,1.782,0.013,0.67,24.88,0.31,3.08,20.819,37.5215332141,41.7162869221
2007-02-08,CAH,21.7846,0.7393,-0.4717,1.0033,1.71,0.034,1.84,19.308,0.334,3.203,22.148,41.8218977751,41.6921420752
2007-05-08,CAH,21.8671,0.019,-0.1378,0.8665,2.087,0.001,0.05,20.056,0.312,3.441,19.943,41.35141441,40.8983065152
2007-08-24,CAH,22.2629,0.9022,0.4423,1.3088,2.139,0.041,2.32,13.167,0.293,3.447,19.51,41.0454227257,36.5839825675
2007-11-07,CAH,21.9734,-0.0014,-0.0192,1.2896,2.254,0.0,0.83,13.174,0.249,3.092,19.472,35.6406405513,34.7284663268
2008-02-06,CAH,23.2827,0.3247,-0.1052,1.1844,2.301,0.014,0.91,16.737,0.233,2.93,19.816,34.5098625068,32.0482287807
2008-05-08,CAH,22.9096,0.356,0.3446,1.529,2.193,0.016,1.0,12.223,0.214,2.615,20.797,32.07783727,32.6593975903
2008-08-27,CAH,22.9256,0.318,-0.2377,1.2913,2.027,0.014,0.89,15.232,0.217,2.557,21.793,32.7544067469,22.8917849224
2008-11-07,CAH,24.3472,0.2491,-0.6191,0.6722,2.113,0.01,0.7,11.493,0.153,1.811,22.198,23.7493335771,23.6405004709
2009-02-09,CAH,25.0995,0.3165,0.1004,0.7726,2.078,0.013,0.89,11.371,0.148,1.734,22.748,23.3893238911,21.2529144679
2009-05-07,CAH,24.9387,0.3129,0.5934,1.366,2.027,0.013,0.88,10.964,0.135,1.555,23.553,21.8656327482,20.5397246649
2009-08-27,CAH,25.127,0.2732,0.4815,1.8475,1.879,0.011,0.76,10.729,0.124,1.416,24.337,20.751163007,24.9020196723
2009-11-09,CAH,24.7807,-0.0382,0.3632,1.5848,3.136,-0.002,-0.11,12.575,0.109,2.2,13.76,25.2987637145,27.6649967784
2010-02-05,CAH,24.9197,0.2345,0.162,1.7468,2.984,0.009,0.65,15.001,0.118,2.246,14.557,27.5546762391,30.5093855276
2010-05-06,CAH,24.3428,0.2224,0.892,2.6388,2.968,0.009,0.62,18.012,0.126,2.325,14.945,29.3497219077,26.6543030617
2010-08-26,CAH,24.4596,0.2235,0.1165,2.7553,2.789,0.009,0.62,16.749,0.109,2.039,14.729,26.2683816853,30.3738284214
2010-11-08,CAH,24.4375,0.2948,-0.0431,2.7122,3.003,0.012,0.84,12.603,0.125,2.346,15.016,30.3824548992,36.1890073698
2011-02-08,CAH,25.3718,0.2154,-1.3642,1.348,3.215,0.008,0.62,15.225,0.148,2.685,15.597,36.0849661412,38.8849772726
2011-05-06,CAH,26.0714,0.246,0.6138,1.9618,3.101,0.009,0.71,15.953,0.156,2.763,16.232,38.8327125182,35.2109107665
2011-08-26,CAH,26.7635,0.2027,-0.0325,1.9293,2.906,0.008,0.58,14.747,0.138,2.418,16.734,35.9198552786,38.9225288917
2011-11-04,CAH,26.792,0.2368,0.0813,2.0106,3.057,0.009,0.69,16.779,0.144,2.645,16.572,38.4827263053,36.9648255168
2012-02-07,CAH,27.078,0.262,-0.2129,1.7977,3.093,0.01,0.76,15.473,0.137,2.473,17.182,37.5042643581,38.0920753354
2012-05-08,CAH,26.9175,0.3334,0.6127,2.4104,2.949,0.012,0.96,14.386,0.138,2.386,18.072,38.2342762699,35.6344274351
2012-08-22,CAH,26.7645,0.2368,-0.1361,2.274,2.885,0.009,0.69,12.641,0.126,2.164,18.099,35.4198699192,36.0278516841
2012-11-09,CAH,25.889,0.271,0.166,2.44,2.952,0.01,0.8,12.32,0.127,2.164,18.419,35.9738908478,40.7243615379
2013-02-06,CAH,25.232,0.303,-0.185,2.255,2.767,0.012,0.89,13.167,0.144,2.303,19.241,40.2868572062,42.6167970049
2013-05-08,CAH,24.552,0.345,0.05,2.305,2.913,0.014,1.01,13.714,0.155,2.321,20.029,42.5433988615,47.2079574834
2013-08-20,CAH,25.42,-0.586,-0.404,1.901,3.321,-0.023,-1.72,51.905,0.171,2.901,17.522,47.1525599194,56.8788965376
