datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-14,CB,1.597018,0.131517,-0.005753,0.677319,4.918,0.082,0.54,15.802,1.385,1.443,23.929,18.2857421703,18.6610466424
2001-11-14,CB,1.533495,-0.44259,0.077269,0.754588,5.895,-0.289,-1.95,-115.664,1.539,1.818,19.335,18.7678032021,19.8758548624
2002-03-18,CB,1.960003,0.046265,-0.083207,0.671381,5.039,0.024,0.18,-64.84,1.429,1.555,23.398,19.5586154639,20.7119262707
2002-05-15,CB,1.537863,0.197805,0.148628,0.820009,5.154,0.129,0.74,-150.409,1.52,1.624,23.661,20.8121016003,16.9783673758
2002-08-14,CB,1.624722,0.1039,0.05777,0.877779,5.111,0.064,0.37,-90.061,1.28,1.335,24.328,17.7119332004,15.5023128096
2002-11-14,CB,1.876005,-0.05651,-0.228005,0.649774,5.284,-0.03,-0.24,25.841,1.076,1.168,24.548,15.7774204016,12.6756568385
2003-03-27,CB,2.083415,-0.168646,0.013581,0.663355,5.753,-0.081,-0.68,77.665,0.835,0.931,24.361,12.6395517686,17.0321544964
2003-05-13,CB,2.231701,0.247444,-0.185986,0.477369,5.736,0.111,0.92,63.476,1.025,1.195,25.321,17.0068633909,18.6316413338
2003-08-14,CB,2.625826,0.370468,0.098405,0.575774,4.701,0.141,1.35,23.471,1.046,1.127,29.391,18.7904498444,18.520478515
2003-11-14,CB,2.666682,0.354965,-0.144653,0.431121,4.66,0.133,1.25,11.104,0.93,1.07,29.906,18.3059555978,19.9977868049
2004-03-15,CB,3.165533,0.444605,0.130529,0.56165,4.609,0.14,1.57,6.788,0.9,1.089,31.424,19.741109126,19.3899879195
2004-05-10,CB,2.894858,0.446825,0.052236,0.613886,4.585,0.154,1.56,5.81,0.827,1.0,33.188,19.2969206308,19.1917103307
2004-08-09,CB,3.06794,0.413009,0.049354,0.66324,4.819,0.135,1.43,5.64,0.793,1.015,32.464,19.3354794495,22.0434174285
2004-11-09,CB,3.072588,-0.00262,-0.037441,0.625799,4.745,-0.001,-0.05,8.097,0.864,1.112,33.356,21.9516808276,23.9494278021
2005-03-16,CB,3.296739,0.281875,-0.091804,0.533995,4.728,0.086,0.96,9.947,0.919,1.152,34.229,23.6481958958,25.271771331
2005-05-10,CB,3.155682,0.433028,0.040123,0.574118,4.716,0.137,1.49,10.557,0.943,1.192,34.667,24.850825705,26.6946897916
2005-08-12,CB,3.258,0.467,0.076778,0.651,4.536,0.143,1.61,10.717,0.989,1.204,36.409,26.5613678449,28.8960066261
2005-11-09,CB,3.494,-0.112,-0.242,0.409,4.919,-0.032,-0.43,14.294,1.158,1.495,31.735,28.9692770074,30.0478906202
2006-03-16,CB,3.188,0.236,0.103,0.512,4.286,0.074,0.69,15.471,1.215,1.346,36.465,30.3414175722,32.4221422313
2006-05-05,CB,3.181,0.489,-0.114,0.398,4.334,0.154,1.49,15.823,1.302,1.406,37.385,32.5522272498,30.0861662359
2006-08-07,CB,3.289,0.573,0.154,0.552,4.245,0.174,1.75,13.017,1.174,1.238,38.292,29.6731697776,33.6802613559
2006-11-08,CB,3.389,0.578,-0.008,0.544,3.917,0.171,1.76,9.305,1.338,1.292,41.426,33.8129354298,32.5722256516
2007-03-01,CB,3.469,0.665,0.021,0.565,3.702,0.192,2.03,7.194,1.244,1.161,43.7,32.3681310323,35.2426948878
2007-05-08,CB,3.549,0.701,0.074,0.639,3.664,0.198,2.13,7.146,1.313,1.202,45.523,35.2878199773,33.4666276537
2007-08-07,CB,3.468,0.649,-0.018,0.621,3.677,0.187,1.96,6.433,1.202,1.098,46.127,33.0041654965,33.7725839825
2007-11-07,CB,3.642,0.656,-0.115,0.506,3.487,0.18,1.98,6.145,1.162,1.024,48.652,32.7850815269,34.946091455
