datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-27,CBG,0.0,-0.000730347,,0.22949928,74.886,,-1.27,,,,0.005,6.11666666667,6.11666666667
2001-11-14,CBG,0.225566,0.001978,-0.21877728,0.024211,3.975,0.009,0.02,,,,2.29,6.11666666667,6.11666666667
2002-03-27,CBG,0.337262,0.016178,0.03305,0.05745,4.265,0.048,0.22,,,,3.645,6.11666666667,6.11666666667
2002-05-14,CBG,0.22399,-0.006095,-0.036789,0.019997,3.857,-0.027,-0.04,,,,1.85,6.11666666667,6.11666666667
2002-08-13,CBG,0.284893,0.007289,-0.001643,0.018211,4.024,0.026,0.05,,,,1.982,6.11666666667,6.11666666667
2002-11-14,CBG,0.284928,0.001881,0.000935,0.018484,3.853,0.007,0.01,,,,1.906,6.11666666667,6.11666666667
2003-03-25,CBG,0.376466,0.015097,0.060411,0.079701,4.249,0.04,0.11,,,,1.862,6.11666666667,6.11666666667
2003-05-14,CBG,0.263724,-0.001347,-0.061499,0.01937,3.743,-0.005,-0.01,,,,1.856,6.11666666667,6.11666666667
2003-08-14,CBG,0.321717,0.005172,0.003511,0.223018,5.157,0.016,0.04,,,,1.867,6.11666666667,6.11666666667
2003-11-14,CBG,0.423376,-0.028445,0.063088,0.103406,4.622,-0.067,-0.15,,,,1.868,6.11666666667,6.11666666667
2004-03-30,CBG,0.621257,-0.010084,0.07771,0.17878,5.629,-0.016,-0.05,,,,2.013,6.11666666667,6.11666666667
2004-05-17,CBG,0.440992,-0.016568,-0.108668,0.069419,5.128,-0.038,-0.08,,,,1.537,6.11666666667,6.33333333333
2004-06-28,CBG,0.440992,-0.016568,-0.108668,0.069419,5.128,-0.038,-0.09,-24.958,0.689,3.992,1.664,6.33333333333,6.47333333333
2004-08-09,CBG,0.550916,0.002965,0.126586,0.191636,3.878,0.005,0.02,-25.363,0.649,2.918,2.361,6.36,8.96
2004-11-09,CBG,0.574999,0.011895,-0.032213,0.158539,3.183,0.021,0.06,-153.099,0.825,3.775,2.231,8.54333333333,11.5
2005-03-15,CBG,0.798189,0.066433,0.105785,0.266109,3.046,0.083,0.33,38.166,1.044,4.412,2.554,11.4533333333,11.6033333333
2005-05-10,CBG,0.538266,0.014572,-0.097935,0.166888,2.44,0.027,0.07,25.698,1.0,4.251,2.627,11.4,15.3366666667
2005-08-09,CBG,0.672163,0.050421,0.036205,0.198058,2.519,0.075,0.23,23.744,1.317,5.356,2.87,15.63,18.4666666667
2005-11-08,CBG,0.744198,0.056936,0.091285,0.290533,2.378,0.077,0.26,21.127,1.446,5.661,3.159,18.1166666667,24.41
2006-03-15,CBG,0.956014,0.095412,0.16732,0.454468,2.539,0.1,0.43,25.85,1.93,7.079,3.543,25.2833333333,29.19
2006-05-10,CBG,0.680091,0.03691,-0.196785,0.258419,1.921,0.054,0.16,26.987,2.119,7.656,3.746,29.0133333333,22.88
2006-08-09,CBG,0.836228,0.064254,-0.129833,0.131186,1.573,0.077,0.28,19.134,1.508,5.27,4.074,21.69,30.18
2006-11-09,CBG,0.903876,0.092309,0.011101,0.14701,1.501,0.102,0.41,24.555,2.101,6.915,4.524,31.48,33.31
2007-03-01,CBG,1.611832,0.125098,0.110704,0.457414,3.965,0.078,0.55,24.083,1.903,6.493,5.172,33.68,37.59
2007-05-10,CBG,1.213961,0.011977,0.101872,0.435311,3.623,0.01,0.05,28.843,1.855,7.089,5.202,37.04,30.77
2007-08-09,CBG,1.490363,0.141135,0.09182,0.515744,3.227,0.095,0.61,18.261,1.296,4.942,5.938,29.51,20.77
2007-11-09,CBG,1.492809,0.114947,-0.002961,0.509978,3.126,0.077,0.5,11.783,0.797,3.042,6.594,20.13,21.53
2008-02-29,CBG,1.837116,0.122446,-0.092333,0.387312,5.048,0.067,0.55,10.379,0.672,4.1,4.439,20.06,22.15
