datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-14,CELG,0.023930797,-0.002419038,-0.034566309,0.071230635,0.12,-0.101,0.0,-129.184,18.572,6.257,0.502,3.13375,4.43
2001-11-13,CELG,0.026177633,-0.006341626,-0.029732834,0.041497801,0.129,-0.242,-0.01,-580.857,28.829,9.512,0.502,4.76625,3.09375
2002-03-29,CELG,0.041735215,0.006735791,0.00564349,0.047141291,0.14,0.161,0.01,-979.052,16.389,6.031,0.517,3.045,2.5125
2002-05-15,CELG,0.030694146,-0.00082324,-0.039616089,0.007525202,0.144,-0.027,0.0,-547.999,12.737,5.106,0.505,2.5775,2.28125
2002-08-14,CELG,0.033620631,-0.001714502,0.031181746,0.038706948,0.102,-0.051,0.0,-706.106,11.447,4.768,0.52,2.4075,2.81875
2002-11-13,CELG,0.034257946,-0.001036501,0.061944276,0.100651224,0.091,-0.03,0.0,555.352,12.514,5.453,0.512,2.78875,3.3875
2003-03-31,CELG,0.037173057,-0.096425925,-0.015176136,0.085475088,0.183,-2.594,-0.16,-20.981,15.456,7.583,0.447,3.26,3.73
2003-05-15,CELG,0.049088664,0.000952462,0.031989013,0.117464101,0.164,0.019,0.0,-25.574,16.297,8.857,0.439,3.8875,4.4425
2003-08-14,CELG,0.067286174,0.002894072,0.395413369,0.51287747,1.59,0.043,0.01,-30.749,15.327,9.827,0.452,4.44125,5.125
2003-11-14,CELG,0.074332,0.004293,-0.199682382,0.313195,1.574,0.058,0.01,-38.104,14.762,11.201,0.462,5.17625,5.55
2004-03-15,CELG,0.080768,0.005372,-0.045742,0.267453,1.552,0.067,0.01,264.612,13.169,11.531,0.479,5.485,6.80875
2004-05-07,CELG,0.082873,0.00862,-0.028733,0.23872,1.412,0.104,0.01,204.683,14.201,12.716,0.521,6.6225,6.22
2004-08-09,CELG,0.087753,0.012444,-0.064162,0.174558,1.275,0.142,0.02,132.669,12.516,10.743,0.578,6.2125,7.5075
2004-11-09,CELG,0.101468,0.021255,0.094439,0.268997,1.122,0.209,0.03,106.218,14.356,11.419,0.674,7.6925,8.4675
2005-03-16,CELG,0.105408,0.010438,0.073355,0.135227,1.319,0.099,0.01,104.163,14.557,11.51,0.728,8.3125,8.2625
2005-03-21,CELG,0.105408,0.010438,0.073355,0.135227,1.319,0.099,0.01,103.192,14.421,11.402,0.728,8.235,9.525
2005-05-10,CELG,0.112396,0.048214,-0.062882,0.072345,1.105,0.429,0.07,67.837,15.392,11.716,0.801,9.3875,11.52
2005-08-09,CELG,0.145701,0.010845,-0.018555,0.05379,1.057,0.074,0.01,86.857,16.952,14.059,0.835,11.7375,14.8575
2005-11-09,CELG,0.129506,0.000668,0.008515,0.062305,1.081,0.005,0.0,143.055,20.36,17.21,0.86,14.795,19.565
2006-03-15,CELG,0.149338,0.003928,0.061011,0.123316,0.961,0.026,0.01,222.191,26.341,22.246,0.921,20.5,21.33
2006-05-10,CELG,0.181841,0.016024,0.071152,0.194468,0.837,0.088,0.03,473.442,24.567,20.731,1.034,21.44,21.62
2006-08-09,CELG,0.197239,0.009608,-0.07355,0.120918,0.841,0.049,0.01,496.734,22.822,20.138,1.063,21.405,26.62
2006-11-08,CELG,0.244839,0.020437,0.122747,0.243665,0.821,0.083,0.03,386.44,24.986,23.048,1.189,27.41,28.61
2007-02-27,CELG,0.274954,0.022912,1.19575,1.439415,0.384,0.083,0.04,291.015,22.333,10.158,2.805,26.585,31.835
2007-05-09,CELG,0.293415,0.057409,-0.420792,1.018623,0.362,0.196,0.07,221.846,24.231,11.554,2.806,32.225,29.73
2007-08-06,CELG,0.347907,0.05487,-0.050707,0.967916,0.377,0.158,0.07,150.04,20.11,10.209,3.001,30.505,32.22
2007-11-02,CELG,0.349908,0.038833,0.072819,1.040735,0.361,0.111,0.05,143.99,19.79,10.107,3.23,32.47,28.05
2008-02-20,CELG,0.41459,0.075321,0.177538,1.218273,0.27,0.182,0.09,97.84,15.759,7.79,3.643,27.435,31.245
2008-05-12,CELG,0.462597,-1.641088,-0.280148,0.938125,0.291,-3.548,-1.99,-18.278,17.083,8.881,3.674,30.865,37.06
2008-07-31,CELG,0.571464,0.119883,0.410543,1.348668,0.208,0.21,0.14,-24.405,19.093,10.021,3.871,37.745,30.525
2008-10-29,CELG,0.592465,0.136814,0.168452,1.51712,0.214,0.231,0.15,-21.778,13.967,7.945,3.93,31.11,26.155
2009-02-17,CELG,0.628254,-0.149262,-0.424734,1.092386,0.273,-0.238,-0.15,-15.54,10.57,6.826,3.804,25.935,19.72
