datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2005-08-08,CF,,,,0.050003,0.965,,,,,,,2.77979726373,2.31649771977
2005-10-09,CF,0.35943,-0.091388,,0.040376,0.655,-0.254,-0.36,,,0.919,2.94,2.15348491727,2.89893457986
2006-03-20,CF,0.462985,-0.012762,-0.002973,0.0374,0.625,-0.028,-0.05,-23.563,0.482,1.216,2.749,2.87312804057,3.22581741082
2006-05-03,CF,0.4005,-0.0246,0.0013,0.0387,0.782,-0.061,-0.09,,,1.382,2.655,3.15355910082,2.51300007604
2006-08-14,CF,0.6648,0.0426,-0.014,0.0247,0.529,0.064,0.15,-9.553,0.436,1.065,2.811,2.5785416017,3.55993970963
2006-11-07,CF,0.378,0.0073,-0.0033,0.0214,0.654,0.019,0.03,90.896,0.598,1.46,2.839,3.56338926362,6.43472131466
2007-02-28,CF,0.5062,0.008,0.004,0.0254,0.682,0.016,0.03,64.053,1.094,2.781,2.789,6.67829063154,7.09287670282
2007-05-04,CF,0.4477,0.0572,0.0024,0.0278,0.925,0.128,0.21,19.224,1.108,2.666,3.012,6.94949901983,9.55062438351
2007-08-06,CF,0.8489,0.0936,0.0318,0.0596,0.7,0.11,0.34,18.202,1.386,3.238,3.371,9.50050348103,15.4808093956
2007-11-05,CF,0.5829,0.0865,-0.0066,0.053,0.775,0.148,0.31,19.693,2.025,4.697,3.699,15.1851629352,22.215088166
2008-02-27,CF,0.8525,0.1354,0.3135,0.3665,0.695,0.159,0.49,18.85,2.548,5.919,4.254,21.6128093656,23.3209966529
2008-05-06,CF,0.6673,0.1588,0.4855,0.852,0.884,0.238,0.57,16.499,2.651,5.827,4.779,24.0236552534,28.151100897
2008-08-04,CF,1.161,0.2886,-0.0462,0.8058,0.693,0.249,1.03,12.573,2.578,5.148,5.817,25.7991140004,10.8619422556
2008-11-04,CF,1.0208,0.0471,0.0226,0.8284,0.779,0.046,0.17,5.857,0.997,2.175,6.015,11.2467118711,10.7459372118
2009-02-26,CF,1.072,0.1901,-0.2034,0.625,0.784,0.177,0.72,4.436,0.774,2.269,5.117,10.9164248023,12.5882469912
2009-04-30,CF,0.6806,0.0627,0.1788,0.8038,0.777,0.092,0.26,5.926,0.886,2.504,5.755,12.5343172431,13.7507151666
2009-08-03,CF,0.991,0.213,0.0123,0.8161,0.364,0.215,0.88,7.704,1.05,2.442,6.687,14.2053562432,14.5190750966
2009-11-02,CF,0.4301,0.0385,-0.3186,0.4975,0.36,0.09,0.16,8.097,1.287,2.461,6.841,14.6655738723,17.6170822396
2010-02-25,CF,0.5067,0.0514,0.1996,0.6971,0.434,0.101,0.21,14.003,1.963,2.961,7.086,18.4211161547,12.9624250311
2010-05-07,CF,0.5024,-0.0044,0.3134,1.0105,0.522,-0.009,-0.02,17.448,2.143,3.044,7.042,12.812105647,15.0171349391
2010-08-06,CF,1.3079,0.1051,-0.4091,0.6014,1.167,0.08,0.31,31.442,2.182,1.589,11.19,14.7563478638,21.237155037
2010-11-05,CF,0.9171,0.0482,0.047,0.6484,1.117,0.053,0.14,43.49,2.694,2.255,10.868,21.4614603299,23.5200268933
2011-02-25,CF,1.2376,0.2003,0.1493,0.7977,1.068,0.162,0.6,28.593,2.518,2.465,11.362,24.5765151927,22.6829090878
2011-05-06,CF,1.174,0.282,0.3364,1.1341,1.008,0.24,0.79,15.5,2.125,2.258,12.239,24.1869131953,24.8669354752
2011-08-05,CF,1.8017,0.4874,0.2215,1.3556,0.84,0.271,1.36,10.338,2.051,2.162,13.599,25.7573610904,29.8077392018
2011-11-03,CF,1.4038,0.3309,0.0705,1.4261,1.055,0.236,0.95,9.637,2.231,2.94,12.285,30.6897708208,32.5228712951
2012-02-27,CF,1.7184,0.4389,-0.2191,1.207,0.889,0.255,1.33,8.045,2.031,2.723,13.884,33.4514392432,34.9283044559
2012-05-04,CF,1.5276,0.3684,0.5063,1.7133,0.863,0.241,1.12,7.426,1.871,2.448,15.059,32.5281773977,36.0695884203
2012-08-07,CF,1.7356,0.6063,-0.3303,1.383,0.721,0.349,1.88,7.406,2.023,2.574,15.612,36.532291781,36.4977661075
2012-11-06,CF,1.3594,0.4033,0.8383,2.2213,0.77,0.297,1.29,7.14,2.046,2.377,17.38,36.6487447973,34.8119849971
2013-02-27,CF,1.4814,0.4707,0.0536,2.2749,0.658,0.318,1.49,6.778,2.053,2.123,18.737,35.4610431613,34.0060116724
2013-05-09,CF,1.3365,0.4065,-0.0646,2.2103,0.736,0.304,1.31,6.127,1.955,2.017,18.402,34.7691899533,33.8684933151
2013-08-07,CF,1.7149,0.4982,-0.2762,2.0083,0.986,0.291,1.69,6.115,1.846,2.185,16.848,33.929247181,38.9705528332
2013-11-05,CF,1.097,0.2341,0.3521,2.3976,1.045,0.213,0.82,7.46,2.133,2.352,17.822,37.5147305912,44.1360848839
2014-02-27,CF,1.3263,0.3258,-0.5754,1.8648,1.032,0.246,1.15,9.432,2.523,2.721,17.874,44.9979201749,44.2408782736
2014-05-08,CF,1.1326,0.7085,1.8194,4.1835,1.45,0.626,2.59,7.115,2.385,2.542,18.043,43.6103111529,45.9086187352
2014-08-07,CF,1.4727,0.3126,-1.3361,2.8391,1.441,0.212,1.22,7.66,2.408,2.702,17.543,44.2287917724,46.2891351684
2014-11-06,CF,0.9214,0.1309,0.4571,2.7968,1.513,0.142,0.53,8.465,2.578,2.782,18.097,45.9040463571,56.6685856714
2015-02-26,CF,1.2165,0.2383,-0.6546,2.0827,1.607,0.196,0.99,10.565,3.097,3.489,17.043,56.5523859286,54.3372130542
2015-05-07,CF,0.9536,0.2306,-0.2178,1.8421,1.74,0.242,0.96,15.481,3.095,3.477,16.96,55.3498108128,57.1063744099
2015-08-06,CF,1.3115,0.3519,-0.9689,0.8639,1.585,0.268,1.5,15.427,3.335,3.567,17.5,58.3852902925,43.3222666819
2015-11-09,CF,0.9274,0.0909,0.1333,0.9691,2.043,0.098,0.39,12.315,2.546,2.73,17.64,44.8588475079,30.0765883599
2016-02-25,CF,1.1158,0.0265,-0.6572,0.3088,2.07,0.024,0.12,11.043,1.794,1.915,17.304,31.4122730713,30.4176142436
