datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-09,CHD,0.257095,0.013478,-0.001519,0.017255,1.394,0.052,0.06,28.394,1.085,3.748,1.14,3.54286281672,3.64183183784
2001-11-13,CHD,0.270627,0.015246,0.019495,0.03675,2.359,0.056,0.07,19.466,1.015,3.619,1.185,3.56952360739,4.1002588485
2002-03-28,CHD,0.296615,0.006113,0.015696,0.052446,2.362,0.021,0.03,24.662,1.072,4.105,1.203,4.1072297068,4.82877746512
2002-05-10,CHD,0.256802,0.014923,0.001406,0.053852,2.231,0.058,0.06,26.134,1.203,4.339,1.272,4.60662016855,4.28872288587
2002-08-09,CHD,0.258463,0.018652,0.021433,0.075285,2.098,0.072,0.08,22.233,1.128,3.8,1.353,4.29992790974,4.41986148913
2002-11-08,CHD,0.263786,0.017575,0.000863,0.076148,1.965,0.067,0.07,20.636,1.099,3.552,1.393,4.16011740543,4.13715558137
2003-03-27,CHD,0.268098,0.01554,0.000154,0.076302,1.843,0.058,0.07,17.71,1.128,3.397,1.453,4.15545535087,4.47717259143
2003-05-12,CHD,0.248298,0.020946,-0.00906,0.067242,1.678,0.084,0.09,17.369,1.216,3.432,1.535,4.44471908699,4.87366975443
2003-08-05,CHD,0.256263,0.024626,-0.013231,0.054011,1.498,0.096,0.1,16.748,1.272,3.317,1.65,4.6154527408,5.50048951314
2003-11-10,CHD,0.265566,0.019522,0.022685,0.076696,1.443,0.074,0.08,19.713,1.531,3.821,1.72,5.5699365593,6.10337520807
2004-03-15,CHD,0.286747,0.015867,-0.001062,0.075634,1.553,0.055,0.07,21.224,1.626,3.919,1.804,5.95711005069,6.33342331968
2004-05-12,CHD,0.295991,0.029906,-0.008968,0.066666,1.39,0.101,0.12,20.395,1.66,3.887,1.923,6.34478372025,6.35188397061
2004-08-11,CHD,0.340785,0.019573,0.052895,0.119561,2.746,0.057,0.08,22.383,1.598,3.836,2.01,6.55816015779,6.56602765325
2004-11-10,CHD,0.42031,0.027401,0.025879,0.14544,2.508,0.065,0.11,20.85,1.439,3.637,2.144,6.64086027059,7.59421810212
2005-03-11,CHD,0.404976,0.011928,0.0001,0.14554,2.353,0.029,0.05,25.242,1.533,4.003,2.238,7.58992637106,7.62640608503
2005-03-16,CHD,0.404976,0.011928,0.0001,0.14554,2.353,0.029,0.05,25.049,1.522,3.972,2.238,7.53198800182,7.21010817268
2005-05-10,CHD,0.420674,0.037701,-0.043638,0.101902,2.096,0.09,0.15,23.829,1.451,3.83,2.373,7.78090840301,7.77892829704
2005-08-09,CHD,0.441815,0.03438,0.007561,0.109463,1.939,0.078,0.14,22.016,1.453,3.81,2.528,8.23246625523,7.51354158533
2005-11-08,CHD,0.442743,0.034598,0.050333,0.159796,1.824,0.078,0.14,18.754,1.301,3.242,2.676,7.44464951349,7.84797553889
2006-03-13,CHD,0.431274,0.016227,-0.033118,0.126678,1.816,0.038,0.06,18.966,1.342,3.345,2.708,7.80909209279,8.04887334377
2006-05-09,CHD,0.442391,0.039947,-0.003637,0.123041,1.674,0.09,0.15,19.577,1.394,3.306,2.873,8.18712559659,8.15695204241
2006-08-08,CHD,0.458584,0.036406,-0.012854,0.110187,1.547,0.079,0.14,18.959,1.358,3.051,3.054,8.0379514158,8.9155848342
2006-11-07,CHD,0.518578,0.038664,-0.014374,0.095813,1.826,0.075,0.15,20.806,1.475,3.271,3.213,9.07382400096,10.2276474866
2007-02-26,CHD,0.526108,0.02391,0.014663,0.110476,1.702,0.045,0.09,22.373,1.598,3.598,3.308,10.303762235,11.3193504503
2007-05-08,CHD,0.514335,0.045099,-0.002738,0.107738,1.561,0.088,0.17,23.265,1.661,3.636,3.515,11.0801326694,10.8910620818
2007-08-07,CHD,0.546472,0.040533,-0.000851,0.106887,1.441,0.074,0.15,21.256,1.496,3.237,3.697,10.4097733955,10.1109036162
2007-11-06,CHD,0.580438,0.051716,0.071599,0.178486,1.41,0.089,0.2,20.877,1.553,3.271,3.904,11.1318103891,11.8814467041
2008-02-27,CHD,0.579695,0.031677,0.071323,0.249809,1.344,0.055,0.12,21.333,1.624,3.338,4.087,11.8880110392,12.2643662571
2008-05-06,CHD,0.552867,0.056191,-0.041747,0.208062,1.175,0.102,0.21,20.248,1.614,3.218,4.271,12.003980961,11.9976466124
2008-08-04,CHD,0.593959,0.045765,0.047871,0.255933,1.126,0.077,0.17,20.624,1.657,3.185,4.507,12.571780569,13.0425690228
2008-11-04,CHD,0.630672,0.048989,-0.080244,0.175689,1.129,0.078,0.18,23.047,1.786,3.153,4.88,13.189607913,10.773871728
2009-02-24,CHD,0.6449,0.044229,0.02231,0.197999,1.104,0.069,0.16,18.019,1.452,2.641,4.744,11.0403010105,12.5309838553
2009-05-05,CHD,0.580867,0.062569,0.082242,0.280241,1.086,0.108,0.22,19.155,1.576,2.777,4.949,12.1060181403,13.0170521537
2009-08-04,CHD,0.623119,0.058156,0.076758,0.356999,1.037,0.093,0.21,19.384,1.673,2.812,5.242,13.0104355565,12.8918975296
2009-11-03,CHD,0.646157,0.070028,0.062243,0.419242,1.022,0.108,0.25,17.183,1.618,2.615,5.482,12.6907034505,14.6437270912
2010-02-24,CHD,0.670779,0.05278,0.027901,0.447143,0.947,0.079,0.19,19.54,1.888,2.971,5.678,14.9636143335,15.4167879268
2010-05-11,CHD,0.634553,0.079971,-0.000536,0.446607,0.869,0.126,0.28,18.203,1.845,2.833,5.922,14.8858639621,13.870884397
2010-08-09,CHD,0.640887,0.074275,-0.082342,0.364265,0.785,0.116,0.26,16.112,1.722,2.561,6.137,13.9933203851,14.7705125291
2010-11-09,CHD,0.656901,0.069478,0.08925,0.453515,0.76,0.106,0.24,16.768,1.781,2.55,6.393,14.5495240539,16.5885646948
2011-02-24,CHD,0.656879,0.046993,-0.264313,0.189202,0.574,0.072,0.17,19.216,2.009,2.781,6.565,16.4041973452,18.4367349549
2011-05-06,CHD,0.6423,0.0836,-0.0301,0.1591,0.513,0.13,0.29,20.557,2.172,2.891,6.831,17.7397364383,16.9454480773
2011-08-05,CHD,0.6749,0.0826,0.0043,0.1634,0.499,0.122,0.29,19.574,2.103,2.715,7.11,17.4014806528,19.5992287927
2011-11-04,CHD,0.701,0.0796,0.1116,0.275,0.507,0.114,0.28,21.199,2.32,2.977,7.256,19.6717681544,21.8713917925
2012-02-24,CHD,0.7311,0.0638,-0.0236,0.2514,0.528,0.087,0.22,22.013,2.479,3.34,7.14,21.8942650322,23.9574312523
2012-05-08,CHD,0.6906,0.0958,-0.019,0.2324,0.544,0.139,0.34,22.678,2.609,3.595,7.133,24.0352002673,25.595761555
2012-08-07,CHD,0.6964,0.0793,-0.0482,0.1842,0.57,0.114,0.28,22.966,2.595,3.685,7.115,24.1436501275,23.5717573637
2012-11-05,CHD,0.7252,0.0939,0.057,0.8912,0.866,0.129,0.34,21.773,2.548,3.521,7.376,23.941075928,28.0775817571
