datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-14,CHK,0.275681,0.039485,,0.0,2.718,0.143,0.24,1.967,1.066,1.89,3.232,4.6026792737,5.5475382303
2001-10-26,CHK,0.238911,0.065008,,0.017042,2.411,0.272,0.4,2.343,1.219,1.994,3.728,5.66915373956,5.63173358287
2002-03-28,CHK,0.177075,0.042625,0.100552,0.12496,1.98,0.233,0.25,5.958,1.324,1.672,4.661,5.90302971892,6.10884058075
2002-05-15,CHK,0.089836,-0.027586,0.004358,0.122207,2.155,-0.335,-0.18,11.249,1.663,1.814,4.33,5.96851499314,4.04137692325
2002-08-05,CHK,0.194313,0.025033,-0.115656,0.006427,2.177,0.116,0.14,8.702,1.227,1.171,4.419,3.93847149234,5.31366225094
2002-11-07,CHK,0.198182,0.0166,0.019082,0.025509,2.463,0.071,0.08,23.948,1.735,1.557,4.423,5.26688705507,6.26787624671
2003-02-27,CHK,0.25542,0.026239,0.222259,0.247719,2.167,0.093,0.14,51.855,2.121,1.723,5.336,6.30529640341,7.49338637853
2003-05-15,CHK,0.37435,0.073509,-0.209633,0.038337,1.746,0.187,0.35,16.266,2.073,1.544,6.946,7.64306700532,8.33533990421
2003-08-14,CHK,0.429552,0.08224,-0.002095,0.035909,1.742,0.178,0.36,12.269,1.795,1.543,6.828,8.09210888568,7.84887786715
2003-09-18,CHK,0.429815,0.08224,-0.002095,0.035909,1.742,0.177,0.36,11.752,1.72,1.478,6.828,7.75532747541,9.44858956594
2003-11-12,CHK,0.454549,0.087859,0.002569,0.038478,1.687,0.18,0.38,10.257,1.706,1.63,7.332,9.27084382163,10.094087269
2004-03-15,CHK,0.456741,0.069373,0.002103,0.040581,1.639,0.137,0.29,10.722,1.814,1.798,7.999,10.0566671123,10.6179694627
2004-05-10,CHK,0.563129,0.11259,0.148844,0.189425,1.385,0.185,0.44,9.607,1.64,1.34,9.837,10.0753771906,10.9173307163
2004-08-09,CHK,0.574292,0.097155,-0.113188,0.076237,1.6,0.149,0.36,11.391,1.86,1.562,10.115,11.1605617348,13.1344750006
2004-11-09,CHK,0.629796,0.096872,-0.027164,0.049073,1.63,0.136,0.33,13.272,2.018,1.59,10.982,13.0783447655,18.0552256062
2005-03-09,CHK,0.942051,0.208538,-0.042177,0.006896,1.607,0.173,0.6,16.115,2.611,2.237,11.394,17.7558643526,16.2777681631
2005-05-10,CHK,0.78345,0.12501,-0.006896,0.0,1.949,0.153,0.39,14.092,2.184,2.02,10.225,16.0345371446,22.5456444098
2005-08-08,CHK,1.048018,0.193779,0.0,0.0,1.767,0.171,0.58,16.862,2.712,2.397,12.378,22.6204847232,25.4457065538
2005-11-01,CHK,1.082843,0.176988,0.127102,0.127102,1.94,0.138,0.46,17.547,2.78,2.549,13.059,24.6598832632,24.1453561086
2006-03-14,CHK,1.750979,0.452525,-0.067075,0.060027,1.611,0.247,1.31,13.214,2.491,1.883,17.904,24.706658459,26.2970151187
2006-05-10,CHK,1.944567,0.623723,-0.021741,0.038286,1.452,0.311,1.64,9.245,2.164,1.713,19.974,26.2408848836,25.5673220631
2006-08-09,CHK,1.584016,0.359903,0.327984,0.36627,1.231,0.21,0.87,9.078,2.164,1.532,23.616,25.8105530816,25.7357127682
2006-11-07,CHK,1.929411,0.548335,-0.365554,0.000716,1.295,0.271,1.25,7.353,1.928,1.364,24.41,25.4082863971,24.3605220096
2007-03-01,CHK,1.867601,0.471362,0.001803,0.002519,1.17,0.239,1.03,7.35,1.91,1.244,26.378,24.3418119313,28.5515795596
2007-05-08,CHK,1.58,0.258,0.001,0.004,1.323,0.147,0.51,10.612,2.336,1.468,24.561,28.2989935019,28.5796446772
2007-08-08,CHK,2.105,0.518,0.0,0.004,1.382,0.234,1.09,9.915,2.242,1.443,25.721,28.4580291679,33.0513534024
2007-11-09,CHK,2.027,0.372,-0.002,0.002,1.49,0.171,0.76,12.578,2.515,1.588,26.441,32.3777905819,37.2891861483
2008-02-29,CHK,2.089,0.303,-0.001,0.001,1.534,0.076,0.32,18.913,2.98,1.916,25.919,36.465942701,45.7648516402
2008-05-12,CHK,1.611,-0.132,0.0,0.001,1.917,-0.089,-0.29,35.452,3.861,2.636,23.266,45.1848392114,34.9972015507
2008-08-11,CHK,-0.455,-1.597,-0.001,0.0,2.7,3.624,-3.17,-19.574,4.782,2.453,19.724,35.1936573733,18.9439543277
2008-11-10,CHK,7.491,3.313,1.964,1.964,1.439,0.438,5.93,8.631,1.325,0.867,29.616,19.1778303071,12.7322083161
2009-03-02,CHK,2.981,-0.861,-0.215,1.749,1.359,-0.291,-1.69,13.532,0.725,0.517,28.343,10.9921710297,19.4865465998
2009-05-11,CHK,1.995,-5.74,-1.666,0.083,1.51,-2.88,-9.63,-2.815,1.167,1.186,19.796,18.2984566247,20.0478489503
2009-08-10,CHK,1.673,0.243,0.471,0.554,1.539,0.142,0.39,-5.079,1.111,1.309,19.904,20.0946241462,19.926233441
2009-11-09,CHK,1.811,0.192,-0.034,0.52,1.41,0.103,0.3,-2.643,1.934,1.366,19.351,20.7775420059,21.9188567851
2010-03-01,CHK,2.222,-0.524,-0.213,0.307,1.536,-0.238,-0.79,-2.971,2.258,1.52,18.165,22.0124071769,18.1300659196
2010-05-10,CHK,2.798,0.596,0.209,0.516,1.479,0.211,0.94,31.066,1.768,1.231,19.39,19.1217000721,17.5219883733
