datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-03,CI,4.663,0.252,-0.378,1.674,16.325,0.054,0.56,12.12,0.672,2.485,11.883,27.5047934737,22.310591228
2001-11-02,CI,4.778,0.27,-0.089,1.585,15.658,0.057,0.61,10.749,0.599,2.171,12.268,24.8933981164,29.3532615148
2002-02-28,CI,4.942,0.191,0.348,1.933,17.118,0.039,0.45,12.832,0.664,2.51,11.91,28.0463097346,34.7617664385
2002-05-02,CI,4.827,0.218,-0.308,1.625,17.303,0.045,0.51,15.737,0.763,2.906,11.93,32.6283728304,27.5341017387
2002-08-02,CI,4.971,0.214,-0.337,1.288,16.139,0.043,0.51,13.173,0.603,2.259,12.386,26.4230434495,11.6979143106
2002-11-14,CI,5.218,-0.877,1.189,2.477,19.102,-0.168,-2.09,-20.518,0.261,1.169,10.661,11.8180225905,13.4403723664
2003-02-28,CI,4.332,0.047,-0.887,1.575,22.002,0.011,0.11,-15.071,0.31,1.551,9.234,13.6856113883,17.2212046845
2003-05-02,CI,4.9,0.236,0.486,2.061,20.52,0.048,0.56,-18.735,0.367,1.722,9.831,16.2999585066,15.1123791281
2003-08-01,CI,4.634,-0.053,-0.286,1.775,20.69,-0.011,-0.13,-9.873,0.335,1.517,10.01,14.7150249954,15.6032187426
2003-10-31,CI,4.773,0.195,0.186,1.961,20.292,0.041,0.47,18.859,0.43,1.893,10.048,18.5566735306,17.9892585762
2004-02-27,CI,4.501,0.29,-0.569,1.392,19.127,0.064,0.69,11.698,0.415,1.729,10.685,18.1364969603,21.3373390748
2004-04-30,CI,4.722,0.078,0.099,1.491,19.05,0.017,0.19,17.886,0.49,1.971,10.91,21.2352937938,20.6074563889
2004-08-04,CI,4.633,0.515,1.542,3.033,20.539,0.111,1.24,7.731,0.447,1.951,10.354,19.9554467429,20.901641787
2004-11-03,CI,4.479,0.32,-0.108,2.925,18.3,0.071,0.79,7.286,0.478,1.905,11.426,21.5077729278,29.4955156554
2005-02-24,CI,4.479,0.312,-0.108,2.925,18.084,0.07,0.77,10.01,0.657,2.586,11.563,29.5581248385,29.6470957828
2005-03-04,CI,4.342,0.56,-0.406,2.519,14.579,0.129,1.39,8.249,0.653,2.28,13.183,29.713000186,31.896909689
2005-05-05,CI,4.345,0.436,-0.119,2.4,8.583,0.1,1.11,6.891,0.709,2.377,13.521,31.7749518861,35.7390108167
2005-08-03,CI,4.107,0.72,-0.521,1.879,7.142,0.175,1.86,7.298,0.86,2.527,15.242,38.102928783,38.7641889011
2005-11-02,CI,4.022,0.259,-0.628,1.251,7.112,0.064,0.68,7.029,0.826,2.454,14.994,36.3964570738,40.3791373512
2006-02-23,CI,4.21,0.21,0.458,1.709,7.37,0.05,0.59,9.235,0.9,2.8,14.757,40.887092518,34.8051537354
2006-05-03,CI,4.107,0.352,0.195,1.904,7.226,0.086,0.98,6.994,0.655,2.014,14.897,29.691600343,30.5772203804
2006-08-02,CI,4.098,0.273,-0.516,1.388,8.006,0.067,0.79,10.349,0.689,2.412,14.11,33.69236133,38.6113142523
2006-11-01,CI,4.137,0.298,-0.18,1.208,8.911,0.072,0.93,10.77,0.737,2.866,13.835,39.2681488852,45.8355492891
2007-02-28,CI,4.205,0.232,0.184,1.392,8.792,0.055,0.79,12.026,0.839,3.208,14.808,47.0438329998,51.2489660068
2007-05-02,CI,4.374,0.289,0.197,1.589,9.207,0.066,1.0,13.515,0.878,3.554,14.427,50.7966041524,51.1625281025
2007-08-01,CI,4.381,0.198,-0.485,1.104,9.358,0.045,0.7,13.598,0.809,3.45,14.173,48.4379550529,51.281480208
2007-11-02,CI,4.413,0.365,0.317,1.421,8.396,0.083,1.3,12.858,0.802,3.291,15.174,49.477957619,46.0182561486
2008-02-29,CI,4.455,0.263,0.549,1.97,7.438,0.059,0.95,11.198,0.709,2.63,16.952,44.1846620526,42.370724213
2008-05-01,CI,4.569,0.058,0.88,2.85,7.514,0.013,0.21,13.024,0.646,2.392,17.143,40.6743079544,36.7259239139
2008-08-01,CI,4.863,0.272,-2.045,0.805,7.712,0.056,0.98,10.217,0.535,2.059,17.296,35.3271245428,19.6923173877
2008-10-30,CI,4.852,0.171,0.273,1.078,7.784,0.035,0.63,5.541,0.226,0.912,17.084,15.4562370227,17.7776487449
2009-02-26,CI,4.817,-0.209,0.264,1.342,10.527,-0.043,-0.75,15.213,0.233,1.237,13.253,16.2598026188,20.6655676158
2009-04-30,CI,4.773,0.208,0.033,1.375,9.761,0.044,0.76,12.164,0.278,1.403,14.044,19.6108973379,26.4463547053
2009-07-30,CI,4.488,0.435,-0.353,1.022,8.276,0.097,1.59,12.513,0.4,1.686,16.461,27.6204216184,29.6302649783
2009-11-05,CI,4.517,0.329,-0.186,0.836,7.269,0.073,1.2,10.909,0.448,1.614,18.86,30.2869464721,33.7593986136
2010-02-25,CI,4.636,0.33,0.088,0.924,6.938,0.071,1.2,7.153,0.506,1.719,19.7,33.699700296,31.876505494
