datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-09-28,CLX,1.03,0.082,0.099,0.251,1.103,0.08,0.35,27.115,2.244,4.609,8.046,24.0479241127,25.5880260828
2001-11-14,CLX,0.991,0.079,-0.062,0.189,1.177,0.08,0.34,30.166,2.346,5.211,7.49,25.7776154431,28.1276736281
2002-02-14,CLX,0.901,0.051,-0.007,0.182,1.192,0.057,0.22,34.323,2.554,5.834,7.355,28.1933924917,31.3165359239
2002-05-14,CLX,1.033,0.046,0.008,0.19,1.318,0.045,0.2,42.061,2.744,6.787,6.907,31.1052499974,27.5261613696
2002-09-26,CLX,1.136,0.145,-0.013,0.177,1.681,0.128,0.63,29.618,2.348,7.044,5.935,28.3894667925,29.1792406876
2002-11-13,CLX,1.047,0.145,-0.034,0.143,1.668,0.138,0.65,24.976,2.348,7.424,5.868,29.3328156386,27.1364765801
2003-02-12,CLX,0.926,0.089,0.006,0.149,1.768,0.096,0.41,20.949,2.15,7.089,5.753,27.5326785396,29.1286337255
2003-05-12,CLX,1.019,0.11,0.03,0.179,1.891,0.108,0.51,18.757,2.222,6.922,6.123,28.5551026004,31.0875274207
2003-09-19,CLX,1.152,0.149,-0.007,0.172,2.006,0.129,0.68,19.94,2.372,8.091,5.596,31.2029430062,32.0574299567
2003-11-07,CLX,1.048,0.129,0.015,0.187,2.075,0.123,0.61,20.581,2.368,8.485,5.441,31.7705931313,34.4354858171
2004-02-10,CLX,0.947,0.109,0.014,0.201,2.035,0.115,0.52,20.093,2.397,8.427,5.629,32.6295969298,36.1135710514
2004-05-06,CLX,1.086,0.126,-0.002,0.199,1.783,0.116,0.6,21.462,2.601,8.26,6.311,35.8236685315,36.5809774447
2004-08-27,CLX,1.243,0.185,0.033,0.232,1.49,0.149,0.87,20.462,2.598,7.295,7.252,36.5948575348,38.1139760995
2004-11-04,CLX,1.09,0.123,0.023,0.255,1.294,0.113,0.58,21.907,2.725,7.236,7.722,38.8811375581,41.5443509937
2005-02-09,CLX,1.0,0.699,0.045,0.3,-9.118,0.699,3.73,8.021,2.057,-19.886,-2.44,41.5233265246,44.8227304948
2005-05-05,CLX,1.086,0.118,-0.007,0.293,-11.855,0.109,0.77,8.02,2.042,-26.076,-2.254,41.197776631,40.4035550541
2005-08-31,CLX,1.254,0.156,0.0,0.293,-7.541,0.124,1.11,7.969,1.991,-15.794,-3.623,40.7289907979,38.7595361317
2005-11-04,CLX,1.104,0.109,-0.02,0.273,-7.711,0.099,0.72,7.536,1.835,-15.328,-3.527,38.4821743135,45.0849943947
2006-02-03,CLX,1.064,0.083,0.0,0.273,-7.756,0.078,0.56,19.891,2.056,-17.555,-3.518,44.1344071634,44.1525622949
2006-05-04,CLX,1.157,0.11,0.016,0.289,-9.482,0.095,0.73,20.423,2.043,-21.905,-2.84,44.511526216,43.1250929618
2006-08-25,CLX,1.319,0.142,-0.097,0.192,-24.179,0.108,0.94,20.338,1.944,-57.885,-1.034,43.0962370949,46.660294652
