datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-07,CMI,1.461,-0.082,0.01,0.104,2.802,-0.056,-0.54,-8.177,0.277,1.417,7.088,7.18903524809,5.91563501489
2001-11-05,CMI,1.408,0.003,0.011,0.115,2.746,0.002,0.02,-6.213,0.24,1.183,7.155,6.10128718019,7.70471262664
2002-02-28,CMI,1.463,0.003,-0.023,0.092,3.229,0.002,0.02,-16.836,0.302,1.675,6.205,7.61135545298,7.6351523796
2002-05-15,CMI,1.333,-0.029,0.001,0.093,3.444,-0.022,-0.19,-16.942,0.314,1.801,5.966,7.86579951454,5.61070186827
2002-08-14,CMI,1.458,0.013,0.008,0.101,3.418,0.009,0.08,-127.865,0.226,1.246,6.211,5.7121778968,4.46441932448
2002-11-01,CMI,1.648,0.039,0.0,0.101,3.391,0.024,,38.675,0.17,0.956,6.337,4.51472788949,9.05522983844
2003-08-04,CMI,1.414,0.059,0.165,0.224,4.751,0.042,,23.787,0.333,2.319,5.066,9.04560685242,9.46622757106
2003-08-18,CMI,1.539,0.014,-0.007,0.059,4.774,0.009,0.09,25.371,0.343,2.429,5.096,9.59017163091,8.66059118203
2003-11-12,CMI,1.634,0.024,0.021,0.08,4.583,0.015,0.15,29.578,0.327,2.186,5.278,8.99562746882,9.66538130431
2004-02-26,CMI,1.736,0.043,0.028,0.108,4.401,0.025,0.28,42.886,0.341,2.26,6.037,9.8222231916,12.0238911845
2004-05-05,CMI,1.771,0.033,0.023,0.131,4.348,0.019,0.2,23.289,0.397,2.629,6.235,12.0768253214,13.7717484206
2004-08-03,CMI,2.124,0.082,0.191,0.322,4.13,0.039,0.49,16.836,0.422,2.721,6.354,13.6357262848,13.7918754743
2004-11-03,CMI,2.194,0.116,0.099,0.421,3.658,0.053,0.68,11.768,0.412,2.513,7.047,14.0275155578,15.0473024737
2004-11-12,CMI,2.194,0.116,0.099,0.421,3.658,0.053,0.68,12.718,0.445,2.716,7.047,15.2195771566,15.1345737791
2005-03-16,CMI,2.349,0.119,0.19,0.611,3.51,0.051,0.69,9.793,0.406,2.446,7.561,14.7692840136,13.2063228861
2005-05-04,CMI,2.208,0.097,-0.35,0.261,3.156,0.044,0.55,7.653,0.357,2.121,8.054,13.6374845764,17.2089121602
2005-08-02,CMI,2.49,0.141,0.143,0.404,2.966,0.057,0.8,8.442,0.432,2.489,8.627,17.226961363,17.3347180042
2005-11-02,CMI,2.467,0.145,0.157,0.561,2.771,0.059,0.82,8.065,0.426,2.299,9.402,17.4011345483,22.0563151932
2006-02-28,CMI,2.753,0.167,0.218,0.779,2.573,0.061,0.94,9.146,0.507,2.699,10.031,21.9307420488,21.9206151823
2006-05-09,CMI,2.678,0.135,-0.103,0.676,2.419,0.05,0.76,8.717,0.493,2.591,10.649,22.3540450677,24.2231330641
2006-08-04,CMI,2.842,0.22,0.202,0.878,1.837,0.077,1.2,9.478,0.589,2.526,11.906,24.4282417528,26.9658262411
2006-10-31,CMI,2.809,0.171,0.149,1.027,1.748,0.061,0.85,9.612,0.601,2.494,12.729,25.8638916542,29.2552878079
2007-02-27,CMI,3.033,0.189,-0.187,0.84,1.574,0.062,0.94,9.921,0.624,2.532,13.445,27.8831462026,36.9740963307
2007-05-07,CMI,2.817,0.143,-0.319,0.521,1.45,0.051,0.71,12.865,0.809,3.167,14.083,36.535830206,49.275418385
2007-08-02,CMI,3.343,0.214,0.105,0.626,1.398,0.064,1.07,18.144,1.084,4.118,15.181,51.3152220613,49.9941578997
2007-11-05,CMI,3.372,0.184,-0.002,0.624,1.428,0.055,0.93,17.068,0.992,3.9,15.642,50.1875031989,50.1875031989
2007-11-06,CMI,3.372,0.184,-0.002,0.624,1.428,0.055,0.93,17.893,1.04,4.088,15.642,52.6146037634,43.8828488424
2008-02-26,CMI,3.516,0.198,-0.047,0.577,1.318,0.056,1.01,14.61,0.827,3.167,16.86,44.1307745421,51.7751502821
2008-05-01,CMI,3.474,0.19,-0.131,0.446,1.304,0.055,0.97,16.978,0.974,3.699,18.493,54.2957282288,55.999838082
2008-08-04,CMI,3.887,0.293,0.076,0.522,1.256,0.075,1.5,15.506,0.941,3.5,19.631,54.7828102585,26.2961804037
2008-10-31,CMI,3.693,0.229,0.05,0.572,1.244,0.062,1.18,5.787,0.361,1.353,19.969,21.7059696198,17.4125690814
2009-02-27,CMI,3.288,0.043,-0.146,0.426,1.56,0.013,0.22,5.547,0.292,1.297,16.042,17.5560560782,28.2669383682
2009-04-30,CMI,2.439,0.007,-0.073,0.353,1.474,0.003,0.04,11.996,0.516,2.129,16.377,28.6973993586,33.7123977231
2009-07-30,CMI,2.431,0.056,0.181,0.534,1.342,0.023,0.28,24.885,0.703,2.472,17.108,35.0530870864,39.118146729
2009-10-30,CMI,2.53,0.095,0.152,0.686,1.278,0.038,0.48,43.23,0.813,2.439,18.05,36.6817813186,48.0526057796
2010-02-26,CMI,3.4,0.27,0.244,0.93,1.271,0.079,1.37,26.713,1.059,3.03,18.738,48.6958228836,63.3011392575
2010-04-29,CMI,2.478,0.149,-0.045,0.885,1.244,0.06,0.75,26.67,1.403,4.01,19.108,64.9992324119,68.04574109
2010-07-30,CMI,3.208,0.246,0.039,0.924,1.301,0.077,1.25,20.823,1.362,4.076,19.721,68.4498540331,76.7794009248
2010-10-29,CMI,3.401,0.283,0.013,0.937,1.281,0.083,1.45,18.383,1.396,4.15,21.445,75.9944413153,87.3035163534
2011-02-24,CMI,4.139,0.362,0.086,1.023,1.158,0.087,1.85,19.189,1.509,4.273,23.604,87.4595858036,103.248611852
2011-04-28,CMI,3.86,0.343,-0.244,0.779,1.136,0.089,1.75,18.726,1.582,4.748,24.895,102.095432025,92.5564458213
2011-07-28,CMI,4.641,0.505,0.332,1.111,1.124,0.109,2.61,13.79,1.283,3.991,26.615,91.9045786566,82.86134505
2011-10-27,CMI,4.626,0.452,0.054,1.165,1.112,0.098,2.35,11.6,1.117,3.7,27.126,87.3065837337,107.05704293
2012-02-21,CMI,4.921,0.548,0.319,1.484,1.063,0.111,2.87,12.806,1.311,4.309,28.615,108.135769585,97.7898705962
2012-05-02,CMI,4.472,0.455,-0.167,1.317,0.959,0.102,2.39,11.03,1.159,3.597,31.565,98.9777086861,84.7159739744
2012-08-01,CMI,4.452,0.469,-0.172,1.145,0.939,0.105,2.47,9.265,0.965,2.921,32.155,82.7018715692,83.2820062161
2012-10-31,CMI,4.118,0.352,-0.112,1.033,0.861,0.085,1.87,9.751,0.99,2.746,34.348,83.0689633522,106.056220134
2013-02-20,CMI,4.292,0.369,0.336,1.369,0.844,0.086,1.96,13.252,1.258,3.302,34.781,102.897820039,95.3348347464
2013-05-01,CMI,3.922,0.282,0.114,1.483,0.858,0.072,1.5,13.362,1.172,2.955,35.324,92.8885136743,106.395348021
