datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-10,CNP,11.974351,0.273694,0.044133,0.107705,4.806,0.023,0.94,15.001,0.211,1.704,18.516,14.1795513229,12.4917188033
2001-11-13,CNP,12.466991,0.2903,0.187111,0.294816,4.525,0.023,1.0,15.372,0.171,1.48,18.382,12.3686476821,12.1840410003
2002-03-25,CNP,12.509825,0.355072,0.187111,0.294816,4.452,0.028,1.22,14.485,0.161,1.385,18.505,12.0170159072,11.4807774505
2002-04-15,CNP,8.445208,0.046579,-0.159142,0.30987,4.1,0.005,0.15,7.484,0.159,1.262,19.146,11.3225431518,7.31394091792
2002-05-21,CNP,8.655733,0.225352,0.142043,0.754189,4.897,0.026,0.76,5.627,0.113,0.771,20.066,7.41063965602,5.08107914731
2002-08-14,CNP,9.790443,0.235645,0.425074,1.162886,5.023,0.024,0.79,4.192,0.085,0.543,20.25,5.26568582913,3.30533868406
2002-11-14,CNP,1.922872,-4.124493,-0.478833,0.123784,8.959,-2.145,-13.8,-0.57,0.072,1.082,6.265,3.37566503904,3.35448330864
2003-03-10,CNP,2.116932,-0.06299,0.187926,0.31171,12.808,-0.03,-0.2,-0.471,0.233,1.299,4.659,3.2234488044,4.24642759852
2003-05-12,CNP,2.902302,0.168432,-0.00013,0.30529,13.297,0.058,0.56,-0.646,0.146,1.726,4.634,4.26241164218,4.50915383336
2003-08-13,CNP,2.0909,0.063223,-0.253987,0.050164,12.71,0.03,0.21,-0.632,0.277,1.724,4.745,4.46066830827,5.37134264504
2003-11-12,CNP,2.250218,0.181725,-0.015379,0.034785,11.432,0.081,0.6,8.596,0.322,1.867,5.272,5.3658895053,6.04121860809
2004-03-15,CNP,2.518838,0.070287,0.096695,0.13148,12.402,0.028,0.23,6.786,0.336,2.075,5.156,5.95221354572,5.89102256534
2004-05-10,CNP,2.959187,0.073587,0.074987,0.206467,10.509,0.025,0.24,8.146,0.323,1.731,5.957,5.7352637062,6.37948653957
2004-08-06,CNP,2.241177,0.057652,0.074445,0.280912,10.327,0.026,0.19,8.963,0.345,1.839,6.072,6.2727873809,6.22199110729
2004-11-09,CNP,1.667089,-1.136198,-0.216152,0.020202,29.623,-0.682,-3.69,-3.586,0.357,5.241,2.078,6.17099118018,7.15936021666
2005-03-16,CNP,2.617549,0.100255,0.144443,0.164645,15.429,0.038,0.33,-4.143,0.44,3.391,3.583,7.06057034354,6.96178047042
2005-05-09,CNP,2.761808,0.067088,0.140648,0.305293,14.465,0.024,0.22,-4.131,0.405,3.316,3.673,7.07800385056,8.07016565534
2005-08-08,CNP,1.932256,0.054423,0.102869,0.408162,12.457,0.028,0.18,-4.414,0.45,3.418,3.815,7.62019986572,7.76245158576
2005-11-03,CNP,2.218,0.05,-0.246517,0.162,12.557,0.023,0.16,14.766,0.421,3.295,3.928,7.5980426263,7.66883184331
2006-01-10,CNP,2.073,0.05,-0.246517,0.162,12.494,0.024,0.16,14.788,0.422,3.3,3.928,7.64523543764,7.64031486016
2006-03-16,CNP,3.212,0.081,-0.088,0.074,12.207,0.025,0.26,15.666,0.406,3.046,4.169,7.58062490031,7.16876417738
2006-05-04,CNP,3.077,0.088,0.039,0.113,11.205,0.029,0.28,13.791,0.361,2.804,4.32,7.22845413723,8.19496469335
2006-08-03,CNP,1.843,0.194,0.284,0.397,10.11,0.105,0.62,10.297,0.411,2.827,4.824,8.24331256765,9.43743930691
2006-11-02,CNP,1.935,0.083,-0.112,0.285,9.832,0.043,0.27,10.851,0.481,3.088,5.009,9.44965605682,11.1074912509
2007-02-28,CNP,2.464,0.067,-0.158,0.127,10.332,0.027,0.22,13.211,0.612,3.668,4.861,11.0950458826,12.2026836656
2007-05-04,CNP,3.106,0.13,-0.067,0.06,9.447,0.042,0.41,13.244,0.672,3.812,5.134,12.1777929289,10.7140648955
2007-08-02,CNP,2.033,0.07,0.052,0.112,9.246,0.034,0.22,15.417,0.566,3.2,5.249,10.5445981397,10.5773160502
2007-11-02,CNP,1.882,0.091,-0.058,0.054,8.967,0.048,0.29,15.354,0.58,3.166,5.404,10.8565013569,9.8771777888
2008-02-28,CNP,2.602,0.108,0.075,0.129,8.874,0.042,0.34,12.528,0.519,2.762,5.529,9.89662105217,10.1234591247
2008-04-30,CNP,3.363,0.123,-0.059,0.07,8.327,0.037,0.38,12.745,0.506,2.658,5.727,9.86421561323,10.1684232115
2008-08-06,CNP,2.67,0.101,0.08,0.15,8.199,0.038,0.3,12.954,0.521,2.789,5.749,10.5093374648,7.73833461363
2008-11-05,CNP,2.515,0.136,-0.066,0.084,8.243,0.054,0.4,8.913,0.374,2.026,5.983,8.03672797919,8.11858038475
2009-02-25,CNP,2.774,0.087,0.083,0.167,8.659,0.031,0.25,8.176,0.323,1.794,5.863,7.18918061007,7.33952469126
2009-04-29,CNP,2.766,0.067,-0.102,0.065,8.091,0.024,0.19,9.557,0.348,1.806,5.924,7.31218940377,8.41614336462
2009-08-05,CNP,1.64,0.086,0.086,0.151,7.367,0.052,0.24,11.73,0.455,1.972,6.122,8.40222087767,8.98396985145
2009-10-28,CNP,1.576,0.114,-0.09,0.061,6.207,0.072,0.31,13.895,0.562,1.901,6.63,8.90621716194,10.2621843199
2010-02-26,CNP,2.299,0.105,0.679,0.74,6.493,0.046,0.27,14.125,0.635,1.991,6.72,9.73815788651,10.4368597976
2010-05-05,CNP,3.023,0.114,-0.411,0.329,6.143,0.038,0.29,13.536,0.664,2.094,6.893,10.4659723773,10.6678097493
2010-08-04,CNP,1.756,0.081,0.254,0.583,5.377,0.046,0.2,15.005,0.718,2.029,7.652,10.8670012176,12.2769268936
2010-10-28,CNP,1.908,0.123,-0.484,0.099,5.2,0.064,0.29,16.397,0.772,2.217,7.415,12.2544964546,12.1510269139
2011-03-01,CNP,2.098,0.124,0.1,0.199,5.289,0.059,0.29,15.033,0.756,2.078,7.525,11.9824754687,14.1659828271
2011-05-05,CNP,2.587,0.148,-0.104,0.095,4.999,0.057,0.35,16.623,0.948,2.423,7.685,14.2502585497,14.9565572067
2011-08-04,CNP,1.837,0.119,0.095,0.19,4.939,0.065,0.28,15.286,0.932,2.372,7.777,14.2830476431,15.8264366826
2011-11-02,CNP,1.881,0.973,-0.087,0.103,3.98,0.517,2.28,6.27,1.018,2.033,9.876,15.7090879183,14.7964118683
2012-02-29,CNP,2.145,0.117,0.117,0.22,4.14,0.055,0.28,6.12,0.983,1.967,9.911,15.5713859241,16.0187936263
2012-05-03,CNP,2.084,0.147,0.876,1.096,4.215,0.071,0.34,6.214,1.06,1.966,10.061,15.7551426589,16.8662872154
2012-08-02,CNP,1.525,0.126,0.027,1.123,4.188,0.083,0.29,6.532,1.166,2.055,10.145,16.8097972582,17.5051597677
2012-11-07,CNP,1.705,0.01,-0.401,0.722,4.28,0.006,0.02,22.045,1.182,2.071,9.97,16.8124509314,17.2149723009
2013-02-27,CNP,2.138,0.134,-0.076,0.646,4.318,0.063,0.32,21.773,1.218,2.111,10.073,17.6557421231,20.2421461741
2013-05-02,CNP,2.388,0.147,-0.401,0.245,4.118,0.062,0.34,24.807,1.334,2.367,10.213,20.0758179393,20.8188340118
