datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-13,COL,0.727,0.068,,0.02,1.318,0.094,,,,3.171,6.319,15.6074144397,14.6228550374
2001-12-19,COL,0.816,-0.048,0.04,0.06,1.368,-0.059,,24.771,1.221,3.102,6.045,14.6933832771,16.5287321362
2002-02-11,COL,0.563,0.048,-0.007,0.053,1.239,0.085,0.26,29.874,1.378,3.378,6.215,16.5287321362,20.487757024
2002-05-07,COL,0.608,0.058,-0.004,0.049,1.199,0.095,0.31,37.157,1.725,4.026,6.345,20.1571823813,19.3950624887
2002-08-05,COL,0.623,0.06,-0.005,0.044,1.045,0.096,0.33,37.907,1.714,3.669,6.661,19.3081953522,17.3911891682
2002-12-19,COL,0.698,0.07,0.005,0.049,1.594,0.1,0.38,17.008,1.611,4.067,5.408,17.7491962645,16.0784964816
2003-02-14,COL,0.561,0.049,-0.013,0.036,1.541,0.087,0.27,15.633,1.488,3.709,5.544,16.4205921515,18.0542741348
2003-05-13,COL,0.618,0.059,0.005,0.041,1.513,0.095,0.33,16.825,1.602,4.02,5.564,18.0462500129,20.3247872468
2003-08-12,COL,0.62,0.077,0.017,0.058,1.316,0.124,0.43,18.198,1.858,4.265,6.102,20.8401542768,21.5809943825
2003-11-13,COL,0.743,0.073,0.008,0.066,2.11,0.098,0.41,18.422,1.87,5.706,4.659,21.6937309203,25.9678402897
2004-01-27,COL,0.628,0.068,-0.004,0.062,2.012,0.108,0.38,21.294,2.261,6.561,5.065,26.6950044546,26.7037070857
2004-04-27,COL,0.719,0.071,0.005,0.067,2.016,0.099,0.4,20.61,2.198,6.425,5.193,27.214123817,27.9053953363
2004-08-03,COL,0.744,0.076,-0.01,0.057,1.999,0.102,0.43,21.128,2.147,6.487,5.305,27.9297739577,32.0256204267
2004-12-08,COL,0.839,0.086,0.139,0.196,1.537,0.103,0.49,22.985,2.361,6.106,6.408,32.0583413671,33.2771963974
2005-01-26,COL,0.763,0.09,-0.004,0.192,1.332,0.118,0.51,23.422,2.468,6.116,6.981,34.6923770701,38.5496078171
