datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-13,COP,4.965,0.618,-0.056,0.087,1.851,0.124,1.21,6.474,0.706,2.091,13.784,10.0795198061,9.96729133222
2001-11-14,COP,6.159,0.364,0.112,0.199,1.406,0.059,0.66,9.191,0.933,1.412,25.955,9.41316324267,11.2859758997
2002-03-20,COP,9.964,0.162,-0.057,0.142,1.411,0.016,-0.02,14.495,0.896,1.679,24.474,11.1737474259,10.8721334025
2002-05-14,COP,9.398,-0.102,0.028,0.17,1.482,-0.011,-0.14,22.403,0.766,1.654,18.454,10.8791476821,9.30794904846
2002-08-12,COP,11.614,0.351,-0.025,0.145,1.523,0.03,0.46,25.586,0.534,1.372,18.827,9.29392048923,8.44519265587
2002-11-14,COP,15.678,-0.116,0.372,0.517,1.55,-0.007,-0.12,110.679,0.7,1.089,31.195,8.73979239968,9.50434887766
2003-03-26,COP,20.711,-0.428,-0.21,0.307,1.569,-0.021,-0.46,-118.181,0.609,1.181,30.614,9.4762917592,9.46226319997
2003-05-13,COP,27.077,1.437,0.116,0.423,1.558,0.053,1.05,28.399,0.471,1.142,22.754,9.58150595342,9.56046311458
2003-05-21,COP,27.077,1.437,0.116,0.423,1.558,0.053,1.05,28.999,0.48,1.167,22.754,9.78492006224,10.1075769245
2003-08-13,COP,25.595,1.138,0.101,0.524,1.487,0.044,0.83,18.238,0.416,1.156,23.552,10.1075769245,10.626633616
2003-11-12,COP,26.493,1.306,-0.041,0.483,1.462,0.049,0.96,11.25,0.389,1.178,24.214,10.6687192937,13.2780313103
2004-03-02,COP,25.962,1.04,0.007,0.49,1.375,0.04,0.77,10.048,0.453,1.384,25.206,13.0816314811,14.0145306698
2004-05-07,COP,30.217,1.616,0.169,0.659,1.331,0.053,1.18,9.836,0.463,1.4,26.125,13.7550023241,14.5967158778
2004-08-05,COP,31.886,2.075,0.145,0.804,1.234,0.065,1.5,8.659,0.456,1.382,27.422,14.4424017263,16.3643143407
2004-11-04,COP,34.741,2.006,2.459,3.263,1.207,0.058,1.45,8.949,0.491,1.516,28.741,16.7150283214,21.1901387154
2005-02-25,COP,40.072,2.432,-1.876,1.387,1.148,0.061,1.75,9.614,0.571,1.829,30.714,21.6039812127,20.0117397402
2005-05-05,COP,38.918,2.912,1.034,2.421,1.126,0.075,2.08,7.756,0.502,1.623,32.214,20.2011252898,25.0409782238
2005-08-03,COP,42.614,3.138,-0.88,1.541,1.035,0.074,2.25,8.481,0.569,1.88,33.865,24.8515926742,25.8546346591
2005-11-02,COP,49.659,3.8,1.262,2.803,1.07,0.077,2.73,7.537,0.54,1.857,35.753,26.0720773271,24.6692214042
2006-02-27,COP,52.173,3.679,-0.589,2.214,1.006,0.071,2.66,6.306,0.465,1.618,38.074,24.3395502624,26.5490483409
2006-05-04,COP,47.927,3.291,0.794,3.008,1.194,0.069,2.38,7.898,0.571,1.522,52.203,26.1702772417,27.4468761316
2006-08-03,COP,48.476,5.186,-2.354,0.654,1.076,0.107,3.13,7.103,0.572,1.465,46.76,27.348676217,23.8766078078
2006-11-02,COP,49.585,3.876,0.042,0.696,1.019,0.078,2.35,6.129,0.496,1.221,48.696,23.8766078078,26.9067766013
2007-02-23,COP,42.535,3.197,0.121,0.817,0.979,0.075,1.9,7.105,0.586,1.337,50.068,27.0400479139,27.930861425
2007-05-03,COP,42.867,3.546,0.043,0.86,1.029,0.083,2.15,7.238,0.624,1.349,51.466,28.1623326523,32.8759285532
2007-08-01,COP,49.397,0.301,0.551,1.411,0.998,0.006,0.18,12.033,0.713,1.547,51.917,32.8408571551,34.7206840918
2007-11-01,COP,47.933,3.673,-0.032,1.379,0.981,0.077,2.26,12.419,0.728,1.531,53.581,34.0052275711,32.8057857571
2008-02-22,COP,54.298,4.371,0.077,1.456,0.984,0.081,2.72,10.586,0.647,1.415,55.943,33.1354568989,35.1204980299
2008-04-30,COP,56.552,4.139,-0.033,1.423,1.033,0.073,2.65,10.644,0.638,1.483,57.339,35.4150977737,33.352899567
2008-07-30,COP,73.353,5.439,-0.636,0.787,1.046,0.074,3.54,7.303,0.554,1.393,60.195,35.1836265464,20.8394247347
2008-10-29,COP,71.373,5.188,0.329,1.116,0.976,0.073,3.43,3.907,0.293,0.805,61.471,21.0358245639,16.6448855252
2009-02-25,COP,44.904,-31.764,-0.361,0.755,1.57,-0.707,-20.77,-3.343,0.231,1.03,37.125,16.2801429853,17.2621421313
2009-04-29,COP,31.28,0.84,0.047,0.802,1.58,0.027,0.57,-3.03,0.278,1.116,37.079,17.6058418324,19.4856687691
2009-08-04,COP,36.63,1.298,0.086,0.888,1.528,0.035,0.87,-2.722,0.361,1.129,39.643,19.4225402526,21.8564952788
2009-11-03,COP,41.305,1.503,-0.247,0.641,1.469,0.036,1.0,-2.677,0.489,1.224,41.328,22.1931807003,21.3584814262
2010-02-25,COP,43.625,1.217,-0.099,0.542,1.433,0.028,0.82,14.783,0.47,1.15,41.929,21.3374385873,26.3736913506
2010-05-04,COP,45.762,2.098,0.313,0.855,1.454,0.046,1.41,14.117,0.516,1.374,42.092,25.6301777114,25.8897060572
2010-08-05,COP,50.127,4.164,3.265,4.12,1.308,0.083,2.79,9.529,0.473,1.309,43.879,26.0159630902,26.8226052459
2010-11-02,COP,49.549,3.055,3.876,7.996,1.231,0.062,2.06,8.276,0.461,1.257,46.817,26.9979622362,35.1625837075
