datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-06-18,COST,7.718895,0.105257,0.046919,0.558576,1.033,0.014,0.23,31.028,0.554,4.076,10.341,31.5462361861,31.9285693718
2001-11-16,COST,11.134555,0.190734,0.044009,0.602585,1.043,0.017,0.42,31.643,0.548,3.902,10.824,31.5837198318,33.0980591164
2001-12-28,COST,8.466553,0.129656,0.221886,0.824471,1.197,0.015,0.29,33.949,0.574,4.087,11.068,33.8777189461,31.6436936648
2002-03-19,COST,9.382852,0.192556,-0.04992,0.774551,1.058,0.021,0.43,31.04,0.523,3.666,11.557,31.6811773105,29.8369819441
2002-06-14,COST,8.616747,0.13037,0.066563,0.841114,1.039,0.015,0.29,28.122,0.481,3.345,11.905,29.8219884858,23.9595463049
2002-11-22,COST,12.296347,0.247401,-0.035596,0.805518,1.02,0.02,0.53,20.555,0.371,2.527,12.552,23.6671738687,20.6759789452
2002-12-20,COST,9.198585,0.145729,-0.092664,0.712854,1.076,0.016,0.32,17.747,0.322,2.178,12.81,20.9008808191,22.7900565603
2003-03-28,COST,10.114167,0.182065,0.456148,1.169002,1.02,0.018,0.4,19.673,0.345,2.295,13.268,22.8125467477,26.8532837497
2003-06-24,COST,9.543071,0.15378,0.12047,1.289472,0.985,0.016,0.34,22.73,0.403,2.636,13.774,27.1756431024,25.5938332556
2003-11-21,COST,13.689729,0.239426,0.255967,1.545439,0.993,0.017,0.52,21.656,0.367,2.382,14.341,25.5713430682,27.8728389116
2004-01-02,COST,10.521478,0.160175,0.256081,1.80152,1.096,0.015,0.35,22.622,0.379,2.445,14.869,27.2281202063,27.3180809559
2004-03-25,COST,11.548974,0.226792,0.374417,2.175937,0.999,0.02,0.49,21.744,0.374,2.385,15.52,27.7079108707,31.2422365916
2004-06-17,COST,10.897239,0.198658,0.316991,2.492928,1.018,0.018,0.43,23.253,0.411,2.66,15.71,31.2723061167,36.766666874
2004-11-12,COST,15.139301,0.296768,0.330207,2.823135,0.972,0.02,0.64,26.112,0.479,3.022,16.538,37.0913673619,36.2078799878
2004-12-17,COST,11.578003,0.193153,0.061864,2.884999,0.992,0.017,0.41,24.663,0.459,2.75,17.623,36.0870612016,33.0852225728
2005-03-24,COST,12.658077,0.305452,0.158336,3.043335,0.902,0.024,0.64,20.951,0.414,2.417,18.166,32.9944122638,35.0481894906
2005-06-16,COST,11.9969,0.209788,-0.318219,2.725116,0.887,0.017,0.44,21.925,0.429,2.487,18.532,34.8964328789,37.0103009116
2005-11-10,COST,16.702248,0.354699,-0.662531,2.062585,0.853,0.021,0.74,22.231,0.446,2.661,18.646,38.0829530038,37.5314475977
2005-12-21,COST,12.927353,0.215818,-0.053705,2.00888,0.911,0.017,0.46,21.706,0.434,2.599,19.181,37.9813369533,42.1601236714
2006-03-23,COST,14.054576,0.296203,0.230906,2.239786,0.888,0.021,0.63,24.071,0.465,2.858,19.212,42.0301885549,41.2682991534
2006-06-16,COST,13.273175,0.235595,-0.229338,2.010448,0.864,0.018,0.5,22.819,0.442,2.723,19.635,41.1763705122,41.1267432314
2006-11-17,COST,19.896123,0.355599,-0.499509,1.510939,0.906,0.018,0.77,22.182,0.407,2.676,19.631,41.1113457236,40.2875790583
2006-12-22,COST,14.151624,0.236886,0.332162,1.843101,1.045,0.017,0.52,21.001,0.385,2.632,19.552,40.1874952579,41.4386255458
2007-03-30,COST,15.112016,0.249478,-0.271196,1.571905,1.032,0.017,0.55,22.317,0.385,2.736,19.491,41.5466592065,43.1432277313
2007-06-15,COST,14.659255,0.223986,1.589031,3.160936,1.296,0.015,0.5,23.044,0.385,2.896,19.039,43.3985588854,50.5995774922
2007-10-25,COST,20.47726,0.372422,-0.381203,2.779733,1.266,0.018,0.85,25.986,0.437,3.263,19.621,50.2738291393,53.5461534662
2007-12-21,COST,15.80953,0.261981,-0.037379,2.742354,1.389,0.017,0.6,27.501,0.461,3.477,20.139,54.4711051664,50.8366456414
2008-03-28,COST,16.959886,0.32785,-0.474973,2.267381,1.302,0.019,0.75,23.51,0.411,3.117,20.577,50.1433478385,53.2413937583
2008-06-13,COST,16.613717,0.295066,0.581277,2.848658,1.318,0.018,0.68,24.316,0.438,3.354,21.019,54.8964048252,41.953373091
2008-10-16,COST,23.099887,0.397828,-0.229229,2.619429,1.241,0.017,0.91,19.448,0.344,2.714,21.165,45.2244997376,45.2244997376
2008-10-17,COST,23.099887,0.397828,-0.229229,2.619429,1.241,0.017,0.91,19.512,0.345,2.723,21.165,45.3731873124,42.514953365
2008-12-19,COST,16.395,0.263,-0.404,2.215,1.363,0.016,0.61,18.153,0.319,2.633,20.467,42.2323054756,34.6570412581
2009-03-18,COST,16.843,0.239,0.49,2.705,1.264,0.014,0.55,16.149,0.265,2.116,21.042,35.0352900031,36.6053727169
2009-06-12,COST,15.806,0.21,0.378,3.083,1.239,0.013,0.48,18.428,0.283,2.159,21.809,37.2066280284,46.8235195383
2009-10-16,COST,22.378,0.374,0.074,3.157,1.185,0.017,0.86,23.478,0.357,2.545,23.024,46.4344484076,46.0376599431
2009-12-18,COST,17.299,0.266,0.46,3.617,1.261,0.015,0.61,23.572,0.355,2.481,23.663,46.5394545065,48.6624086137
2010-03-17,COST,18.742,0.299,0.517,4.134,1.185,0.016,0.68,23.513,0.364,2.537,24.219,48.9979563335,46.0139360409
2010-06-10,COST,17.78,0.306,0.279,4.413,1.189,0.017,0.69,20.334,0.332,2.328,24.659,46.21434517,51.2466184017
2010-10-18,COST,24.125,0.432,-1.199,3.214,1.19,0.018,0.99,20.973,0.351,2.524,24.768,50.8524136448,58.2093610584
2010-12-17,COST,19.239,0.312,0.525,3.739,1.28,0.016,0.72,23.247,0.393,2.8,25.798,57.983367976,56.4591415073
2011-03-17,COST,20.875,0.348,-0.384,3.355,1.173,0.017,0.8,22.018,0.375,2.657,26.525,57.025675324,64.0683890509
2011-06-09,COST,20.623,0.324,0.727,4.082,1.206,0.016,0.74,24.435,0.408,2.892,27.377,64.1495602014,66.4988900271
2011-10-14,COST,28.178,0.478,-0.073,4.009,1.182,0.017,1.09,24.238,0.399,2.953,27.494,66.5803139159,67.4215357233
2011-12-16,COST,21.628,0.32,0.31,4.319,1.306,0.015,0.74,24.43,0.393,3.016,27.426,67.4215357233,74.434658585
2012-03-15,COST,22.967,0.394,0.07,4.389,1.201,0.017,0.91,26.182,0.425,3.245,28.15,74.8932219383,71.2872936139
2012-06-06,COST,22.324,0.386,0.402,4.791,1.164,0.017,0.89,24.05,0.399,3.016,29.012,72.1170754112,79.3690503459
2012-10-19,COST,32.218,0.609,-1.263,3.528,1.183,0.019,1.41,23.982,0.413,3.316,28.58,78.0919608822,87.798821941
