datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2004-06-04,CRM,0.034839,0.000437,-0.004901,0.009478,-1.723,0.013,0.0,,,,-0.348,4.3,3.1925
2004-08-25,CRM,0.040581,0.00117,0.055533,0.064251,0.701,0.029,0.01,,,10.013,0.516,3.24,4.4375
2004-11-22,CRM,0.046361,0.002153,-0.038337,0.025683,0.796,0.046,0.01,,,13.226,0.336,4.405,3.675
2005-03-25,CRM,0.054594,0.003586,0.012975,0.038922,0.933,0.066,0.01,211.115,8.793,10.686,0.481,3.61,4.425
2005-05-20,CRM,0.064177,0.00438,0.004873,0.043889,0.926,0.068,0.01,173.615,9.528,12.81,0.364,4.6225,5.08
2005-08-19,CRM,0.071943,0.00504,-0.015464,0.028447,0.957,0.07,0.01,145.369,9.295,13.323,0.388,5.12,7.3075
2005-11-18,CRM,0.082673,0.013097,0.062215,0.087355,0.975,0.158,0.03,119.282,11.389,17.11,0.422,7.1875,9.945
2006-03-15,CRM,0.091064,0.005957,0.012487,0.099842,1.214,0.065,0.02,151.604,13.931,21.983,0.449,9.74,7.165
2006-05-19,CRM,0.104686,-0.000229,0.028731,0.128573,1.159,-0.002,0.0,133.389,9.086,15.024,0.477,7.1375,8.425
2006-08-18,CRM,0.118137,-0.000145,0.021419,0.149992,1.179,-0.001,0.0,197.487,9.303,16.031,0.514,8.2125,10.4925
2006-11-17,CRM,0.130053,0.000339,-0.079668,0.070324,1.167,0.003,0.0,799.598,10.666,18.469,0.568,10.43,10.92
2007-03-09,CRM,0.144222,0.000516,0.016284,0.086608,1.359,0.004,0.0,10273.493,9.941,17.536,0.619,10.7425,10.745
2007-05-18,CRM,0.162412,0.00073,0.000884,0.087492,1.257,0.004,0.0,3673.542,9.534,17.104,0.672,11.45,10.3125
2007-08-17,CRM,0.176579,0.003735,0.035457,0.122949,1.21,0.021,0.01,878.635,7.622,13.315,0.755,10.005,14.3375
2007-11-19,CRM,0.192803,0.006512,0.037812,0.160761,1.156,0.034,0.01,555.819,9.45,15.919,0.855,13.5225,15.415
2008-02-29,CRM,0.216906,0.007379,0.118334,0.279095,1.41,0.034,0.02,388.134,9.516,15.76,0.952,14.93,16.5775
2008-05-23,CRM,0.247622,0.009555,0.099453,0.378548,1.226,0.039,0.02,296.13,9.652,16.0,1.05,16.755,13.3125
2008-08-22,CRM,0.263077,0.009996,0.048495,0.427043,1.126,0.038,0.02,202.511,7.358,11.966,1.171,13.9925,6.6475
2008-11-25,CRM,0.276487,0.010124,-0.044729,0.382314,1.063,0.037,0.02,85.506,3.155,5.124,1.271,6.4925,7.5175
2009-03-09,CRM,0.289583,0.013753,0.10152,0.483834,1.203,0.047,0.03,87.418,3.526,5.651,1.371,7.7225,9.375
2009-05-27,CRM,0.304924,0.018436,-0.142129,0.341705,1.001,0.06,0.04,86.175,3.975,6.193,1.477,9.125,13.195
2009-08-25,CRM,0.316061,0.021198,-0.095536,0.246169,0.953,0.067,0.04,102.111,5.463,8.198,1.597,13.075,16.36
2009-11-25,CRM,0.330549,0.020691,-0.003281,0.242888,0.9,0.063,0.04,109.746,6.55,9.465,1.724,16.2725,18.7975
2010-03-11,CRM,0.354049,0.020394,0.768418,1.011306,1.345,0.058,0.04,118.85,7.348,9.191,2.067,18.855,21.75
2010-05-28,CRM,0.376813,0.017745,-0.320512,0.690794,1.181,0.047,0.04,139.156,8.085,9.816,2.215,21.6325,29.9475
2010-09-09,CRM,0.394372,0.014744,-0.280869,0.409925,1.163,0.037,0.03,207.719,10.498,12.319,2.396,29.4125,35.625
2010-11-24,CRM,0.429087,0.021072,0.220378,0.630303,1.263,0.049,0.04,257.932,12.272,15.761,2.312,36.2925,30.3725
2011-03-23,CRM,0.456867,0.010913,-0.206011,0.424292,1.422,0.024,0.02,251.725,9.794,12.714,2.408,30.53,37.7325
2011-05-26,CRM,0.504364,0.00053,0.24032,0.664612,1.414,0.001,0.0,435.085,11.521,16.375,2.352,38.39,30.9025
2011-09-06,CRM,0.546002,-0.004268,-0.214818,0.449794,1.349,-0.008,-0.01,580.098,8.462,11.555,2.624,30.2325,27.795
