datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-09,CVX,13.006,1.324,0.58,2.895,0.982,0.102,1.03,9.783,1.108,2.619,17.285,25.8897987431,25.6793375956
2001-11-13,CVX,11.909,1.168,0.522,3.417,0.936,0.098,0.91,10.371,1.139,2.518,17.878,25.9498584668,26.0393459598
2002-03-27,CVX,69.032,-0.804,-1.732,2.117,1.284,-0.012,-1.64,29.374,0.909,2.844,15.91,26.4782113411,26.3026651886
2002-05-15,CVX,21.155,0.725,1.408,3.525,1.305,0.034,0.34,38.952,0.817,2.754,16.095,25.9662017296,21.9879613964
2002-08-09,CVX,25.333,0.407,-0.873,2.652,1.3,0.016,0.2,53.939,0.633,2.39,15.916,22.279915283,19.9897166647
2002-11-12,CVX,25.503,-0.904,0.115,2.767,1.38,-0.035,-0.42,-124.618,0.509,2.235,15.128,19.9956677563,19.5131483405
2003-03-17,CVX,27.058,0.904,0.19,2.957,1.448,0.033,0.43,61.07,0.698,2.187,14.791,19.6712233855,20.4707183245
2003-05-09,CVX,30.965,1.92,0.847,3.804,1.478,0.062,0.91,31.012,0.663,2.199,15.448,20.5345563235,22.484136922
2003-08-12,CVX,29.361,1.6,-0.712,3.092,1.363,0.054,0.76,22.441,0.7,2.316,16.051,22.7022207637,23.0042616246
2003-11-12,CVX,30.97,1.975,1.291,4.383,1.307,0.064,1.01,12.48,0.675,2.266,16.582,23.177995765,28.6550515555
2004-03-09,CVX,30.465,1.735,-0.117,4.266,1.245,0.057,0.81,13.318,0.791,2.653,16.964,28.4370583297,29.545980391
2004-05-07,CVX,33.566,2.562,1.592,5.858,1.23,0.076,1.21,12.458,0.789,2.57,17.945,28.9551871561,31.4184138083
2004-08-04,CVX,38.301,4.125,2.481,8.339,1.159,0.108,1.94,9.896,0.772,2.508,19.326,30.7624039518,33.4646199121
2004-11-03,CVX,40.715,3.201,1.698,10.037,1.125,0.079,1.51,9.692,0.787,2.629,20.271,34.1518971349,40.1227247235
