datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2007-09-10,CXO,0.066103,0.005925,,0.010387,1.355,0.089,0.1,,,1.892,10.285,14.83,18.4
2007-11-14,CXO,0.069098,0.007954,0.009481,0.019868,0.866,0.115,0.12,,,1.724,11.198,17.6,25.37
2008-03-28,CXO,0.098786,0.006858,0.010556,0.030424,0.945,0.069,0.09,77.083,6.63,2.517,10.295,25.68,27.94
2008-05-14,CXO,0.106711,0.022365,-0.014732,0.015692,0.906,0.21,0.3,50.079,6.334,2.692,10.623,28.4,29.1
2008-08-13,CXO,0.137383,-0.01442,0.016024,0.031716,1.085,-0.105,-0.19,113.829,6.288,3.304,10.361,30.68,21.43
2008-11-13,CXO,0.170457,0.141928,0.022654,0.05437,1.241,0.833,1.75,13.403,4.092,1.767,14.624,24.8,20.68
2009-02-27,CXO,0.119238,0.128829,-0.036618,0.017752,1.124,1.08,1.59,6.078,3.174,1.278,15.709,19.95,29.01
2009-05-08,CXO,0.086002,-0.013225,-0.015345,0.002407,1.149,-0.154,-0.16,10.813,5.124,1.997,15.576,30.79,34.58
2009-08-06,CXO,0.127332,-0.033218,0.000674,0.003081,1.144,-0.261,-0.39,12.791,5.704,2.225,15.207,33.55,41.37
2009-11-06,CXO,0.153494,0.019762,0.012614,0.015695,1.149,0.129,0.23,34.558,7.262,2.689,15.432,41.15,46.79
2010-02-26,CXO,0.177619,0.016879,-0.012461,0.003234,1.375,0.095,0.19,-432.627,7.789,3.175,15.664,46.45,51.18
2010-05-07,CXO,0.212,0.06754,0.003754,0.006988,1.011,0.319,0.76,63.279,6.698,2.753,18.361,49.05,62.39
2010-08-06,CXO,0.21571,0.124171,-0.006605,0.000383,0.954,0.576,1.36,25.371,7.635,3.287,19.357,63.08,71.86
2010-11-04,CXO,0.240496,0.020775,-2.6e-05,0.000357,0.98,0.086,0.23,33.519,9.089,4.298,19.616,76.97,107.53
2011-02-25,CXO,0.30437,-0.008116,2.7e-05,0.000384,1.252,-0.027,-0.14,55.344,11.63,4.745,24.059,109.79,94.0
2011-05-06,CXO,0.36084,0.042575,0.000524,0.000908,1.342,0.118,0.42,54.362,8.697,3.978,23.98,94.34,86.43
2011-08-05,CXO,0.446232,0.232182,-0.000511,0.000397,1.24,0.52,2.26,29.889,6.354,3.188,26.269,82.87,96.06
2011-11-03,CXO,0.454468,0.356205,-0.000223,0.000174,1.133,0.784,3.47,16.562,6.588,3.374,29.763,99.49,112.25
2012-02-24,CXO,0.478427,-0.082825,0.000168,0.000342,1.298,-0.173,-0.81,21.462,6.761,3.947,29.003,113.43,105.23
2012-05-03,CXO,0.507805,0.031117,0.000264,0.000606,1.428,0.061,0.3,19.286,5.485,3.421,29.418,99.5,93.02
2012-08-08,CXO,0.432796,0.319297,0.000104,0.00071,1.312,0.738,3.1,15.539,5.174,2.889,32.542,92.94,87.0
2012-11-08,CXO,0.497547,0.005988,-0.000419,0.000291,1.641,0.012,0.06,30.738,4.388,2.486,32.746,80.4,92.85
2013-02-22,CXO,0.381666,0.075287,0.002589,0.00288,1.478,0.197,0.72,22.973,5.45,2.861,33.491,94.75,83.74
2013-05-02,CXO,0.472127,0.030093,-0.001906,0.000974,1.528,0.064,0.29,19.489,4.704,2.394,33.827,80.14,94.0
2013-08-08,CXO,0.562786,0.0847,-0.000927,4.7e-05,1.568,0.151,0.81,52.394,5.367,2.854,34.284,97.85,106.88
2013-11-07,CXO,0.65292,0.030421,-2.5e-05,2.2e-05,1.615,0.047,0.29,50.41,5.371,3.05,34.691,105.8,116.27
2014-02-21,CXO,0.632086,0.105789,-1e-06,2.1e-05,1.552,0.167,1.0,48.055,5.199,3.21,35.735,114.7,134.48
2014-05-12,CXO,0.660959,0.091307,0.0,2.1e-05,1.584,0.138,0.87,43.794,5.45,3.541,36.694,129.94,136.22
2014-08-07,CXO,0.704702,0.011769,0.365467,0.365488,1.234,0.017,0.11,61.798,5.579,3.071,42.632,130.92,106.49
2014-11-06,CXO,0.700263,0.305203,-0.266624,0.098864,1.146,0.436,2.7,24.665,4.7,2.465,45.516,112.2,116.78
2015-02-26,CXO,0.594223,0.129896,-0.098843,2.1e-05,1.235,0.219,1.15,23.741,4.803,2.42,46.691,112.97,126.74
2015-05-05,CXO,0.413522,0.007512,0.0,2.1e-05,1.02,0.018,0.07,31.97,6.021,2.404,50.348,121.04,106.78
2015-07-30,CXO,0.537425,-0.120483,0.000259,0.00028,1.047,-0.224,-1.02,40.502,5.81,2.197,49.36,108.45,116.75
2015-11-05,CXO,0.463474,0.179659,-0.00026,2e-05,1.042,0.388,1.49,74.366,7.278,2.383,47.496,113.2,91.54
2016-02-25,CXO,0.389152,-0.000788,0.22853,0.22855,0.821,-0.002,-0.02,174.27,6.368,1.654,53.669,88.78,111.55
2016-05-05,CXO,0.283564,-1.02048,0.238271,0.466821,0.833,-3.599,-7.95,-15.986,9.189,2.497,46.817,116.91,121.29
2016-08-03,CXO,0.396299,-0.265685,0.014409,0.48123,0.847,-0.67,-2.04,-14.999,10.837,2.813,44.793,126.01,134.06
2016-11-09,CXO,0.430548,-0.051146,0.677709,1.158939,0.608,-0.119,-0.38,-14.482,12.922,2.693,49.261,132.68,141.35
2017-02-22,CXO,0.524577,-0.125135,-1.105678,0.053261,0.59,-0.239,-0.67,-13.343,11.935,2.56,51.448,131.7,128.79
2017-05-04,CXO,0.612,0.65,0.718,0.771,0.561,1.062,4.39,90.685,9.609,2.211,57.486,127.11,128.66
2017-08-03,CXO,0.567,0.152,-0.109,0.662,0.557,0.268,1.02,27.916,8.185,2.001,58.697,117.46,118.73
