datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-03,D,2.309,0.155,-0.406,0.476,3.285,0.067,0.32,22.551,1.448,2.142,14.492,16.3999432071,16.2344330629
2001-11-05,D,2.544,0.344,-0.109,0.367,2.945,0.135,0.69,20.088,1.422,2.038,15.188,16.5172815022,16.9639797187
2002-03-11,D,2.507,-0.117,0.119,0.486,2.926,-0.047,-0.25,30.389,1.566,1.976,15.768,16.9912529979,18.0821841696
2002-05-03,D,2.634,0.322,0.162,0.648,2.783,0.122,0.6,26.177,1.844,2.085,15.977,18.1721859912,16.4003205569
2002-08-07,D,2.332,0.272,-0.423,0.225,2.896,0.117,0.49,20.343,1.667,1.92,15.637,16.5380226607,13.3481771839
2002-11-08,D,2.545,0.43,-0.042,0.183,2.793,0.169,0.78,16.232,1.47,1.624,14.753,13.3314850074,15.9391673327
2003-03-20,D,2.706,0.338,0.108,0.291,2.55,0.125,0.56,12.791,1.705,1.706,16.511,16.0589035209,16.8086801277
2003-05-09,D,3.584,0.508,0.207,0.498,2.917,0.142,0.82,11.914,1.652,1.777,16.695,16.9170128693,17.3739491947
2003-08-11,D,2.635,0.24,-0.365,0.133,2.649,0.091,0.38,12.858,1.699,1.751,17.218,17.3595500987,17.7978073229
2003-11-07,D,2.857,-0.256,0.058,0.191,2.771,-0.09,-0.4,23.85,1.68,1.809,16.866,17.7599706107,18.6724908249
2004-03-01,D,3.001,-0.174,-0.065,0.126,3.169,-0.058,-0.28,64.632,1.702,1.95,16.2,18.779479472,18.9904848593
2004-05-05,D,3.879,0.437,0.13,0.256,3.229,0.113,0.68,83.708,1.671,1.967,16.093,18.8181142612,19.0543844237
2004-08-04,D,3.04,0.251,-0.173,0.083,3.208,0.083,0.38,81.597,1.648,1.991,16.013,19.1414592974,19.2566751877
2004-11-03,D,3.292,0.337,0.013,0.096,3.359,0.102,0.51,25.004,1.611,2.021,15.882,19.4689534968,22.4913882277
2005-02-28,D,3.761,0.224,0.293,0.389,2.955,0.06,0.33,19.642,1.756,2.147,16.774,22.2718544685,23.2365661989
2005-05-04,D,4.732,0.429,-0.118,0.271,3.391,0.091,0.63,19.947,1.67,2.319,15.673,22.4790201286,24.1138296906
2005-08-03,D,3.637,0.332,-0.199,0.044,3.383,0.091,0.49,20.081,1.721,2.463,15.813,24.3167292285,23.7796044918
2005-11-03,D,4.564,0.015,1.193,1.237,4.66,0.003,0.02,26.167,1.567,2.677,14.075,23.7292173018,23.9363660949
2006-03-02,D,5.108,0.257,-1.091,0.146,4.04,0.05,0.38,25.003,1.432,2.484,14.961,23.8273750078,23.1029048408
2006-03-07,D,5.108,0.257,-1.091,0.146,4.04,0.05,0.38,24.206,1.386,2.405,14.961,23.0676430185,23.8690480705
2006-05-04,D,4.957,0.534,-0.073,0.069,3.395,0.108,0.77,22.709,1.415,2.259,16.46,23.8369918684,25.2900843155
2006-08-03,D,3.556,0.161,0.01,0.081,3.162,0.045,0.23,28.593,1.52,2.283,17.159,25.3580423156,26.4371845874
2006-11-01,D,4.033,0.654,0.045,0.126,2.682,0.162,0.93,18.415,1.675,2.183,19.151,27.2924188585,28.2723444615
2007-02-28,D,3.936,0.031,0.014,0.138,2.794,0.008,0.05,21.629,1.811,2.311,18.502,28.3918471503,30.5495345872
2007-05-03,D,4.712,0.453,-0.034,0.103,2.725,0.096,0.65,24.579,1.966,2.463,18.502,30.2540973843,29.8667512084
2007-08-08,D,3.73,-0.53,-0.065,0.04,2.823,-0.142,-0.76,52.278,1.937,2.527,18.024,30.4858379282,30.9148260917
2007-11-01,D,3.589,2.317,0.428,0.469,3.135,0.646,3.65,11.414,1.623,2.803,16.071,30.3952491826,28.793131587
2008-02-28,D,3.694,0.299,-0.184,0.283,3.129,0.081,0.59,9.394,1.522,2.536,16.363,28.4977821934,29.8028143979
2008-05-01,D,4.389,0.68,-0.202,0.079,3.073,0.155,1.18,9.245,1.66,2.685,16.479,30.3866445947,30.7883080866
2008-07-31,D,3.452,0.298,0.006,0.088,3.708,0.086,0.52,7.129,1.694,2.887,15.303,30.6081784713,24.6135450782
2008-10-30,D,4.231,0.508,-0.001,0.088,2.929,0.12,0.88,11.812,1.337,2.015,18.001,25.354537915,22.0526589014
2009-02-26,D,4.218,0.348,-0.019,0.066,3.148,0.083,0.59,9.57,1.077,1.742,17.27,21.5581403885,21.2212944449
2009-04-30,D,4.778,0.248,0.076,0.141,2.869,0.052,0.42,12.691,1.067,1.662,18.152,21.6154758682,25.1116700287
2009-07-31,D,3.45,0.454,-0.081,0.064,2.746,0.132,0.76,12.914,1.206,1.827,18.496,24.5736666754,25.1082807244
2009-11-02,D,3.648,0.594,-0.013,0.05,2.693,0.163,1.0,12.57,1.284,1.824,18.966,25.4839106208,28.9137175271
2010-02-26,D,3.255,-0.009,-0.003,0.048,2.782,-0.003,-0.02,17.714,1.507,2.038,18.638,28.6497686191,31.2364679179
2010-04-29,D,4.168,0.174,0.035,0.085,2.792,0.042,0.29,20.294,1.695,2.228,18.54,31.1459711495,32.0420367192
2010-08-02,D,3.333,1.761,0.326,0.411,2.419,0.528,2.98,10.099,1.767,2.095,20.617,32.9653723808,33.8932728608
2010-10-29,D,3.95,0.575,0.035,0.446,2.47,0.146,0.98,10.088,1.716,2.086,20.835,33.5153956435,35.0807548648
2011-02-28,D,3.746,0.298,-0.384,0.462,2.548,0.08,0.53,9.439,1.744,2.209,20.654,35.5718854329,36.5147262994
2011-04-29,D,4.057,0.479,0.126,0.532,2.56,0.118,0.83,8.586,1.772,2.238,20.742,36.5856592881,39.0142425654
