datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-13,DAL,3.776,-0.09,0.333,1.505,3.549,-0.025,-0.76,,,,40.877,19.7604102305,19.7604102305
2001-11-14,DAL,3.398,-0.259,1.281,2.786,4.259,-0.077,-2.13,,,,37.639,19.7604102305,19.7604102305
2002-03-28,DAL,2.863,-0.734,-0.576,2.21,5.672,-0.258,-5.99,,,,28.71,19.7604102305,19.7604102305
2002-05-14,DAL,3.103,-0.397,-0.697,1.513,5.95,-0.129,-3.25,,,,27.677,19.7604102305,19.7604102305
2002-08-13,DAL,3.474,-0.186,0.234,1.841,6.57,-0.054,-1.54,,,,25.794,19.7604102305,19.7604102305
2002-11-14,DAL,3.42,-0.326,-0.09,1.754,7.449,-0.096,-2.67,,,,23.076,19.7604102305,19.7604102305
2003-03-27,DAL,3.308,-0.363,0.312,2.103,26.682,-0.111,-2.98,,,,7.236,19.7604102305,19.7604102305
2003-05-15,DAL,3.155,-0.466,-0.112,2.01,47.446,-0.149,-3.81,,,,4.094,19.7604102305,19.7604102305
2003-08-13,DAL,3.307,0.184,0.958,3.023,36.639,0.054,1.46,,,,5.504,19.7604102305,19.7604102305
2003-11-14,DAL,3.443,-0.164,-0.088,2.932,50.833,-0.049,-1.36,,,,4.028,19.7604102305,19.7604102305
2004-03-12,DAL,3.398,-0.327,-0.017,2.917,-40.994,-0.098,-2.69,,,,-5.314,19.7604102305,19.7604102305
2004-05-10,DAL,3.292,-0.383,-0.53,2.445,-26.461,-0.118,-3.12,,,,-8.298,19.7604102305,19.7604102305
2004-08-09,DAL,3.961,-1.963,-0.214,2.233,-9.189,-0.497,-15.79,,,,-23.675,19.7604102305,19.7604102305
2004-11-15,DAL,3.871,-0.646,-0.52,1.755,-7.577,-0.168,-5.16,,,,-28.355,19.7604102305,19.7604102305
2005-03-10,DAL,3.641,-2.206,0.557,1.811,-4.761,-0.607,-17.01,,,,-41.04,19.7604102305,19.7604102305
2005-05-10,DAL,3.647,-1.071,0.183,2.004,-4.279,-0.295,-7.64,,,,-47.04,19.7604102305,19.7604102305
2005-08-15,DAL,4.185,-0.382,-0.305,1.709,-4.087,-0.093,-2.64,,,,-47.575,19.7604102305,19.7604102305
2005-11-14,DAL,4.216,-1.13,0.02,2.48,-3.389,-0.269,-6.73,,,,-50.245,19.7604102305,19.7604102305
2006-03-27,DAL,4.143,-1.235,0.647,2.878,-3.025,-0.299,-6.68,,,,-50.143,19.7604102305,19.7604102305
2006-05-12,DAL,3.719,-2.069,0.421,3.362,-2.763,-0.557,-10.68,,,,-59.102,19.7604102305,19.7604102305
2006-08-09,DAL,4.655,-2.205,0.002,3.477,-2.496,-0.474,-11.18,,,,-70.266,19.7604102305,19.7604102305
2006-11-09,DAL,4.659,0.052,-0.148,3.304,-2.491,0.011,0.26,,,,-70.291,19.7604102305,19.7604102305
2007-03-02,DAL,4.138,-1.981,-0.249,2.784,-2.444,-0.479,-10.05,,,,-68.883,19.7604102305,19.7604102305
