datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-14,DHI,1.120981,0.068803,-0.044744,0.081403,1.926,0.061,0.3,7.819,0.453,1.591,4.944,6.3184568968,6.78476913373
2001-11-20,DHI,1.540034,0.086764,0.157877,0.23928,1.921,0.056,0.38,7.182,0.414,1.476,5.419,6.43868956937,9.83777670893
2002-02-14,DHI,1.15989,0.073428,-0.2073,0.03198,1.766,0.063,0.32,10.275,0.61,2.178,5.715,10.0366282458,10.5938840071
2002-05-15,DHI,1.600065,0.088931,0.157746,0.189726,1.745,0.056,0.34,11.855,0.695,1.849,6.967,10.4080263929,8.30738731047
2002-08-13,DHI,1.808479,0.10594,-0.133799,0.055927,1.688,0.059,0.36,8.425,0.49,1.398,7.302,8.27496823803,7.07716805028
2002-12-13,DHI,2.170397,0.136393,0.048417,0.104344,1.651,0.063,0.47,6.173,0.371,1.101,7.745,6.93082798721,7.42168233716
2003-02-14,DHI,1.744934,0.111828,0.090351,0.194695,1.636,0.064,0.38,6.051,0.366,1.129,8.102,7.46248322961,7.46248322961
2003-02-18,DHI,1.744934,0.111828,0.090351,0.194695,1.636,0.064,0.38,6.418,0.388,1.198,8.102,7.91537313584,10.351951432
2003-05-13,DHI,1.908547,0.127835,-0.007217,0.187478,1.595,0.067,0.43,7.693,0.486,1.504,8.426,10.3274013496,11.5100097099
2003-08-14,DHI,2.212387,0.155565,0.108764,0.296242,1.439,0.07,0.54,8.353,0.553,1.566,9.71,11.5879463402,16.7505352129
2003-12-12,DHI,2.862232,0.230727,0.286663,0.582905,1.401,0.081,0.75,10.404,0.746,2.148,9.621,16.9888892468,17.7117150705
2004-02-06,DHI,2.20453,0.185614,-0.418745,0.16416,1.232,0.084,0.6,9.976,0.76,2.174,10.37,18.5462985031,16.6942257359
2004-05-10,DHI,2.335263,0.188557,0.054533,0.218693,1.255,0.081,0.61,7.836,0.62,1.758,10.921,15.8511456394,17.5491138837
2004-08-13,DHI,2.790396,0.251296,0.0214,0.240093,1.263,0.09,0.81,7.7,0.647,1.819,11.666,17.5739797907,23.5726029224
2004-12-10,DHI,3.510611,0.349633,0.277912,0.518,1.269,0.1,1.13,9.517,0.856,2.343,12.577,24.4953072949,27.2817203323
2005-02-08,DHI,2.5201,0.241,-0.161,0.357,1.315,0.096,0.77,10.203,0.942,2.509,13.459,28.0877995634,25.4529410949
2005-05-04,DHI,2.8767,0.294,0.2158,0.5728,1.358,0.102,0.94,8.508,0.826,2.162,14.313,25.8611879406,30.7836941924
2005-08-09,DHI,3.3702,0.3717,-0.401,0.1718,1.291,0.11,1.19,9.193,0.941,2.396,15.409,30.9176819799,30.9170057479
2005-12-14,DHI,5.0968,0.5638,0.978,1.1498,1.335,0.111,1.8,8.146,0.864,2.235,16.978,31.8661015505,30.3432268053
2006-02-02,DHI,2.9031,0.3101,-0.9246,0.2252,1.283,0.107,0.99,7.104,0.768,1.949,17.938,29.4842178865,25.1401708986
2006-05-08,DHI,3.5976,0.3528,0.053,0.2782,1.273,0.098,1.13,5.677,0.606,1.527,19.01,24.5232860328,19.2417375247
2006-08-08,DHI,3.6678,0.2928,-0.1181,0.1601,1.343,0.08,0.94,4.515,0.449,1.104,19.846,18.51499645,22.9230967166
2006-12-12,DHI,4.8828,0.2777,0.4275,0.8359,1.297,0.057,0.88,6.88,0.564,1.315,20.343,22.9059707572,26.5632268426
2007-02-05,DHI,2.868,0.1097,-0.4478,0.1398,1.095,0.038,0.35,9.22,0.634,1.46,20.791,26.1242363796,19.7289182051
2007-05-04,DHI,2.6581,0.0517,0.0788,0.2186,1.066,0.019,0.16,9.618,0.5,1.076,20.819,19.4169985496,16.1071844283
2007-08-09,DHI,2.5981,-0.8238,-0.1578,0.0608,1.201,-0.317,-2.62,-15.193,0.449,1.029,18.039,16.0898555585,9.37000459711
2007-11-27,DHI,3.1724,-0.0502,0.2088,0.2696,1.068,-0.016,-0.16,-4.655,0.294,0.594,17.535,9.21944686729,13.1162351686
2008-02-07,DHI,1.7426,-0.1288,-0.1405,0.1291,0.921,-0.074,-0.41,-4.984,0.466,0.875,17.179,13.3199309207,13.5951836261
2008-05-09,DHI,1.6569,-1.3056,0.4318,0.5609,1.199,-0.788,-4.14,-2.029,0.511,1.15,12.894,13.2729804592,10.0627188076
2008-08-06,DHI,1.4642,-0.3993,0.2903,0.8512,1.314,-0.273,-1.26,-1.923,0.451,0.99,11.553,10.2875337944,6.24501148148
2008-11-26,DHI,1.7824,-0.7998,0.5361,1.3873,1.72,-0.449,-2.53,-0.915,0.362,0.85,8.848,6.80615744069,7.33897353805
2009-02-06,DHI,0.918,-0.0626,0.5258,1.9131,1.597,-0.068,-0.2,-1.128,0.497,1.048,8.722,8.31204685722,11.2900091954
2009-05-04,DHI,0.778,-0.1086,-0.3979,1.5152,1.447,-0.14,-0.34,-3.12,0.865,1.615,8.353,12.3221864114,11.3004135726
2009-08-05,DHI,0.9329,-0.1423,0.4871,2.0643,1.714,-0.153,-0.45,-3.589,0.906,1.6,7.877,11.5572411538,11.2716446714
2009-11-20,DHI,1.0288,-0.2319,-0.045,2.0125,1.99,-0.225,-0.73,-6.111,0.911,1.475,7.032,9.54179226471,10.9997307927
2010-02-02,DHI,1.1322,0.192,-0.0211,1.9893,1.59,0.17,0.6,-14.443,1.085,1.627,8.117,12.2003731126,13.189241725
2010-04-30,DHI,0.9135,0.0114,-0.2966,1.6899,1.496,0.012,0.04,-27.367,1.166,1.809,8.122,13.6060365829,10.4477023003
2010-08-03,DHI,1.4061,0.0505,-0.2471,1.4513,1.361,0.036,0.16,153.37,0.753,1.284,8.253,9.84405727852,10.271693365
2010-11-17,DHI,0.9485,-0.0088,-0.0832,1.363,1.269,-0.009,-0.03,14.054,0.783,1.318,8.102,9.95478086551,11.9831565129
2011-01-28,DHI,0.7882,-0.0204,-0.0882,1.2673,1.212,-0.026,-0.06,122.068,0.984,1.542,8.106,11.6931659962,11.3532707849
2011-04-29,DHI,0.7511,0.0278,-0.14,1.1261,1.154,0.037,0.09,80.914,1.02,1.523,8.167,11.6722883111,11.0597004358
2011-08-02,DHI,0.9992,0.0287,-0.2401,0.8914,1.123,0.029,0.09,131.847,1.032,1.389,8.201,10.7208500394,10.9064087736
2011-11-17,DHI,1.0983,0.0358,-0.1084,0.7817,1.044,0.033,0.12,51.009,1.007,1.398,8.107,10.7079385966,13.3867741581
2012-01-27,DHI,0.9066,0.0277,0.0055,0.7827,1.023,0.031,0.09,37.997,1.214,1.721,8.361,13.6427535507,14.6190810559
2012-04-23,DHI,0.9612,0.0406,-0.0583,0.7205,1.03,0.042,0.13,36.104,1.209,1.776,8.481,14.3149129195,17.910246714
2012-07-27,DHI,1.15,0.7878,0.2251,0.9464,0.907,0.685,2.47,6.584,1.427,1.683,10.926,17.519650908,17.6315513072
2012-11-16,DHI,1.3362,0.1001,0.1428,1.097,1.017,0.075,0.31,6.486,1.425,1.727,10.946,18.0420313864,20.5434595672
2013-01-29,DHI,1.2751,0.0663,-0.4808,0.6217,1.034,0.052,0.21,7.694,1.621,2.12,11.236,22.963172543,23.6476331855
2013-04-26,DHI,1.4316,0.111,0.5836,1.205,1.2,0.078,0.35,8.065,1.654,2.297,11.609,25.7010151132,20.4374163691
2013-07-25,DHI,1.6928,0.146,-0.5125,0.7066,1.122,0.086,0.45,14.777,1.091,1.602,12.095,18.6828834544,18.36475386
2013-11-26,DHI,1.8599,0.1395,0.2985,1.0143,1.181,0.075,0.44,14.22,1.051,1.621,12.293,19.2130994451,20.1867688098
2014-01-28,DHI,1.6706,0.1232,-0.1164,0.9012,1.126,0.074,0.38,14.32,1.118,1.773,12.97,22.1726687023,20.6160368508
2014-04-24,DHI,1.735,0.131,0.1313,1.0312,1.156,0.076,0.4,13.94,1.081,1.731,13.362,22.334844607,23.9863601643
2014-07-24,DHI,2.147,0.1131,-0.3764,0.5951,0.956,0.053,0.32,15.778,1.079,1.61,13.626,21.2201912099,23.759963607
2014-11-18,DHI,2.4724,0.1662,0.0459,0.6718,0.994,0.067,0.47,17.164,1.141,1.79,13.76,23.8957902671,23.7120026869
2015-01-27,DHI,2.3026,0.1425,-0.1208,0.5506,0.965,0.062,0.39,15.97,1.02,1.678,14.397,23.4980305544,25.4953471605
2015-04-24,DHI,2.398,0.1479,0.1567,0.7081,0.977,0.062,0.4,17.099,1.045,1.798,14.778,25.9048326598,26.1350313415
2015-07-28,DHI,2.9508,0.2214,0.1079,0.8173,0.929,0.075,0.6,14.925,1.0,1.798,15.349,26.9658008494,31.2173216365
2015-11-19,DHI,3.1724,0.2389,0.5782,1.3935,0.892,0.075,0.65,16.054,1.113,2.045,15.68,31.4034305512,26.3349349954
2016-01-28,DHI,2.4164,0.1577,-0.1151,1.2784,0.845,0.065,0.43,12.929,0.905,1.634,16.387,26.2956584332,30.6718734551
2016-04-25,DHI,2.7679,0.1951,-0.0446,1.2355,0.808,0.07,0.53,14.197,1.021,1.847,16.845,30.6521741144,33.3339633422
2016-07-26,DHI,3.2319,0.2498,-0.3173,0.9186,0.74,0.077,0.67,15.011,1.09,1.94,17.492,33.51174448,28.2882078286
2016-11-18,DHI,3.7412,0.2837,0.3964,1.3127,0.702,0.076,0.76,12.241,0.892,1.597,17.869,28.2585037252,30.4430939534
2017-01-25,DHI,2.9042,0.2069,-0.1529,1.1591,0.678,0.071,0.55,12.522,0.926,1.678,18.696,31.1684026539,32.9482450739
2017-04-25,DHI,3.2513,0.2292,-0.1571,1.0043,0.651,0.07,0.61,12.647,0.934,1.699,19.223,32.549476601,36.29
2017-07-27,DHI,3.7764,0.289,-0.4808,0.5233,0.611,0.077,0.77,13.383,0.987,1.815,19.868,36.07,36.59
