datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-07-19,DHR,0.956641,0.09423,0.00608,0.67531,1.18,0.099,0.16,23.481,2.054,3.857,3.679,10.3703930048,10.0840577099
2001-10-18,DHR,0.901588,0.087746,-0.028844,0.646466,1.14,0.097,0.15,22.806,2.062,3.647,3.83,10.2204024599,12.8970464236
2002-03-28,DHR,0.918932,0.033112,0.060093,0.706559,1.163,0.036,0.06,36.003,2.833,4.809,3.875,12.918874993,13.4700463705
2002-04-18,DHR,1.004207,-0.091015,-0.135107,0.571452,1.076,-0.091,0.14,88.997,2.92,4.218,4.508,13.3045130525,11.0541998408
2002-07-18,DHR,1.146326,0.103665,0.133623,0.705075,1.062,0.09,0.17,68.207,2.293,3.326,4.525,10.957759908,10.1489058013
2002-10-17,DHR,1.151721,0.116029,0.098103,0.803178,1.044,0.101,0.19,52.527,2.013,2.947,4.748,10.1507262328,11.9236875835
2003-03-28,DHR,1.274978,0.161712,0.007285,0.810463,1.003,0.127,-0.02,34.311,2.177,3.311,4.931,11.8872515634,12.1259074952
2003-04-17,DHR,1.196215,0.103126,0.10117,0.911633,1.017,0.086,0.17,21.946,2.23,3.409,5.101,12.676091399,12.066555073
2003-07-17,DHR,1.299432,0.125144,0.156477,1.06811,0.974,0.096,0.2,20.497,2.107,3.167,5.344,12.3417476143,14.6375571193
2003-10-16,DHR,1.309451,0.138618,0.036617,1.104727,0.905,0.106,0.23,23.338,2.428,3.565,5.634,14.6466725491,16.2408367691
2004-03-10,DHR,1.488778,0.169946,0.125429,1.230156,0.889,0.114,0.28,25.225,2.558,3.713,5.921,16.0457133092,17.0735643757
2004-04-22,DHR,1.543191,0.145244,-0.58767,0.642486,0.926,0.094,0.23,25.009,2.567,3.828,6.132,17.1520006223,17.8194147748
2004-07-22,DHR,1.621245,0.182233,-0.339201,0.303285,0.929,0.112,0.29,24.432,2.606,3.901,6.449,18.3960003849,19.8505916572
2004-10-21,DHR,1.745285,0.200793,0.228325,0.53161,0.893,0.115,0.33,24.138,2.634,4.027,6.769,19.9345496579,20.421712345
2005-03-07,DHR,1.97958,0.21773,0.077505,0.609115,0.839,0.11,0.35,23.128,2.504,3.735,7.463,20.3742454649,18.2250292508
2005-04-21,DHR,1.825948,0.188256,0.063957,0.673072,0.82,0.103,0.3,19.782,2.176,3.294,7.646,18.4368632581,19.3808781932
2005-07-21,DHR,1.928627,0.22902,0.135583,0.808655,0.805,0.119,0.37,20.344,2.273,3.541,7.753,20.1298093958,19.1652809476
2005-10-20,DHR,1.966375,0.228821,-0.533034,0.275621,0.807,0.116,0.37,17.63,1.978,3.049,8.066,18.0652142876,22.8757451275
2006-03-15,DHR,2.263754,0.251703,0.03993,0.315551,0.804,0.111,0.41,21.376,2.404,3.778,8.287,22.9598336904,24.7260963125
2006-04-20,DHR,2.143661,0.215719,-0.054728,0.260823,0.741,0.101,0.35,21.866,2.437,3.764,8.758,24.1482641549,22.9157610317
2006-07-20,DHR,2.349764,0.314522,0.02391,0.284733,1.033,0.134,0.51,19.306,2.237,3.33,9.517,23.2303771634,25.7951101457
2006-10-19,DHR,2.442723,0.268071,-0.020781,0.263952,0.954,0.11,0.43,20.552,2.346,3.508,9.975,25.6560529481,26.2413854579
