datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-07-19,DISH,0.966272,0.002249,0.691479,1.49256,-8.795,0.002,0.0,-29.597,4.164,-19.153,-1.523,18.4817096972,16.6738136397
2001-10-23,DISH,1.022506,0.003095,-0.288931,1.203629,-8.373,0.003,0.01,-37.341,3.417,-15.994,-1.631,16.6290637372,15.0538671723
2002-02-28,DISH,1.15043,-0.043208,0.47426,1.679177,-9.383,-0.037,-0.09,-58.055,3.132,-16.11,-1.622,16.6559136787,17.6046116099
2002-05-02,DISH,1.104468,-0.035147,0.64155,2.323688,-8.555,-0.088,-0.2,-93.597,2.971,-14.616,-1.798,16.7454134835,10.0597780628
2002-08-14,DISH,1.168684,0.037001,0.693772,3.01746,-8.943,0.032,0.08,-73.997,1.661,-8.921,-1.723,9.7912786483,12.8163720515
2002-11-14,DISH,1.222849,-0.167949,0.415276,3.428487,-7.615,-0.137,-0.35,-33.748,1.967,-9.192,-2.068,12.1272235543,16.5485139129
2003-03-04,DISH,1.324824,-0.278122,-1.945409,1.49305,-6.193,-0.163,-0.45,-29.944,2.759,-11.033,-2.507,17.6314615513,19.5378073942
2003-05-06,DISH,1.359048,0.057917,-0.424878,1.068172,-6.363,0.043,0.12,-53.599,3.055,-13.842,-2.328,20.5133552668,23.037249763
2003-08-13,DISH,1.414567,0.128793,0.093767,1.161949,-7.706,0.091,0.27,-84.026,3.119,-17.855,-1.923,21.8558523393,23.3773490214
2003-11-10,DISH,1.452295,0.035116,-0.243568,0.918292,-8.263,0.024,0.07,3205.015,3.213,-19.605,-1.878,23.4668488262,22.0885518318
2004-03-26,DISH,1.513386,0.00268,0.38246,1.290859,-8.346,0.002,0.0,72.792,2.847,-15.828,-2.136,21.4889031395,21.4889031395
2004-03-29,DISH,1.513386,0.00268,0.38246,1.290859,-8.346,0.002,0.0,70.395,2.754,-15.306,-2.136,20.7818546813,21.8648023197
2004-05-06,DISH,1.579796,-0.042886,-0.253638,1.037221,-7.052,-0.027,-0.09,123.738,2.568,-14.39,-2.221,20.5670551497,17.7836112195
2004-08-09,DISH,1.777713,0.085316,-0.348364,0.688857,-4.47,0.048,0.18,154.364,1.959,-7.118,-3.718,17.3808620978,19.1440082529
2004-11-09,DISH,1.862613,0.102261,0.262841,0.951698,-4.606,0.055,0.22,94.708,2.073,-8.157,-3.764,19.5825572966,18.6965092288
2005-03-16,DISH,1.931094,0.070078,-0.247138,0.70456,-3.901,0.036,0.15,61.157,1.837,-6.32,-4.567,18.9471086823,19.627307199
2005-05-05,DISH,2.024,0.317524,0.141223,0.845783,-4.595,0.157,0.7,22.874,1.732,-7.19,-4.016,19.0545084481,19.0545084481
2005-05-06,DISH,2.024,0.317524,0.141223,0.845783,-4.595,0.157,0.7,22.038,1.669,-6.927,-4.016,18.3564099704,19.3140578821
2005-08-09,DISH,2.095486,0.855527,0.069696,0.915479,-8.491,0.408,1.89,10.404,1.769,-14.4,-2.147,20.3791055596,17.6941114147
2005-11-08,DISH,2.128221,0.208864,0.097043,1.012522,-10.594,0.098,0.46,8.145,1.446,-15.062,-1.738,17.273462332,19.2961579212
2006-03-15,DISH,2.177794,0.132625,-0.396853,0.615669,-9.551,0.061,0.3,8.738,1.571,-15.27,-1.933,19.5736073161,21.1130039592
2006-05-10,DISH,2.289706,0.147281,1.264064,1.879733,-13.941,0.064,0.33,10.662,1.649,-20.761,-1.555,21.1935537835,23.055149724
2006-08-09,DISH,2.458689,0.168779,-0.01615,1.863583,-18.8,0.069,0.38,21.295,1.547,-27.376,-1.15,20.6923548765,23.2072993922
2006-11-07,DISH,2.471366,0.139616,-0.108296,1.755287,-26.629,0.056,0.31,27.215,1.704,-43.879,-0.82,23.6458484358,26.6888418
2007-03-01,DISH,2.598725,0.152596,0.167818,1.923105,-45.528,0.059,0.34,31.302,1.939,-86.788,-0.492,28.0492388334,27.7807394189
2007-03-06,DISH,2.598725,0.152596,0.167818,1.923105,-45.528,0.059,0.34,31.573,1.956,-87.541,-0.492,28.299838287,31.6650309485
2007-05-10,DISH,2.644985,0.15714,-0.957908,0.965197,-298.5,0.059,0.35,34.924,2.122,-708.399,-0.068,31.7634807338,26.169742932
2007-08-09,DISH,2.760008,0.224199,0.111679,1.076876,40.493,0.081,0.5,25.445,1.636,75.696,0.506,25.1762950984,33.1775776501
2007-11-09,DISH,2.794327,0.19968,0.528965,1.605841,20.195,0.071,0.45,29.593,2.011,47.214,1.028,31.8887804606,25.0505169588
2008-02-26,DISH,2.891055,0.175035,-0.425023,1.180818,14.76,0.061,0.39,17.313,1.18,20.452,1.428,23.8412943528,24.2253042344
2008-03-03,DISH,2.891055,0.175035,-0.425023,1.180818,14.76,0.061,0.39,17.799,1.213,21.027,1.428,24.5112690399,24.8299155374
