datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2004-12-13,DLR,0.029346,0.003359,,0.012841,2.648,0.114,,,,1.227,10.521,4.93333730615,5.94206772634
2005-03-31,DLR,,,,0.018764,3.393,,,,,1.788,8.039,5.81658809451,5.79634944422
2005-05-16,DLR,0.039643,0.002739,-0.001682,0.016648,2.149,0.037,0.07,,,1.157,12.585,5.89349496563,7.28579189804
2005-07-20,DLR,0.039643,0.002739,-0.001682,0.016648,2.149,0.037,0.07,,,1.414,12.585,7.42766871621,7.8157435424
2005-08-12,DLR,0.049663,0.004335,0.001107,0.028943,3.219,0.043,0.1,,,1.919,12.421,7.80322499962,8.99640199174
2005-11-10,DLR,0.056556,0.004425,0.003088,0.036095,2.018,0.023,0.05,,,1.48,15.277,9.11201496355,11.8056614929
2006-03-16,DLR,0.062947,0.004602,0.00386,0.033053,2.277,0.018,0.03,118.004,3.44,1.858,14.131,11.7296977361,12.0961111511
2006-05-09,DLR,0.060983,0.005087,0.014249,0.043224,2.255,0.027,0.06,138.296,3.762,2.088,15.08,12.0514265883,12.8479269809
2006-08-04,DLR,0.064708,0.005095,-0.01111,0.036066,2.053,0.025,0.05,179.118,4.219,2.144,14.456,13.0993988613,15.7217475414
2006-11-08,DLR,0.073189,0.014787,0.013581,0.052127,2.581,0.155,0.31,96.756,5.835,3.162,13.381,15.633370854,18.7465856557
2007-03-01,DLR,0.084514,0.006423,-0.005389,0.050405,1.885,0.035,0.04,123.487,7.715,3.064,19.642,18.5006667722,20.2616669664
2007-05-10,DLR,0.088967,0.022086,0.024738,0.074829,1.903,0.21,0.33,73.825,8.206,3.282,13.776,20.2136535376,18.9671281141
2007-08-09,DLR,0.095583,0.007758,0.001015,0.080619,1.478,0.027,0.04,66.841,6.943,2.537,15.429,19.0645453104,19.879964618
2007-11-09,DLR,0.104794,0.005135,0.001168,0.087898,1.716,-0.002,0.0,107.076,6.87,2.788,15.175,19.617800367,18.5829377432
2008-02-29,DLR,0.105903,0.005613,-0.01783,0.072654,1.617,0.002,0.0,110.436,5.941,2.249,16.276,18.0402234987,20.285662132
2008-05-09,DLR,0.114547,0.011108,0.003015,0.071815,1.057,0.025,0.04,474.533,6.169,1.899,20.892,20.188430149,22.8260444891
2008-08-08,DLR,0.123776,0.01383,-0.014603,0.056713,1.187,0.03,0.06,498.731,7.34,2.409,20.765,23.8026708805,17.3927143985
2008-11-10,DLR,0.142016,0.018185,0.022214,0.087375,1.014,0.057,0.11,144.969,4.447,1.416,21.538,15.6023653535,16.1363661834
2009-03-02,DLR,0.147106,0.024538,0.031356,0.118804,1.15,0.098,0.2,70.31,3.879,1.37,20.438,14.5545812079,19.4757452039
2009-05-08,DLR,0.149134,0.020396,0.005602,0.11017,1.09,0.069,0.14,75.816,4.929,1.77,20.951,20.0485612393,24.7793123418
2009-08-06,DLR,0.155007,0.020372,-0.00962,0.099992,1.119,0.066,0.13,77.743,5.646,2.113,20.821,24.6783325768,25.54018027
2009-11-09,DLR,0.163227,0.022507,-0.028164,0.077965,1.193,0.076,0.16,75.748,5.844,2.282,20.627,26.7604523347,29.7636693219
2010-02-26,DLR,0.169774,0.024387,0.031168,0.11013,1.354,0.084,0.18,85.005,6.305,2.577,20.337,29.9611643955,34.4167054104
2010-05-06,DLR,0.191779,0.024845,-0.021511,0.090954,1.587,0.077,0.19,85.476,6.502,2.807,20.248,33.4002779841,37.3088957564
2010-08-05,DLR,0.197464,0.019192,0.291814,0.378437,1.263,0.046,0.11,104.829,7.334,2.709,24.274,36.4028740035,33.5418222611
2010-11-09,DLR,0.237486,0.023036,-0.27613,0.128043,1.593,0.041,0.11,100.804,6.044,2.457,22.29,32.4740000134,34.9975153472
2011-02-25,DLR,0.238672,0.035221,-0.054774,0.071781,1.669,0.104,0.28,90.832,6.123,2.7,21.621,36.0867142065,38.2307900316
2011-05-09,DLR,0.250741,0.037502,0.032649,0.104204,1.8,0.124,0.34,77.27,6.234,2.965,21.26,38.6005392099,36.7529325198
2011-08-05,DLR,0.267881,0.036703,-0.016468,0.084828,1.702,0.119,0.33,55.482,5.436,2.611,21.508,35.4563834024,42.4378596131
2011-11-07,DLR,0.273476,0.036344,0.010832,0.093962,1.291,0.117,0.32,55.964,6.501,2.663,25.016,42.5979773039,48.2861318199
2012-02-28,DLR,0.270612,0.045716,0.001899,0.095796,1.394,0.133,0.34,58.074,7.152,3.012,23.98,48.3270176216,51.3877846837
2012-05-07,DLR,0.283148,0.048042,-0.014388,0.070053,1.476,0.138,0.37,58.486,7.429,3.172,23.947,51.3252183874,54.5523653575
2012-08-07,DLR,0.303704,0.052334,0.021534,0.083099,1.48,0.138,0.38,62.253,8.209,3.454,24.489,53.9778312795,44.4660082899
2012-11-08,DLR,0.342479,0.055392,0.028338,0.119332,1.433,0.133,0.37,46.429,6.301,2.173,28.514,44.3502302374,48.9007484913
