datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-07-17,DOV,1.138573,0.143298,0.190262,0.36003,0.96,0.126,0.7,14.984,1.418,2.864,12.57,18.0290086006,16.744003668
2001-10-17,DOV,1.088554,0.002607,-0.138249,0.221781,0.9,0.002,0.02,18.802,1.393,2.662,12.519,16.7907311201,20.0305011321
2002-03-01,DOV,0.985004,0.023546,-0.045165,0.175865,0.827,0.024,0.11,32.611,1.817,3.217,12.446,20.2407746665,20.4043207489
2002-04-17,DOV,1.009932,-0.247933,-0.010217,0.165648,0.923,-0.245,-1.22,-102.725,1.91,3.603,11.04,20.1239560363,14.508873876
2002-08-13,DOV,1.094765,0.055201,-0.048967,0.116417,0.85,0.05,0.27,-34.329,1.369,2.452,11.511,14.3297519763,13.5743248341
2002-11-06,DOV,1.076096,0.056442,0.057914,0.174331,0.854,0.052,0.28,-48.506,1.313,2.322,11.621,13.7923862772,12.2581682667
2003-03-11,DOV,1.002871,0.015029,0.120387,0.294448,0.853,0.015,0.07,-39.081,1.133,1.979,11.834,12.0556826409,14.6724199584
2003-05-02,DOV,1.027792,0.059471,-0.000255,0.294193,0.84,0.058,0.29,31.922,1.414,2.44,12.028,15.1163307533,18.5741622084
2003-07-31,DOV,1.124219,0.072781,0.01213,0.306905,0.81,0.065,0.36,36.408,1.753,2.917,12.556,18.9479818252,20.3108658447
2003-10-31,DOV,1.153742,0.084355,0.098056,0.404379,0.895,0.073,0.42,34.115,1.834,3.039,12.835,20.27971421,20.793716183
2004-02-27,DOV,1.107543,0.076319,-0.033376,0.370379,0.872,0.069,0.38,27.182,1.804,2.903,13.526,20.5289272878,21.5257795992
2004-04-30,DOV,1.24238,0.083112,0.052154,0.422533,0.891,0.067,0.41,25.701,1.758,2.927,13.688,20.965050174,20.8560194525
2004-07-30,DOV,1.38036,0.112264,-0.051837,0.370696,0.881,0.081,0.55,22.66,1.652,2.823,14.06,20.8638073612,20.2952900273
2004-10-29,DOV,1.444196,0.120264,-0.064053,0.306643,0.867,0.083,0.59,20.375,1.543,2.701,14.54,20.7314129136,21.0429292609
2005-03-14,DOV,1.421176,0.097114,0.050963,0.357606,0.857,0.068,0.48,19.558,1.471,2.588,15.332,21.089656713,19.3529530767
2005-05-02,DOV,1.449034,0.098134,0.054224,0.41183,0.913,0.068,0.48,17.412,1.308,2.373,15.414,19.4619837983,22.3824495543
2005-07-29,DOV,1.584485,0.173201,-0.011485,0.399671,0.873,0.109,0.85,17.096,1.416,2.638,15.607,22.0553573896,20.6145942833
2005-10-28,DOV,1.562756,0.12268,-0.075222,0.323242,1.082,0.079,0.61,15.924,1.3,2.393,16.133,20.7158370962,25.5910679316
2006-03-07,DOV,1.5934,0.116127,-0.105422,0.19115,0.974,0.073,0.57,18.866,1.583,2.891,16.422,25.606643749,26.6969509646
2006-04-27,DOV,1.668362,0.203828,0.099385,0.290347,0.903,0.122,1.0,16.094,1.546,2.792,17.46,26.2997676217,25.2795515843
2006-07-25,DOV,1.655397,0.071911,-0.01353,0.271794,0.889,0.043,0.35,18.318,1.455,2.595,17.812,25.139369228,27.8028339975
2006-10-24,DOV,1.651927,0.167525,0.067379,0.339173,0.929,0.101,0.82,18.577,1.582,2.737,18.639,27.7405307281,26.1128578134
2007-02-28,DOV,1.698069,0.11852,0.03455,0.373616,1.001,0.07,0.58,17.414,1.502,2.567,18.663,26.2374643523,27.5224692849
