datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-10,DOW,7.344,0.28,-0.041,0.203,2.585,0.038,0.31,191.829,1.191,3.123,11.316,19.6603896569,19.590820069
2001-11-06,DOW,6.729,0.057,0.277,0.48,2.781,0.008,0.06,-306.642,1.152,3.231,11.038,20.0686449487,19.3013144065
2002-03-20,DOW,6.346,-0.037,-0.26,0.22,2.649,-0.006,-0.04,-78.585,1.088,3.14,10.643,19.1310086912,18.3463116534
2002-05-03,DOW,6.262,0.105,0.014,0.234,2.687,0.017,0.12,70.799,1.075,3.02,10.463,18.11691107,16.8338152761
2002-08-13,DOW,7.217,0.238,0.065,0.299,2.79,0.033,0.26,73.51,1.005,2.752,10.647,16.9786845986,15.1713150517
2002-10-30,DOW,7.041,0.128,0.201,0.5,2.872,0.018,0.14,54.582,0.882,2.518,10.317,15.2416611802,15.9981680217
2003-02-28,DOW,7.089,-0.809,0.984,1.484,4.399,-0.114,-0.89,-73.092,0.895,3.403,7.958,16.1879164934,19.3823729787
2003-04-30,DOW,8.081,0.076,0.447,1.931,4.493,0.009,0.08,-81.426,1.015,4.151,7.871,19.5803359339,21.1452065068
2003-08-05,DOW,8.242,0.393,0.345,2.276,4.356,0.048,0.43,-148.373,1.033,4.197,8.171,20.7632833388,22.783467291
2003-10-30,DOW,7.977,0.332,0.29,2.566,4.26,0.042,0.36,-4359.883,1.111,4.594,8.254,23.2060638617,26.6445621274
2004-02-20,DOW,8.332,0.929,-0.174,2.392,3.718,0.111,1.01,23.065,1.223,4.535,9.53,26.4346652061,24.7789469296
2004-05-04,DOW,9.309,0.469,-0.466,1.926,3.566,0.05,0.5,17.806,1.116,4.161,9.752,25.1337321532,25.1552055304
2004-08-03,DOW,9.844,0.685,0.368,2.294,3.401,0.07,0.73,15.463,1.053,3.934,10.12,24.9480893172,27.8710275717
2004-10-29,DOW,10.072,0.617,0.108,2.402,3.253,0.061,0.66,15.695,1.128,4.198,10.728,28.4212384632,34.0933340843
2005-02-18,DOW,10.936,1.026,0.706,3.108,2.844,0.094,1.09,18.287,1.274,4.327,12.451,34.1506338054,29.4412670695
2005-05-02,DOW,11.679,1.353,0.249,3.357,2.498,0.116,1.41,12.279,1.063,3.465,13.601,30.1399603224,30.7279544722
2005-08-02,DOW,11.45,1.265,-0.195,3.162,2.25,0.11,1.31,10.857,1.048,3.375,14.219,30.9733647853,29.8565742505
2005-11-01,DOW,11.261,0.801,0.017,3.179,2.168,0.071,0.83,9.855,0.966,3.057,14.847,29.5505866819,28.849537794
2006-02-17,DOW,11.917,1.096,0.627,3.806,2.042,0.092,1.14,9.385,0.915,2.827,15.508,28.7314632873,27.4043792169
2006-04-28,DOW,12.02,1.214,-0.417,3.389,1.889,0.101,1.25,8.925,0.837,2.495,16.172,26.8814454106,23.117321493
2006-08-01,DOW,12.509,1.023,-0.227,3.162,1.781,0.082,1.06,7.953,0.689,1.997,17.09,22.9100811905,27.7996400252
2006-10-31,DOW,12.359,0.512,-0.028,3.134,1.812,0.041,0.53,10.133,0.798,2.37,17.139,27.529675082,29.5920922405
2007-02-20,DOW,12.236,0.975,-0.377,2.757,1.708,0.08,1.02,11.173,0.847,2.492,17.419,29.5512191849,30.6349834653
2007-05-01,DOW,12.432,0.973,-0.38,2.377,1.694,0.078,1.01,12.05,0.847,2.477,17.594,30.2366806092,29.4264173725
2007-07-30,DOW,13.265,1.039,-0.401,1.976,1.668,0.078,1.09,11.882,0.827,2.384,18.267,30.3345117602,31.1633984113
2007-10-29,DOW,13.589,0.403,-0.031,1.945,1.675,0.03,0.42,12.589,0.828,2.416,18.619,31.6252857446,27.3092923429
2008-02-19,DOW,14.227,0.472,-0.209,1.736,1.55,0.033,0.5,12.752,0.688,1.94,20.067,27.7052841532,28.7216774492
2008-04-29,DOW,14.824,0.941,-0.063,1.673,1.543,0.063,1.0,13.068,0.667,1.889,20.963,28.6787665765,23.3478180522
2008-07-29,DOW,16.38,0.762,0.438,2.111,1.609,0.047,0.82,11.797,0.515,1.529,21.398,23.7965361921,16.712593555
2008-10-28,DOW,15.411,0.428,0.15,2.261,1.629,0.028,0.46,8.915,0.381,1.218,20.599,18.4051008374,6.17274563786
2009-02-20,DOW,10.899,-1.552,0.539,2.8,2.378,-0.142,-1.67,12.931,0.13,0.557,14.541,6.09746825204,12.0164047575
2009-05-04,DOW,9.087,0.024,0.156,2.956,2.362,0.003,0.03,-44.895,0.293,1.157,14.173,12.544514266,16.3544420391
2009-08-03,DOW,11.322,-0.344,-0.308,2.648,2.33,-0.043,-0.47,-16.202,0.55,1.303,19.217,17.35872993,19.6172345522
2009-10-30,DOW,12.046,0.796,-0.067,2.581,2.209,0.059,0.64,-20.61,0.619,1.296,18.702,18.2420858331,23.0704223114
2010-02-19,DOW,12.466,0.172,0.265,2.846,2.18,0.007,0.08,100.069,0.749,1.636,18.471,22.8283156453,24.6633705181
2010-05-04,DOW,13.417,0.551,0.077,2.923,2.275,0.035,0.42,43.509,0.687,1.658,18.27,23.0071097991,20.1340723899
2010-08-04,DOW,13.618,0.651,0.145,3.293,2.119,0.042,0.5,15.712,0.558,1.403,18.207,19.5734766489,24.9180904386
2010-11-03,DOW,12.868,0.597,0.155,3.223,1.981,0.04,0.45,22.46,0.7,1.672,19.42,25.0530402753,30.9033943349
2011-02-18,DOW,13.771,0.511,3.816,7.039,2.15,0.031,0.38,22.849,0.839,2.061,19.279,30.7279880719,32.4287681164
2011-05-04,DOW,14.733,0.71,-3.477,3.562,1.938,0.042,0.55,21.888,0.847,2.024,20.203,31.7323220966,27.1432872923
2011-08-03,DOW,16.046,1.067,-1.339,2.223,1.795,0.061,0.84,15.674,0.695,1.649,21.038,27.2239029361,22.712127639
2011-11-01,DOW,15.109,0.9,-0.017,2.206,1.731,0.054,0.7,11.345,0.542,1.338,20.96,22.2722227278,27.6147779087
2012-02-15,DOW,14.097,0.065,3.238,5.444,2.062,-0.001,-0.02,16.611,0.665,1.791,19.301,27.6640900121,28.0240861918
2012-05-02,DOW,14.719,0.497,-1.836,3.608,1.978,0.028,0.35,18.212,0.665,1.731,19.835,27.6101410486,24.0745542991
2012-08-01,DOW,14.513,0.734,0.52,4.128,1.93,0.045,0.55,18.914,0.601,1.518,19.767,24.5095358222,25.0073959195
2012-10-30,DOW,13.637,0.582,-0.243,3.885,1.863,0.036,0.42,23.057,0.622,1.488,20.321,24.7790564911,27.7474690605
2013-02-15,DOW,13.917,-0.631,0.433,4.318,2.287,-0.051,-0.61,46.0,0.682,1.855,17.762,27.4656388115,29.2152922391
2013-04-30,DOW,14.383,0.635,-0.804,3.514,2.253,0.038,0.46,41.854,0.727,1.953,17.778,29.2497950938,30.4900227088
2013-07-30,DOW,14.577,2.425,1.369,4.883,1.979,0.161,1.96,15.885,0.751,1.828,19.569,30.5422913192,34.3430540564
2013-10-29,DOW,13.734,0.679,0.389,5.272,1.882,0.043,0.5,17.29,0.845,1.994,20.216,34.6503940952,40.9484038089
2014-02-14,DOW,14.386,1.048,0.668,5.94,1.546,0.067,0.8,12.771,0.995,2.111,22.601,41.3110138642,42.1464347457
2014-04-29,DOW,14.461,1.049,-1.555,4.385,1.552,0.067,0.8,12.063,1.026,2.193,22.46,43.4030740562,48.1989946916
2014-07-29,DOW,14.917,0.967,-0.542,3.843,1.533,0.059,0.74,18.755,1.11,2.386,22.693,47.974604586,42.0157902443
2014-10-28,DOW,14.405,0.937,1.925,5.768,1.666,0.059,0.72,15.446,0.972,2.198,22.045,43.3623922547,44.8253631549
2015-02-13,DOW,14.384,0.819,-0.114,5.654,2.027,0.051,0.64,16.677,0.984,2.553,19.551,45.0898464777,47.5564364612
2015-05-04,DOW,12.37,1.478,0.634,6.288,2.005,0.113,1.22,15.423,1.062,2.678,19.58,47.5196351948,43.261724484
2015-07-29,DOW,12.91,1.22,-0.064,6.224,1.901,0.088,0.99,13.352,1.016,2.326,20.747,43.9850716458,47.2767280716
2015-10-27,DOW,12.036,1.375,1.399,7.623,1.838,0.107,1.12,12.902,1.136,2.414,21.32,47.5016322289,42.3479318779
2016-02-12,DOW,11.462,3.612,0.954,8.577,1.649,0.308,3.12,6.998,1.054,2.026,22.959,43.4917041452,50.9505138247
2016-04-29,DOW,10.703,0.254,-1.967,6.61,1.641,0.016,0.15,9.651,1.254,2.308,23.211,50.1779582987,51.6359476633
2016-07-28,DOW,11.952,3.208,0.699,7.309,1.773,0.261,2.79,7.458,1.31,2.09,26.043,51.6744603969,52.2161133303
2016-10-27,DOW,12.483,0.804,-0.277,7.032,1.732,0.058,0.64,8.117,1.313,2.107,26.101,52.9931388263,58.4713963081
2017-02-09,DOW,13.02,0.052,-0.425,6.607,2.012,-0.003,-0.03,18.38,1.518,2.813,23.496,58.9902283865,63.4241451485
2017-04-27,DOW,13.23,0.888,-0.759,5.848,1.94,0.067,0.74,16.436,1.523,2.853,22.503,62.3001979159,65.9609675481
2017-07-27,DOW,13.834,1.321,0.37,6.218,1.853,0.095,1.08,27.934,1.538,2.845,23.454,66.1,64.11
