datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2008-06-05,DPS,1.307,0.095,0.032,0.099,1.1,0.073,0.38,,,1.285,19.887,20.6558919315,17.5041713316
2008-08-13,DPS,1.557,0.108,0.201,0.3,2.082,0.069,0.42,,,1.781,12.783,18.4173621721,16.8980712163
2008-11-13,DPS,1.505,0.106,-0.061,0.239,1.95,0.07,0.41,,,1.386,13.1,14.6999481312,12.5341503857
2009-03-26,DPS,1.341,-0.621,-0.025,0.214,2.313,-0.463,-2.44,-14.538,0.794,1.74,10.264,14.4413454153,17.1809179368
2009-05-13,DPS,1.26,0.132,0.005,0.219,2.158,0.105,0.52,-20.374,0.989,2.048,10.763,17.8355060614,19.0072996177
2009-08-13,DPS,1.481,0.158,0.016,0.235,1.99,0.107,0.62,-28.203,1.136,2.173,11.487,20.187174509,22.4822736125
2009-11-05,DPS,1.434,0.151,0.047,0.282,1.84,0.105,0.59,-37.432,1.222,2.189,12.109,21.4317000792,25.7953991483
2010-03-01,DPS,1.356,0.114,-0.002,0.28,1.754,0.084,0.45,14.276,1.433,2.486,12.537,25.3323006439,27.7282564174
2010-05-06,DPS,1.248,0.089,0.291,0.571,1.977,0.071,0.35,16.493,1.53,2.758,12.088,28.0382516348,31.3910413111
2010-07-29,DPS,1.519,0.183,-0.16,0.411,2.18,0.12,0.75,16.511,1.596,3.141,11.546,30.4796090366,29.5136157538
2010-10-27,DPS,1.457,0.144,-0.187,0.224,2.4,0.099,0.61,15.631,1.485,3.205,10.861,30.1669011683,30.3118513836
2011-02-22,DPS,1.412,0.112,0.091,0.315,2.603,0.079,0.49,15.186,1.423,3.261,10.866,29.8040175647,32.3758147014
2011-04-27,DPS,1.331,0.114,0.342,0.657,2.833,0.086,0.51,16.036,1.551,3.649,10.868,33.5742981345,33.4836316691
2011-07-27,DPS,1.582,0.172,-0.107,0.55,2.949,0.109,0.78,15.463,1.45,3.586,10.532,32.6304917098,33.5104997647
2011-10-26,DPS,1.529,0.154,0.101,0.651,3.073,0.101,0.71,14.723,1.388,3.602,10.444,32.2924007646,33.6795520867
2012-02-22,DPS,1.461,0.166,0.05,0.701,3.102,0.114,0.77,13.606,1.397,3.644,10.609,33.396097555,34.9392375634
2012-04-25,DPS,1.362,0.102,-0.509,0.192,2.887,0.075,0.48,14.019,1.403,3.685,10.63,34.0640235272,38.2296418715
2012-07-26,DPS,1.621,0.178,0.111,0.303,2.881,0.11,0.84,15.672,1.574,4.097,10.831,39.0069866571,38.7623325553
2012-10-24,DPS,1.528,0.179,0.08,0.383,2.878,0.117,0.85,14.188,1.485,3.826,11.017,37.4951870642,37.6579810516
2013-02-21,DPS,1.484,0.17,-0.017,0.366,2.916,0.115,0.82,13.782,1.446,3.802,10.983,37.7466506562,42.7345714557
2013-04-24,DPS,1.38,0.106,-0.158,0.208,2.962,0.077,0.52,15.535,1.635,4.392,10.943,43.1012766524,42.9913210772
2013-07-24,DPS,1.611,0.155,-0.095,0.113,2.78,0.096,0.76,15.458,1.571,4.093,11.289,41.7650585632,42.275813768
2013-10-24,DPS,1.543,0.207,0.006,0.119,2.522,0.134,1.02,14.621,1.55,4.042,11.353,42.275813768,46.7129135009
2014-02-20,DPS,1.463,0.156,0.034,0.153,2.602,0.107,0.79,16.272,1.693,4.459,11.408,47.1804092992,48.4034059242
2014-04-23,DPS,1.398,0.155,-0.033,0.12,2.696,0.111,0.78,15.897,1.779,4.806,11.248,50.3343682907,54.3756983713
2014-07-24,DPS,1.631,0.21,0.015,0.135,2.625,0.129,1.07,16.344,1.972,5.244,11.541,56.7390500801,61.2770299844
2014-10-23,DPS,1.583,0.188,0.131,0.266,2.496,0.119,0.97,18.358,2.143,5.508,12.13,62.7005526128,73.4896813598
2015-02-19,DPS,1.509,0.15,-0.029,0.237,2.606,0.099,0.78,21.47,2.466,6.58,11.825,73.6780681359,74.693224138
2015-04-23,DPS,1.451,0.157,-0.144,0.093,2.715,0.108,0.82,21.471,2.452,6.815,11.508,74.8259109973,75.0907595295
2015-07-23,DPS,1.655,0.22,0.034,0.127,2.655,0.133,1.15,20.626,2.379,6.52,11.818,73.6980701378,81.4208742457
2015-10-22,DPS,1.63,0.202,0.08,0.207,2.744,0.124,1.06,23.216,2.71,7.704,11.539,86.0093177602,88.1320176654
2016-02-23,DPS,1.546,0.185,0.704,0.911,3.063,0.12,0.98,22.583,2.746,7.903,11.563,88.8654057463,85.1994511014
2016-04-27,DPS,1.487,0.182,-0.636,0.275,2.979,0.122,0.97,21.285,2.658,7.989,11.205,87.7230165248,94.8749593547
2016-07-27,DPS,1.695,0.26,-0.03,0.245,2.924,0.153,1.4,21.515,2.805,8.327,11.535,93.9085408985,87.0096248795
2016-10-27,DPS,1.68,0.24,0.375,0.62,3.074,0.143,1.3,18.454,2.497,7.515,11.521,85.5170774264,92.3430593103
2017-02-14,DPS,1.578,0.165,1.167,1.787,3.588,0.105,0.91,20.119,2.646,7.985,11.642,91.9282118944,97.7978399828
2017-04-26,DPS,1.51,0.177,-1.611,0.16,3.564,0.117,0.97,20.298,2.644,7.793,11.957,92.4016173316,92.15
2017-07-27,DPS,1.797,0.188,0.211,0.375,3.788,0.105,1.02,21.72,2.547,7.761,11.763,92.03,90.66
