datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-14,DTE,1.79,-0.087,-0.645,0.432,3.228,-0.049,-0.6,23.705,1.053,1.509,31.841,20.557983217,20.6014714488
2001-11-14,DTE,2.081,0.063,-0.237,0.307,3.157,0.03,0.38,26.584,0.94,1.489,27.543,20.3310464059,22.9129724019
2002-03-29,DTE,2.136,0.218,0.163,0.425,3.19,0.102,1.41,22.083,0.934,1.598,28.327,22.8575784026,22.8525425845
2002-05-15,DTE,2.4,0.2,-0.195,0.169,3.167,0.083,1.25,18.455,0.865,1.555,29.05,22.7216113137,21.0812509085
2002-08-14,DTE,1.981,0.068,0.009,0.234,2.997,0.034,0.42,12.973,0.828,1.46,30.311,21.6723616422,22.6361257203
2002-11-14,DTE,1.649,0.161,0.03,0.235,2.858,0.098,0.96,11.536,0.914,1.497,29.85,23.013050259,21.0925456211
2003-03-24,DTE,1.684,0.203,0.021,0.37,3.214,0.121,1.22,10.346,0.969,1.432,27.335,20.6322869131,21.0184810014
2003-05-15,DTE,2.095,0.155,0.003,0.226,2.949,0.074,0.92,11.435,0.906,1.323,30.371,21.1401585909,18.6043958282
2003-08-14,DTE,1.6,-0.039,-0.033,0.229,3.057,-0.024,-0.23,12.11,0.827,1.178,29.375,18.5133028763,19.4008949362
2003-11-07,DTE,1.654,0.176,-0.013,0.19,2.929,0.106,1.05,12.053,0.848,1.176,30.202,19.2704322076,22.172211149
2004-03-03,DTE,1.692,0.229,-0.036,0.185,2.925,0.135,1.37,13.051,0.966,1.286,31.47,22.1832283968,21.9198318388
2004-05-05,DTE,2.093,0.186,0.01,0.141,2.752,0.089,1.1,12.421,0.974,1.232,32.724,22.0481158419,22.8506427562
2004-08-05,DTE,1.501,0.035,0.011,0.196,2.828,0.023,0.2,11.109,1.002,1.267,31.728,22.6133802109,24.8469200607
2004-11-08,DTE,1.594,0.093,-0.001,0.15,2.868,0.058,0.54,14.08,1.111,1.395,31.676,25.1386311388,26.9999510674
2005-03-15,DTE,1.926,0.113,-0.018,0.182,2.839,0.059,0.65,18.747,1.136,1.456,31.523,26.8379282149,27.3806242792
2005-05-10,DTE,2.315,0.122,0.004,0.134,2.896,0.053,0.7,22.312,1.104,1.465,31.776,27.2109217564,27.8405689097
2005-08-04,DTE,1.945,0.029,0.026,0.193,3.008,0.015,0.17,22.782,1.045,1.494,31.287,27.6275938819,25.3999591577
2005-11-08,DTE,2.06,0.004,0.005,0.187,3.366,0.002,0.02,28.333,0.921,1.398,30.858,25.543529346,25.6242923301
2006-03-08,DTE,2.712,0.382,-0.003,0.21,3.045,0.141,2.18,13.99,0.833,1.302,32.41,25.5698240658,24.7572017062
2006-05-10,DTE,2.635,0.136,-0.013,0.174,2.82,0.052,0.77,13.102,0.772,1.232,33.096,24.8735764792,25.7715083099
2006-08-09,DTE,1.895,-0.033,0.001,0.203,2.888,-0.017,-0.19,15.112,0.794,1.293,32.288,25.783913368,28.9346836979
2006-11-14,DTE,2.196,0.188,-0.011,0.158,2.806,0.086,1.06,12.172,0.868,1.397,33.13,28.9095613331,29.3950852819
2007-03-01,DTE,2.296,0.142,0.082,0.293,3.067,0.062,0.8,19.128,0.918,1.416,33.045,29.6871314856,33.3004711188
