datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-14,DVN,0.725162,0.13639,-0.131881,0.477822,1.023,0.185,0.52,6.403,1.912,1.658,14.894,21.736583182,16.5486604359
2001-11-14,DVN,0.586715,0.084732,-0.238556,0.239265,1.052,0.14,0.33,5.117,1.461,1.247,14.917,15.9913221311,20.7221224134
2002-03-19,DVN,0.739536,-0.518389,-0.046215,0.193,3.045,-0.705,-2.23,79.544,2.406,2.27,12.813,20.6318580345,21.6032746836
2002-05-15,DVN,0.938,0.062,0.174,0.367,2.832,0.064,0.2,-31.346,2.567,1.636,15.848,21.100373144,18.7604988658
2002-08-13,DVN,1.165,-0.104,0.066,0.425,2.527,-0.092,-0.34,-14.279,2.023,1.45,15.236,18.6314128644,18.2546000558
2002-11-14,DVN,1.032,0.062,-0.335,0.088,2.533,0.058,0.19,-13.413,1.759,1.503,14.529,18.7370245971,21.4730070825
2003-03-07,DVN,1.228,0.084,0.204,0.292,2.487,0.066,0.27,82.386,1.794,1.664,14.725,21.5161255706,20.6573168408
2003-05-13,DVN,1.671,0.436,0.342,0.634,2.34,0.26,1.38,23.794,2.185,2.086,17.0,20.8474281022,22.8349549265
2003-08-13,DVN,1.813,0.356,0.09,0.724,1.653,0.195,0.83,13.268,2.144,1.276,22.764,22.9429726887,21.5085098472
2003-11-13,DVN,1.948,0.412,0.116,0.84,1.548,0.21,0.88,9.124,1.751,1.144,21.961,21.6858371956,24.6496366592
2004-03-05,DVN,1.92,0.543,0.433,1.273,1.457,0.281,1.18,7.904,1.868,1.242,23.424,24.9786448056,27.6909068854
2004-05-07,DVN,2.238,0.494,0.208,1.481,1.392,0.22,1.03,8.34,1.89,1.298,24.121,27.0750715247,28.9315012019
2004-08-06,DVN,2.219,0.502,-0.334,1.147,1.282,0.225,1.03,8.139,1.898,1.321,24.82,28.3884925457,32.4665706113
2004-11-04,DVN,2.267,0.517,0.614,1.761,1.259,0.227,1.06,9.027,2.137,1.459,26.147,33.0625668828,42.2433749872
2005-03-09,DVN,2.465,0.673,-0.268,1.152,1.175,0.272,1.38,10.523,2.492,1.675,28.369,41.6074157432,39.100204619
2005-05-05,DVN,2.351,0.563,0.347,1.499,1.25,0.239,1.17,9.563,2.308,1.575,28.404,39.5452192219,50.338841518
