datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-06-29,EA,0.307255,-0.01788,0.195522,0.466492,0.333,-0.058,,-372.45,3.122,3.99,3.627,28.95,29.395
2001-08-14,EA,0.18195,-0.039375,-0.022589,0.460194,0.242,-0.216,-0.14,-493.523,2.994,3.893,3.823,29.57,27.405
2001-11-14,EA,0.240156,-0.027236,-0.118418,0.407945,0.273,-0.113,-0.1,1100.735,2.802,3.776,3.719,28.0,27.25
2002-02-14,EA,0.832878,0.138998,0.095733,0.486842,0.448,0.167,0.51,71.77,2.504,3.342,4.269,28.36,33.44
2002-06-28,EA,0.469691,0.029122,0.178288,0.796936,0.367,0.062,,47.217,2.779,3.855,4.283,33.025,30.73
2002-08-13,EA,0.331898,0.010394,0.035712,0.826866,0.301,0.031,0.04,27.281,2.201,3.209,4.635,29.64,32.265
2002-11-08,EA,0.45349,0.053407,0.038933,0.920768,0.327,0.118,0.19,19.535,2.17,3.255,4.976,32.065,25.0
2003-02-11,EA,1.233726,0.253694,0.138597,1.165326,0.438,0.206,0.9,10.316,1.437,2.089,6.031,24.985,35.405
2003-06-10,EA,0.46313,0.011717,0.183927,0.949995,0.322,0.025,0.04,15.832,2.1,2.92,6.224,35.74,41.725
2003-08-11,EA,0.353381,0.018368,-0.139298,0.810697,0.23,0.052,0.07,18.617,2.507,3.289,6.583,42.64,50.09
2003-11-07,EA,0.530005,0.076588,-0.434572,0.376125,0.263,0.145,0.26,20.685,2.889,3.599,7.026,50.05,44.85
2004-02-10,EA,1.475323,0.392296,0.196885,0.57301,0.337,0.266,1.32,26.825,4.743,5.361,8.385,44.78,51.36
2004-06-04,EA,0.598432,0.09004,1.576875,2.149885,0.27,0.15,0.29,27.026,5.276,5.825,8.94,51.51,49.0
2004-08-03,EA,0.431641,0.024225,-1.016714,1.133171,0.227,0.056,0.08,25.522,4.903,5.419,9.088,49.01,45.94
