datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-14,EBAY,0.180905,0.024608,0.125502,0.569232,0.201,0.136,0.02,197.879,28.796,13.651,1.15,6.0359886613,5.88747403072
2001-11-14,EBAY,0.194425,0.018838,-0.016036,0.553419,0.181,0.097,0.02,193.442,25.769,13.043,1.208,6.11172128749,5.82354389173
2002-03-25,EBAY,0.219401,0.025935,0.10024,0.653583,0.175,0.118,0.03,177.355,21.422,11.225,1.301,5.64552304316,5.27767885881
2002-05-10,EBAY,0.245106,0.047584,0.052882,0.703241,0.171,0.194,0.04,126.965,17.682,9.721,1.372,5.21276517922,5.24718910022
2002-08-06,EBAY,0.266287,0.054308,0.040016,0.74683,0.161,0.204,0.05,106.206,16.836,9.184,1.511,5.43602889539,6.20909180688
2002-11-14,EBAY,0.288779,0.061003,0.131756,0.878649,0.141,0.211,0.06,106.535,19.731,11.033,1.615,6.40875054865,8.78203401609
2003-03-31,EBAY,0.413928,0.086996,0.36069,1.243957,0.16,0.21,0.07,107.386,22.103,7.545,2.881,8.39058485735,9.60230687637
2003-05-15,EBAY,0.476492,0.104191,0.445105,1.682154,0.165,0.219,0.08,101.6,21.543,7.933,3.129,9.64656620337,9.88458302853
2003-08-11,EBAY,0.509269,0.091868,-0.162861,1.518626,0.164,0.18,0.07,95.046,19.367,7.547,3.403,10.0183445501,10.647810534
2003-11-12,EBAY,0.530942,0.10325,0.192318,1.710958,0.198,0.194,0.08,92.791,18.567,7.806,3.573,10.9153335772,13.6338397952
2004-03-08,EBAY,0.648393,0.142462,-0.202362,1.508945,0.189,0.22,0.11,103.376,21.093,9.327,3.786,13.7361280176,15.7012421361
2004-05-10,EBAY,0.756239,0.2001,0.120195,1.644036,0.206,0.265,0.15,94.787,20.846,9.518,4.103,15.2507805413,15.1622618873
2004-08-04,EBAY,0.773412,0.190395,0.087005,1.731964,0.179,0.246,0.14,78.757,18.496,8.645,4.404,14.9104754938,18.7364484272
2004-10-27,EBAY,0.805876,0.182349,-0.152803,1.579114,0.189,0.226,0.14,91.442,21.921,10.74,4.603,19.4091901975,16.6179019751
2005-02-28,EBAY,0.935782,0.205379,-0.105865,1.486868,0.188,0.219,0.15,74.03,17.611,8.563,5.042,16.8539517191,12.2509817118
2005-04-27,EBAY,1.031724,0.256291,-0.113273,1.248402,0.187,0.248,0.19,50.896,11.974,5.87,5.385,12.3847432334,15.9018844184
2005-07-27,EBAY,1.086303,0.29156,0.638877,1.887726,0.193,0.268,0.22,60.764,14.729,7.511,5.601,16.5195479151,15.5084681785
2005-10-25,EBAY,1.105515,0.254971,0.324949,2.213854,0.199,0.231,0.19,52.546,12.737,6.6,5.914,14.9537512802,16.2205515728
2006-02-24,EBAY,1.328859,0.279221,-0.867018,1.343282,0.173,0.21,0.2,53.939,12.821,5.809,7.206,16.3228397952,13.7420292612
2006-04-25,EBAY,1.390419,0.248282,0.562854,1.907189,0.183,0.179,0.18,45.282,9.903,4.577,7.557,13.5689261156,13.5689261156
2006-04-26,EBAY,1.390419,0.248282,0.562854,1.907189,0.183,0.179,0.18,44.928,9.825,4.541,7.557,13.4627037308,9.32396488661
2006-07-28,EBAY,1.410784,0.249994,0.757947,2.667801,0.174,0.177,0.18,33.491,6.604,3.064,7.992,9.61115874177,12.6168588149
2006-10-30,EBAY,1.448637,0.280896,-0.152124,2.515335,0.213,0.194,0.2,42.466,8.057,4.048,7.895,12.6837395757,12.5893196781
2007-02-28,EBAY,1.719901,0.346467,0.180535,2.67553,0.237,0.201,0.25,38.991,7.352,4.025,7.905,12.6129246525,13.2817322604
2007-04-25,EBAY,1.768074,0.377176,0.304217,2.981943,0.241,0.213,0.28,36.712,7.256,4.106,8.205,13.2856664228,12.9945384053
2007-07-27,EBAY,1.834429,0.375824,0.45134,3.435556,0.245,0.205,0.28,32.053,6.534,3.834,8.478,12.8136062765,14.4147710315
2007-10-29,EBAY,1.88922,-0.935635,0.494242,3.912591,0.36,-0.495,-0.69,302.791,6.879,4.563,8.025,14.4187051939,10.7284608632
2008-02-29,EBAY,2.180606,0.530886,0.3086,4.221191,0.313,0.243,0.39,100.516,4.562,2.991,8.653,10.3704520849,12.066076079
2008-04-24,EBAY,2.192223,0.459718,-0.656009,3.565182,0.324,0.21,0.34,95.339,5.073,3.615,8.518,12.2785208486,9.98490416971
