datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-08,EMN,1.402,-0.147,0.025,0.07,2.996,-0.105,-0.96,83.672,0.593,2.027,10.44,12.8566717033,11.5859620474
2001-11-14,EMN,1.367,0.023,0.005,0.075,2.916,0.017,0.15,-82.945,0.529,1.775,10.609,11.5859620474,14.1315785797
2002-03-12,EMN,1.271,-0.092,-0.009,0.066,3.417,-0.072,-0.6,-19.72,0.656,2.562,8.932,14.2467732057,14.300002269
2002-04-25,EMN,1.277,-0.088,-0.009,0.066,3.408,-0.069,-0.57,-19.866,0.645,2.516,8.958,14.1679732306,14.300002269
2002-05-13,EMN,1.236,0.006,0.015,0.081,3.431,0.005,0.04,-16.713,0.665,2.577,8.811,14.2748538807,14.4126843768
2002-08-13,EMN,1.395,0.044,-0.007,0.074,3.248,0.032,0.29,-182.476,0.658,2.381,9.417,14.2349459216,12.0188422389
2002-11-14,EMN,1.374,0.024,0.014,0.088,3.198,0.017,0.15,-163.648,0.558,2.027,9.397,12.2111437147,9.77525545996
2003-03-11,EMN,1.315,-0.013,-0.011,0.077,3.935,-0.01,-0.08,37.633,0.432,1.806,8.216,9.62606443436,10.3281009265
2003-05-13,EMN,1.441,0.021,-0.001,0.076,3.937,0.015,0.14,31.555,0.434,1.868,8.296,10.2095007245,11.6924517143
2003-08-12,EMN,1.481,0.035,-0.007,0.069,3.785,0.024,0.23,40.54,0.484,2.045,8.581,11.7191620552,11.6968306144
2003-11-13,EMN,1.444,-0.336,-0.016,0.053,4.771,-0.233,-2.17,-9.247,0.477,2.742,6.385,11.8388152635,14.2797687294
2004-03-05,EMN,1.434,0.01,0.505,0.558,4.973,0.007,0.06,-11.915,0.555,3.084,6.739,14.2147985173,15.289057588
2004-05-06,EMN,1.597,-0.006,-0.516,0.042,4.8,-0.004,-0.04,-11.443,0.571,3.419,6.418,15.1749601433,14.8464807285
2004-08-09,EMN,1.676,0.084,0.105,0.145,4.558,0.05,0.54,-13.504,0.544,3.205,6.712,15.0210630512,17.4997475713
2004-11-09,EMN,1.649,0.038,0.032,0.179,4.4,0.023,0.25,30.955,0.614,3.754,6.666,17.6407324459,21.8103910951
2005-03-15,EMN,1.658,0.054,0.146,0.325,3.959,0.033,0.35,28.37,0.733,4.073,7.462,21.7567061811,21.1840670975
2005-05-06,EMN,1.762,0.162,0.068,0.393,3.46,0.092,1.02,14.005,0.702,3.519,8.369,21.0838552579,19.530224293
2005-08-05,EMN,1.752,0.206,-0.152,0.241,2.695,0.118,1.27,9.474,0.639,2.892,9.248,19.2921827781,19.2053106505
2005-11-01,EMN,1.816,0.123,0.045,0.286,2.493,0.068,0.76,8.0,0.624,2.734,9.787,19.478320184,18.743608257
2006-03-13,EMN,1.729,0.066,0.238,0.524,2.581,0.038,0.4,7.465,0.589,2.579,9.873,18.8574061136,20.5161765709
2006-05-03,EMN,1.803,0.105,-0.039,0.485,2.368,0.058,0.64,9.182,0.647,2.674,10.5,20.7901699053,18.6723775883
2006-07-31,EMN,1.929,0.114,0.012,0.497,2.241,0.059,0.69,10.007,0.561,2.204,11.257,18.5342019941,23.0553836131
2006-10-31,EMN,1.966,0.095,-0.067,0.43,2.189,0.048,0.58,13.192,0.675,2.636,11.557,22.9386570261,22.4133020277
2007-03-01,EMN,1.752,0.095,0.509,0.939,2.042,0.054,0.57,12.09,0.664,2.437,12.13,22.4322738425,25.8773200551
2007-05-01,EMN,1.795,0.077,-0.106,0.833,1.905,0.043,0.46,14.684,0.752,2.658,12.511,25.418637868,25.4227857153
2007-07-30,EMN,1.895,0.105,0.058,0.891,1.876,0.055,0.62,15.422,0.774,2.644,12.91,26.269442218,25.6327976696
2007-10-31,EMN,1.813,0.02,-0.11,0.781,1.986,0.011,0.12,18.167,0.744,2.71,12.286,25.8032954923,26.249623295
2008-02-29,EMN,1.327,0.098,0.107,0.888,1.886,0.074,0.61,17.495,0.768,2.521,13.053,25.6760955566,29.3655413233
2008-04-29,EMN,1.727,0.133,-0.095,0.793,2.062,0.077,0.85,15.842,0.834,2.975,12.435,29.0552727979,23.5430934375
2008-07-30,EMN,1.834,0.115,-0.231,0.562,1.898,0.063,0.76,12.511,0.683,2.276,13.169,23.6813730599,13.6022446576
2008-10-28,EMN,1.819,0.1,-0.225,0.337,2.038,0.055,0.68,5.953,0.396,1.459,12.544,14.5695684655,9.16272756868
