datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-13,EQR,0.544411,0.102931,-0.078217,0.026614,1.109,0.136,0.28,18.313,3.605,1.419,20.358,12.2794649198,11.6826855525
2001-11-13,EQR,0.552382,0.093851,0.084193,0.110807,1.143,0.126,0.26,23.392,3.392,1.351,20.112,11.7393764491,12.6746793963
2002-03-07,EQR,0.535949,0.141523,-0.059204,0.051603,1.143,0.219,0.43,21.164,3.583,1.436,20.085,12.6613982093,12.6680222148
2002-05-13,EQR,0.516201,0.100878,0.198159,0.249762,1.163,0.148,0.28,23.054,3.616,1.437,19.943,12.7174540149,11.5438075658
2002-08-13,EQR,0.514717,0.113297,-0.16082,0.088942,1.128,0.173,0.33,19.574,3.252,1.277,19.761,11.411487242,11.4813405592
2002-11-13,EQR,0.506735,0.088661,-0.067186,0.021756,1.131,0.127,0.24,19.224,3.217,1.249,19.49,11.4302917532,11.4460392481
2003-03-14,EQR,0.471271,0.118477,0.008119,0.029875,1.155,0.2,0.35,20.156,3.277,1.257,19.271,11.3610088286,13.2205541623
2003-05-13,EQR,0.48605,0.135347,0.280434,0.310309,1.204,0.229,0.41,20.954,3.801,1.451,19.147,13.2686289047,13.9967641641
2003-08-13,EQR,0.483144,0.136391,-0.066471,0.243838,1.181,0.232,0.41,20.28,3.979,1.478,19.318,13.8354885994,14.3495680632
2003-11-13,EQR,0.472976,0.137273,0.128748,0.372586,1.153,0.238,0.41,18.473,4.153,1.503,19.389,14.3098872666,14.9072118814
2004-03-12,EQR,0.419059,0.134836,-0.323007,0.049579,1.167,0.217,0.33,19.488,4.56,1.658,18.272,15.022966734,14.3694782546
2004-05-07,EQR,0.462661,0.117065,0.021948,0.071527,1.363,0.212,0.35,18.52,4.17,1.526,18.098,13.9611094232,15.8831056343
2004-08-06,EQR,0.488596,0.12729,0.071725,0.143252,1.376,0.222,0.39,20.734,4.614,1.688,18.057,15.6966112433,17.3324495654
2004-11-08,EQR,0.491485,0.087509,-0.078259,0.064993,1.393,0.151,0.26,25.45,5.082,1.887,17.896,17.5740534078,17.2391353151
2005-03-14,EQR,0.462841,0.150633,0.018512,0.083505,1.387,0.297,0.49,22.682,5.025,1.872,17.966,17.6431360194,18.580219552
2005-05-09,EQR,0.488502,0.227039,0.007563,0.091068,1.348,0.438,0.75,18.888,5.225,1.94,18.283,18.9680930828,20.7133397329
2005-08-08,EQR,0.499503,0.141344,0.011684,0.102752,1.399,0.257,0.45,18.947,5.405,2.014,18.273,19.9284131746,20.9013901104
2005-11-07,EQR,0.504406,0.267524,0.204181,0.306933,1.453,0.496,0.87,14.997,5.6,2.082,18.379,20.9454858701,24.6909488209
2006-03-08,EQR,0.492652,0.225886,-0.218105,0.088828,1.535,0.437,0.75,15.934,6.584,2.386,18.796,24.7020959761,24.9005872073
2006-05-08,EQR,0.520979,0.377815,-0.002051,0.086777,1.436,0.706,1.27,13.552,6.458,2.304,19.576,25.1763225233,27.5616198282
2006-08-07,EQR,0.491939,0.160157,-0.014605,0.072172,1.478,0.305,0.52,14.165,6.929,2.455,19.602,27.2036029108,28.6286199595
2006-11-06,EQR,0.513865,0.069811,0.004152,0.076324,1.638,0.11,0.19,18.678,7.301,2.669,19.048,28.9324479246,28.8367411074
2007-02-28,EQR,0.512853,0.465061,0.183953,0.260277,1.49,0.892,1.58,14.473,7.502,2.538,20.173,29.3805031263,26.5855787812
