datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-07-27,ETN,1.871,0.049,-0.015,0.207,2.201,0.026,0.17,18.29,0.673,2.054,8.842,11.6620208743,10.5540415609
2001-11-01,ETN,1.75,0.04,-0.005,0.211,2.216,0.023,0.14,20.398,0.644,1.854,8.815,10.6572595713,13.5221002439
2002-03-21,ETN,1.695,0.03,0.012,0.112,2.089,0.018,0.11,33.391,0.773,2.28,8.877,13.2297393376,14.0015486145
2002-05-14,ETN,1.723,0.033,-0.018,0.262,2.012,0.019,0.12,39.959,0.863,2.423,8.803,14.2034703497,11.5155152415
2002-08-09,ETN,1.881,0.088,-0.03,0.322,1.966,0.047,0.31,25.598,0.694,1.894,8.962,11.4576898421,11.6910322934
2002-11-13,ETN,1.83,0.093,0.025,0.379,1.868,0.051,0.33,20.517,0.702,1.922,9.058,11.8074271533,12.1276867153
2003-03-21,ETN,1.775,0.067,-0.014,0.075,2.101,0.038,0.24,18.816,0.733,2.297,8.551,12.4991473184,13.5056341382
2003-05-15,ETN,1.925,0.072,-0.016,0.059,2.051,0.037,0.25,17.933,0.774,2.411,8.252,13.6166670048,14.5199714471
2003-08-13,ETN,2.027,0.093,0.028,0.087,1.728,0.046,0.32,20.115,0.865,2.33,9.544,14.7280763746,17.0037277887
2003-11-12,ETN,2.026,0.107,-0.015,0.072,1.685,0.053,0.35,22.648,0.99,2.609,9.53,17.1737310659,18.7249515593
2004-03-12,ETN,2.083,0.114,-0.011,0.061,1.638,0.055,0.37,22.356,1.07,2.768,9.939,19.1450845476,20.3849892204
2004-05-07,ETN,2.238,0.134,0.004,0.065,1.692,0.06,0.43,19.464,1.041,2.866,9.685,19.866872174,22.0354150435
2004-08-06,ETN,2.403,0.161,0.021,0.086,1.687,0.067,0.53,17.901,1.056,2.901,10.467,21.0085888225,22.7314516093
2004-11-05,ETN,2.543,0.17,-0.003,0.083,1.636,0.067,0.56,17.347,1.084,2.98,11.027,22.8767668251,24.1943868756
2005-03-11,ETN,2.633,0.183,0.002,0.085,1.517,0.07,0.6,16.399,1.082,2.947,11.708,24.1561541137,20.7682736041
2005-05-09,ETN,2.654,0.187,0.005,0.09,1.629,0.07,0.61,12.907,0.884,2.565,11.522,20.9779129743,23.221054235
2005-08-03,ETN,2.834,0.209,0.04,0.13,1.725,0.074,0.7,13.197,0.927,2.833,11.646,23.4306936052,20.3281292972
2005-10-27,ETN,2.789,0.199,-0.038,0.092,1.638,0.071,0.67,10.782,0.769,2.27,12.391,19.8963627796,24.2089798842
2006-03-10,ETN,2.838,0.21,0.018,0.11,1.705,0.074,0.71,12.818,0.928,2.731,12.703,24.5814257286,27.4581264884
2006-05-04,ETN,3.013,0.208,-0.002,0.108,1.642,0.069,0.69,14.153,1.019,2.889,13.454,27.731253441,23.3736377454
2006-08-04,ETN,3.186,0.253,0.017,0.125,1.562,0.079,0.83,11.197,0.824,2.293,14.005,23.276859917,25.8576020082
2006-11-03,ETN,3.115,0.248,0.004,0.129,1.565,0.08,0.82,11.583,0.876,2.426,14.578,25.7458827522,28.9926282745
2007-02-28,ETN,3.102,0.241,-0.015,0.114,1.781,0.078,0.81,12.465,0.957,2.884,13.806,29.351367207,33.0329707974
2007-05-04,ETN,3.153,0.234,-0.008,0.106,1.861,0.074,0.8,13.599,1.057,3.103,14.492,32.9856404083,35.6071825089
2007-08-07,ETN,3.248,0.246,0.006,0.112,1.793,0.076,0.83,14.313,1.099,3.119,15.085,34.8064048369,33.3705964105
2007-11-05,ETN,3.298,0.258,0.059,0.171,1.686,0.078,0.88,13.411,1.026,2.768,16.133,33.0840273783,30.8891778638
2008-02-29,ETN,3.374,0.256,-0.029,0.142,1.597,0.076,0.87,11.884,0.906,2.284,17.556,29.8024938513,32.9665071159
2008-05-05,ETN,3.496,0.247,0.015,0.157,1.663,0.071,0.83,12.852,0.965,2.353,18.619,32.7025966406,26.8088743862
2008-08-06,ETN,4.279,0.333,0.062,0.219,1.424,0.078,1.03,10.931,0.828,1.617,22.934,26.9324003363,17.1165698873
2008-11-04,ETN,4.114,0.315,-0.038,0.181,1.431,0.077,0.95,7.092,0.535,1.17,20.996,18.7283423833,13.8801745237
