datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2013-11-13,EVHC,0.955888,-0.007663,0.057287,0.575761,1.919,-0.008,-0.15,,,3.183,30.278,84.0419161677,96.8562874251
2014-03-14,EVHC,0.984845,0.007908,0.110392,0.204712,1.687,0.008,0.15,991.917,1.595,3.729,31.798,98.2934131737,102.604790419
2014-05-13,EVHC,1.014211,0.024825,-0.013716,0.190996,1.656,0.024,0.42,,,3.767,26.83,100.868263473,106.976047904
2014-08-14,EVHC,1.075327,-0.001992,-0.028393,0.162603,1.745,-0.002,-0.03,284.278,1.628,4.049,26.779,107.604790419,94.5808383234
2014-11-12,EVHC,1.150329,0.052776,0.084567,0.24717,1.69,0.046,0.87,70.099,1.386,3.437,27.936,95.5089820359,109.640718563
2015-03-02,EVHC,1.157777,0.049899,0.071725,0.318895,1.667,0.043,0.81,53.287,1.521,3.799,28.715,108.74251497,109.251497006
2015-05-08,EVHC,1.244502,0.033375,-0.22602,0.092875,1.831,0.027,0.54,50.156,1.453,3.715,29.357,108.443113772,134.131736527
2015-08-03,EVHC,1.354258,0.052416,0.07973,0.172605,1.766,0.039,0.84,44.614,1.714,4.463,30.407,135.538922156,84.1017964072
2015-11-03,EVHC,1.36737,0.017236,-0.042715,0.12989,1.752,0.013,0.27,33.945,1.013,2.712,30.817,83.2335329341,67.5748502994
2016-02-29,EVHC,1.481786,0.041865,0.011787,0.141677,2.231,0.028,0.66,28.389,0.755,2.092,31.524,65.8383233533,65.2994011976
2016-05-06,EVHC,1.597546,0.02685,0.04998,0.191657,2.222,0.017,0.42,32.092,0.765,2.225,31.95,71.0479041916,70.4790419162
2016-08-03,EVHC,1.64103,0.028432,0.021088,0.212745,2.226,0.017,0.45,38.7,0.727,2.179,32.495,70.8083832335,64.5808383234
2016-11-03,EVHC,1.63875,0.025889,-0.022712,0.190033,2.194,0.016,0.42,31.683,0.613,1.89,32.982,62.3053892216,70.0
2017-03-01,EVHC,-1.181326,-0.099771,0.176544,0.3316,1.385,0.092,-1.76,-278.002,2.084,1.144,114.083,65.59,57.76
2017-05-05,EVHC,1.8786,-0.4452,-0.0886,0.2253,1.549,-0.238,-3.84,-13.473,1.701,1.075,53.971,57.55,55.79
