datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2005-11-14,EXPE,0.584653,0.082035,,0.260675,0.352,0.14,0.48,,,1.286,34.2,29.5361914568,27.131855554
2006-03-31,EXPE,0.494749,0.025234,0.08283,0.321001,0.353,0.051,0.14,30.899,3.335,1.233,33.75,27.7573738376,19.8699792295
2006-05-15,EXPE,0.493898,0.023335,0.211614,0.541891,0.371,0.047,0.14,,,0.866,33.853,19.8602055064,20.0654536932
2006-08-11,EXPE,0.598458,0.095482,0.134311,0.663964,0.399,0.16,0.56,21.31,2.218,0.827,33.684,19.9774901845,22.7336801219
2006-11-14,EXPE,0.613942,0.058977,0.302351,0.963966,0.447,0.096,0.36,27.171,2.506,0.952,35.08,22.8118699074,29.2820746541
2007-02-28,EXPE,0.531288,0.06714,-0.092418,0.864367,0.401,0.126,0.4,26.234,2.872,1.088,35.761,29.11592136,33.142695311
2007-05-09,EXPE,0.550511,0.034776,-0.215552,0.657304,0.559,0.063,0.22,29.169,3.26,1.412,34.418,33.7877610411,37.5799656358
2007-08-03,EXPE,0.689923,0.096136,0.373682,1.033114,0.596,0.139,0.64,32.839,3.538,1.553,35.874,37.9024985008,41.9683673446
2007-11-08,EXPE,0.759596,0.099595,-0.174873,0.857279,0.748,0.131,0.68,28.713,3.376,1.765,33.147,41.1376008741,33.3577172211
2008-02-22,EXPE,0.665302,0.065357,-0.219145,0.634041,0.722,0.098,0.46,23.573,2.617,1.448,33.968,33.4456807297,34.4132793247
2008-05-02,EXPE,0.687817,0.051306,0.080482,0.727722,0.766,0.075,0.36,23.064,2.571,1.474,34.277,34.4719216638,26.0567460039
2008-07-31,EXPE,0.795048,0.096089,0.329685,1.05449,0.821,0.121,0.68,17.96,1.929,1.12,35.037,26.7995489658,16.4296286694
2008-10-30,EXPE,0.833337,0.094824,-0.367882,0.666727,0.759,0.114,0.66,9.469,0.977,0.57,35.647,13.8982343652,11.6795992028
2009-02-19,EXPE,0.620811,-2.759982,0.005741,0.668768,1.531,-4.446,-19.3,-0.902,0.773,0.975,16.233,10.8195115628,14.5042052025
2009-04-30,EXPE,0.635712,0.039384,-0.190178,0.487242,1.433,0.062,0.28,-1.551,1.36,1.679,16.26,18.6384901086,25.1184685784
2009-07-30,EXPE,0.769768,0.040902,0.38706,0.882863,1.533,0.053,0.28,-2.286,2.066,2.437,16.827,28.0505855331,33.3283960515
2009-10-29,EXPE,0.852428,0.117014,-0.023715,0.854176,1.366,0.137,0.82,-2.738,2.437,2.73,17.819,33.2795274356,30.4549214359
2010-02-11,EXPE,0.697518,0.102226,-0.196035,0.656616,1.188,0.147,0.7,20.569,2.085,2.297,18.572,29.1256950831,33.6704763629
2010-04-30,EXPE,0.717919,0.059395,0.354917,1.015225,1.502,0.083,0.42,20.987,2.208,2.641,17.594,32.4292135187,29.0377315745
2010-07-30,EXPE,0.83396,0.114262,-0.201607,0.812203,1.518,0.137,0.8,16.422,2.08,2.476,18.346,31.2563667369,40.2775132341
2010-10-29,EXPE,0.98786,0.17655,0.155017,0.966105,1.609,0.179,1.26,17.728,2.478,2.96,19.273,40.0136227082,35.605673553
2011-02-11,EXPE,0.80837,0.071293,-0.236539,0.728547,1.465,0.088,0.52,13.856,1.744,2.185,19.364,29.5361914568,34.3155420929
2011-04-29,EXPE,0.822177,0.052039,0.238837,0.973184,1.734,0.063,0.38,16.515,1.981,2.53,19.741,34.7846808057,40.4143453586
2011-07-29,EXPE,1.023634,0.140393,0.455839,1.430802,1.747,0.137,1.02,19.74,2.386,3.018,21.054,44.1772287838,39.6519949504
2011-11-07,EXPE,1.140835,0.209534,0.0445,1.472063,1.601,0.184,1.54,16.272,2.029,2.658,21.28,40.3068344036,32.2625210117
2012-02-10,EXPE,0.462363,0.070328,-0.671241,0.708216,1.909,0.152,0.54,9.491,1.3,2.038,16.459,31.6769600332,30.9033237086
2012-04-27,EXPE,0.816488,-0.003281,0.583374,1.295782,2.276,-0.004,-0.02,12.285,1.488,2.5,15.381,38.1769224239,43.377966028
2012-07-27,EXPE,1.03998,0.105241,0.070838,1.367835,2.311,0.101,0.79,19.517,2.154,3.335,16.858,52.0991103684,48.7544854625
2012-10-26,EXPE,1.19902,0.171477,-0.028618,1.336578,2.129,0.143,1.26,23.171,2.264,3.368,17.395,56.1841933935,64.9277385787
2013-02-06,EXPE,0.974859,0.006734,-0.021567,1.314636,2.059,0.007,0.05,31.748,2.207,3.901,16.884,63.1963322166,62.6204604428
2013-04-26,EXPE,1.012367,-0.104226,-0.210363,1.112063,2.854,-0.103,-0.77,44.154,1.872,3.665,15.918,56.4422681781,62.7874867622
2013-07-26,EXPE,1.205017,0.0715,0.229019,1.342053,2.875,0.059,0.52,44.121,1.462,2.881,16.339,45.5933750027,48.4127951139
2013-10-31,EXPE,1.40186,0.170859,0.082681,1.413381,2.686,0.122,1.25,53.057,1.673,3.501,16.099,57.1389204142,63.2786744968
2014-02-07,EXPE,1.152015,0.094717,-0.373465,1.047075,2.554,0.082,0.72,41.392,2.02,4.492,16.44,72.3226483924,71.9032969822
2014-05-02,EXPE,1.200371,-0.014304,0.463033,1.512781,3.399,-0.012,-0.11,28.619,1.863,4.63,15.282,69.2557138254,77.4640992872
2014-08-01,EXPE,1.494632,0.089373,-0.050246,1.463579,3.862,0.06,0.69,31.535,2.047,5.727,14.48,82.3799776605,78.9032672504
2014-10-31,EXPE,1.712504,0.257059,0.818928,2.284542,3.938,0.15,2.01,25.191,1.934,5.705,14.735,83.0473258797,86.1839544251
2015-02-06,EXPE,1.355978,0.065969,-0.850048,1.437588,3.994,0.049,0.52,24.787,1.712,5.53,13.976,76.263006035,92.4694461501
2015-05-01,EXPE,1.373397,0.044143,0.332583,1.780328,4.993,0.032,0.35,28.413,2.185,7.798,13.041,99.7900666348,105.77125939
2015-07-31,EXPE,1.6626,0.449644,1.451846,3.21439,4.574,0.27,3.49,19.199,2.569,7.428,16.38,119.364945082,125.165371514
2015-10-30,EXPE,1.937753,0.283216,-1.73179,1.465354,4.054,0.146,2.18,20.994,2.796,7.25,18.779,134.267591196,93.1276375373
2016-02-11,EXPE,1.698567,-0.012538,0.22096,1.687623,2.174,-0.007,-0.16,20.361,2.333,3.2,36.255,102.030777872,105.845581102
2016-04-29,EXPE,1.903961,-0.121861,0.38703,2.106133,2.525,-0.064,-0.81,28.844,2.397,3.727,30.663,114.531665803,118.244458797
2016-07-29,EXPE,2.195869,0.031649,0.233195,2.33869,2.965,0.014,0.21,96.774,2.257,4.156,28.099,115.646986826,125.619833287
