datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-07-26,F,42.314,-0.755,1.204,6.586,20.046,-0.018,-0.42,20.141,0.272,3.304,7.563,16.5411999752,11.0641545142
2001-11-14,F,36.502,-0.696,4.052,10.638,19.765,-0.019,-0.39,43.707,0.181,2.214,7.376,11.0035474596,10.9139202056
2002-03-28,F,41.15,-5.072,-3.42,7.218,34.518,-0.123,-2.8,-5.448,0.183,3.826,4.299,11.1782946702,10.8715877661
2002-05-10,F,39.857,-0.804,8.802,16.02,36.154,-0.02,-0.45,-3.916,0.18,3.868,4.106,10.7965642621,8.13520710309
2002-08-12,F,42.332,0.567,-2.917,13.103,28.047,0.013,0.31,-3.533,0.133,2.123,5.512,7.99778806419,5.92357660429
2002-11-14,F,39.58,-0.33,2.97,16.073,27.656,-0.008,-0.18,-2.864,0.099,1.62,5.472,6.11824813589,5.00996352977
2003-03-14,F,41.684,-0.134,-3.802,12.25,49.749,-0.003,-0.08,-12.339,0.075,2.196,3.048,4.74997944758,7.09481620251
2003-05-08,F,41.033,0.896,6.987,19.237,41.135,0.022,0.49,18.175,0.11,2.697,3.675,7.03805767289,7.9205462197
2003-08-01,F,40.67,0.417,-1.553,17.684,36.175,0.01,0.23,23.52,0.123,2.47,4.413,7.80596327258,9.42807708975
2003-11-13,F,36.888,-0.025,10.203,27.887,36.819,-0.001,-0.01,20.849,0.15,2.938,4.473,9.48582947621,9.45952952872
2004-03-12,F,45.75,-0.793,-6.088,21.77,25.087,-0.017,-0.43,49.214,0.148,2.091,6.36,9.65569488761,11.0561327437
2004-05-06,F,44.691,1.952,-3.58,18.19,22.237,0.044,1.07,16.897,0.156,2.034,7.032,10.8879508302,10.8124213279
2004-08-05,F,42.802,1.165,-2.542,15.648,20.593,0.027,0.64,11.302,0.153,1.916,7.406,10.4517619371,10.2419459148
2004-11-08,F,38.996,0.266,1.772,17.416,19.461,0.007,0.15,9.728,0.146,1.791,7.692,10.2122806116,9.22029842845
2005-03-10,F,45.262,0.104,4.653,23.511,17.185,0.002,0.06,6.495,0.132,1.412,8.782,9.24271406483,7.51585987214
2005-05-10,F,45.136,1.212,-0.165,23.345,16.852,0.027,0.66,6.552,0.105,1.149,8.515,7.38744819593,8.19575672497
2005-08-04,F,44.548,0.946,6.788,30.133,18.434,0.021,0.51,7.799,0.113,1.388,7.665,8.11189316778,6.39906889509
2005-11-07,F,40.856,-0.284,-1.254,28.2,18.106,-0.007,-0.15,7.534,0.085,1.065,7.828,6.43766400302,6.22301822283
2006-03-01,F,46.549,0.15,2.62,31.499,19.711,0.003,0.08,7.26,0.083,1.134,7.019,6.20740211687,5.52051814705
