datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-02,FAST,0.204907,0.019018,0.010967,0.046713,0.124,0.093,0.06,31.099,3.141,6.248,1.303,6.18691100982,5.55150366171
2001-10-31,FAST,0.207077,0.017001,0.009504,0.056217,0.161,0.082,0.06,29.608,2.797,5.442,1.356,5.60849086782,7.07066090645
2002-03-04,FAST,0.205283,0.013354,-0.008953,0.047264,0.119,0.065,0.04,40.557,3.475,6.692,1.4,7.12867951222,7.65274921352
2002-04-15,FAST,0.214582,0.017705,0.000527,0.047791,0.15,0.083,0.06,45.604,3.677,6.971,1.446,7.66891833316,7.38833655116
2002-07-17,FAST,0.233484,0.021831,-0.001098,0.046693,0.14,0.094,0.07,42.08,3.418,6.373,1.521,7.3731185562,6.40487362712
2002-10-29,FAST,0.238086,0.019117,-0.021208,0.025485,0.125,0.08,0.06,36.228,2.926,5.44,1.58,6.53993333236,6.17472970464
2003-02-26,FAST,0.219286,0.016889,-0.011189,0.014296,0.118,0.077,0.06,32.132,2.681,4.856,1.647,6.09659269295,6.34624997422
2003-04-17,FAST,0.235843,0.019041,0.004505,0.018801,0.138,0.081,0.06,33.854,2.808,5.038,1.702,6.53682805152,7.10665650266
2003-08-06,FAST,0.249112,0.021927,0.018039,0.03684,0.13,0.088,0.07,36.631,2.992,5.208,1.784,7.08188135261,8.85584362063
2003-11-12,FAST,0.25833,0.023262,0.018287,0.055127,0.126,0.09,0.08,44.749,3.771,6.428,1.861,9.15040083825,9.29749123459
2004-02-25,FAST,0.251643,0.01989,-0.005377,0.04975,0.13,0.079,0.07,43.549,3.682,6.352,1.9,9.26295659938,10.6098073725
2004-04-30,FAST,0.284206,0.028147,0.003338,0.053088,0.164,0.099,0.09,44.643,3.989,7.018,1.954,10.5234707845,11.3235231669
2004-07-26,FAST,0.310143,0.034832,-0.010387,0.042701,0.162,0.112,0.12,41.695,4.007,7.064,2.064,11.1892218077,10.744594139
2004-10-21,FAST,0.325678,0.034741,-0.016669,0.026032,0.155,0.107,0.12,35.297,3.543,6.436,2.125,10.5403755665,11.3214190259
2005-03-01,FAST,0.318465,0.033269,0.007471,0.033503,0.125,0.104,0.11,33.331,3.525,6.38,2.255,11.1432509536,10.1478336804
2005-04-21,FAST,0.353809,0.037031,0.032492,0.065995,0.161,0.105,0.12,28.941,3.095,5.813,2.295,10.3318115811,12.3207095181
2005-07-21,FAST,0.383263,0.044647,-0.02635,0.039645,0.138,0.116,0.15,31.974,3.465,6.641,2.383,12.272294281,13.3575667899
2005-10-24,FAST,0.402218,0.045971,-0.007616,0.032029,0.133,0.114,0.15,32.404,3.577,6.968,2.477,13.4373657464,16.8540506999
2006-02-23,FAST,0.384043,0.039164,0.024175,0.056204,0.136,0.102,0.13,38.929,4.263,8.288,2.594,16.8149370989,18.578960507
2006-04-25,FAST,0.431703,0.047854,0.012914,0.069118,0.19,0.111,0.16,40.392,4.481,8.954,2.653,18.578960507,13.2751562023
2006-07-21,FAST,0.458817,0.051513,-0.026326,0.042792,0.153,0.112,0.17,27.181,2.991,5.898,2.814,12.9974496347,16.2992859721
2006-10-24,FAST,0.470088,0.054101,-0.035354,0.007438,0.143,0.115,0.18,32.827,3.624,7.248,2.891,16.4723061368,14.8089531896
2007-02-23,FAST,0.448729,0.04557,0.011908,0.019346,0.127,0.102,0.15,28.222,3.105,6.092,3.051,14.690323391,16.2601910589
2007-05-01,FAST,0.489157,0.054033,0.040042,0.059388,0.163,0.11,0.18,30.351,3.337,6.612,3.116,16.2997343251,18.3441211873
2007-07-31,FAST,0.519706,0.060256,-0.002058,0.05733,0.145,0.116,0.2,31.718,3.52,6.885,3.264,17.8221500736,17.4722256193
2007-10-31,FAST,0.53375,0.062142,-0.003185,0.054145,0.141,0.116,0.2,30.058,3.351,6.623,3.348,17.6789034474,19.5810769421
2008-04-25,FAST,0.56621,0.068094,0.017992,0.075212,0.175,0.12,0.23,,,7.098,3.488,19.8009991867,19.8969652571
2008-07-23,FAST,0.604219,0.076166,0.001226,0.076438,0.146,0.126,0.26,,,6.625,3.718,19.7730090828,14.9749728281
2008-10-22,FAST,0.625037,0.072909,-0.024331,0.052107,0.167,0.117,0.24,,,4.585,3.775,13.9216995715,13.259285894
2009-02-20,FAST,0.544959,0.062536,0.033785,0.085892,0.142,0.115,0.21,17.094,2.043,4.186,3.845,13.1774131809,14.4750956843
2009-04-24,FAST,0.489347,0.048694,0.023975,0.109867,0.145,0.1,0.17,21.312,2.451,4.878,3.829,15.2897291801,14.4873765912
2009-07-24,FAST,0.474894,0.043538,0.0638,0.173667,0.12,0.092,0.14,23.251,2.48,4.46,3.995,14.5897174827,15.794191988
2009-10-23,FAST,0.489339,0.047589,0.020077,0.193744,0.129,0.097,0.16,27.561,2.791,4.706,3.99,15.5461156741,17.038708163
2010-02-09,FAST,0.47675,0.044536,-0.028892,0.164852,0.115,0.093,0.15,33.859,3.234,5.242,4.027,17.5059185542,23.4185414254
2010-04-27,FAST,0.520772,0.056034,0.01397,0.178822,0.151,0.108,0.19,41.746,4.079,6.719,4.039,22.6587955182,20.4004299369
2010-07-23,FAST,0.571183,0.069167,0.01757,0.196392,0.145,0.121,0.23,33.485,3.536,5.781,4.269,20.6049769119,22.0590772021
2010-10-21,FAST,0.60375,0.074994,-0.023827,0.172565,0.152,0.124,0.26,31.868,3.59,6.115,4.325,22.26956458,26.5369093193
2011-02-09,FAST,0.573766,0.065161,-0.028872,0.143693,0.145,0.114,0.22,34.822,4.072,7.205,4.35,26.5941923823,27.8414440609
2011-04-21,FAST,0.640583,0.079547,-0.018845,0.124848,0.18,0.124,0.27,33.45,4.044,7.482,4.38,28.1420148635,29.3528858112
2011-07-21,FAST,0.70173,0.094112,-0.035439,0.089409,0.168,0.134,0.32,32.417,4.037,7.512,4.591,29.7135707744,31.0398049422
2011-10-26,FAST,0.726742,0.096798,0.021639,0.111048,0.172,0.133,0.33,31.568,4.009,7.52,4.773,31.0571117752,42.4086813394
2012-02-09,FAST,0.697804,0.087471,0.006628,0.117676,0.155,0.125,0.29,39.772,5.145,9.757,4.942,41.8702135444,41.2535810695
2012-04-20,FAST,0.768875,0.100194,0.081202,0.198878,0.178,0.13,0.34,37.703,4.93,9.275,5.207,41.8702135444,39.4857400494
2012-07-20,FAST,0.80489,0.112306,-0.012962,0.185916,0.156,0.14,0.38,32.812,4.342,8.132,5.406,38.3177291958,39.7839090596
2012-10-18,FAST,0.802577,0.10932,0.009687,0.195603,0.153,0.136,0.37,32.391,4.313,7.965,5.618,39.1706959298,44.6093039725
2013-02-07,FAST,0.757235,0.098716,-0.115992,0.079611,0.164,0.13,0.33,35.142,4.716,9.471,5.263,44.4487104782,44.154289072
2013-04-15,FAST,0.806326,0.109048,0.079629,0.15924,0.186,0.135,0.37,33.214,4.498,8.692,5.531,42.8873848392,42.220182442
2013-07-15,FAST,0.847596,0.121009,-0.036387,0.122853,0.168,0.143,0.41,31.835,4.34,8.175,5.749,42.0858088506,43.3261455925
2013-10-15,FAST,0.858424,0.11935,-0.030663,0.09219,0.178,0.139,0.4,31.739,4.35,8.129,5.894,43.173017843,40.3024655633
2014-02-06,FAST,0.81376,0.099229,-0.033684,0.058506,0.171,0.122,0.33,29.337,3.957,7.425,5.974,40.3798564945,45.5923633363
2014-04-16,FAST,0.876501,0.111931,0.030515,0.089021,0.203,0.128,0.38,32.948,4.38,8.263,6.069,45.6606494521,41.1677879529
2014-07-16,FAST,0.949938,0.130514,0.016919,0.10594,0.222,0.137,0.44,29.302,3.861,7.231,6.297,41.6527607828,37.819079081
2014-10-15,FAST,0.980814,0.133314,0.010389,0.116329,0.248,0.136,0.45,25.576,3.355,6.388,6.411,37.7086584121,39.3283615964
2015-02-05,FAST,0.926254,0.118391,-0.001833,0.114496,0.232,0.128,0.4,25.184,3.333,6.498,6.47,39.1793199608,38.2105493294
2015-04-17,FAST,0.953317,0.127606,0.006294,0.12079,0.301,0.134,0.43,23.375,3.128,6.397,6.31,37.7634244225,39.3209260729
2015-07-17,FAST,0.997827,0.140357,0.000376,0.121166,0.406,0.141,0.48,23.373,3.148,6.886,6.058,39.2552817889,35.9884193939
2015-10-16,FAST,0.99525,0.136494,-0.009391,0.111775,0.399,0.137,0.47,20.772,2.804,6.09,6.152,35.4029347436,41.7302451482
2016-02-05,FAST,0.922793,0.111904,0.017244,0.129019,0.406,0.121,0.39,24.162,3.225,6.926,6.221,41.4714083416,43.8776319879
2016-04-15,FAST,0.98668,0.126227,0.021533,0.150552,0.451,0.128,0.44,25.697,3.391,7.264,6.308,43.9159781815,41.7826654789
2016-07-15,FAST,1.014287,0.131521,0.004906,0.155458,0.445,0.13,0.46,24.806,3.204,6.721,6.466,41.9274091237,37.2599832838
2016-10-14,FAST,1.013122,0.126925,-0.008475,0.146983,0.43,0.125,0.44,22.316,2.815,5.804,6.607,37.2599832838,48.3373688005
2017-02-06,FAST,0.947947,0.114805,-0.034248,0.112735,0.381,0.121,0.4,29.181,3.679,7.54,6.687,49.6680263837,44.887515807
2017-04-17,FAST,1.0477,0.1342,0.0216,0.1343,0.406,0.128,0.46,26.108,3.293,6.685,6.852,45.1437906008,42.5634694348
2017-07-17,FAST,1.1215,0.1489,-0.0192,0.1151,0.432,0.133,0.52,23.32,2.963,6.146,6.898,42.1862745098,43.86
