datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-07-30,FCX,0.538259,0.045417,0.003559,0.014946,41.006,0.067,0.13,12.27,0.76,16.166,0.325,3.41572874773,3.6109132476
2001-11-01,FCX,0.441238,0.013432,0.017928,0.032874,36.013,0.01,0.01,11.738,0.82,14.71,0.379,3.63043169759,5.03576009665
2002-03-08,FCX,0.412282,0.007072,-0.025287,0.007587,39.327,-0.005,-0.01,28.832,1.199,21.117,0.363,4.98696397169,5.75794274617
2002-05-07,FCX,0.39268,0.005058,0.001784,0.009371,34.804,-0.011,-0.01,74.377,1.43,21.865,0.405,5.75794274617,4.75274257184
2002-08-07,FCX,0.407999,0.015035,-0.000708,0.008663,28.835,0.014,0.02,607.933,1.318,15.519,0.486,4.89913094674,4.42092892206
2002-11-06,FCX,0.538739,0.070963,0.029364,0.038027,20.072,0.114,0.21,33.06,1.149,10.086,0.689,4.52828039699,5.53348057132
2003-03-27,FCX,0.571044,0.073598,-0.030191,0.007836,14.711,0.112,0.22,18.726,1.245,8.917,0.921,5.34805529645,6.21662632087
2003-05-13,FCX,0.524596,0.058832,0.754863,0.762699,14.487,0.094,0.17,15.51,1.37,8.723,1.105,6.30445934581,9.3298190938
2003-08-12,FCX,0.609455,0.066944,-0.022339,0.74036,11.852,0.094,0.2,17.585,1.82,10.604,1.32,9.14439381892,13.497008166
2003-11-10,FCX,0.63199,0.05349,-0.211767,0.528593,5.163,0.075,0.15,30.55,2.851,8.563,2.44,12.8333808665,13.9947286407
2004-03-10,FCX,0.446124,0.002394,-0.064941,0.498616,5.08,0.001,-0.02,38.709,2.699,7.693,2.247,13.4677304911,9.51524436868
2004-05-10,FCX,0.360185,-0.019383,0.069878,0.536273,3.368,-0.054,-0.05,60.604,2.528,4.569,2.862,9.72994731853,10.8717766428
2004-08-06,FCX,0.486334,-0.038238,-0.233778,0.302508,3.983,-0.11,-0.15,-220.618,2.896,5.876,2.706,10.7253882679,11.7793845672
2004-11-03,FCX,0.600556,0.032258,0.014358,0.31411,3.614,0.029,0.05,-116.396,3.412,6.231,2.926,12.1795127919,14.2972646155
2005-03-16,FCX,0.924791,0.22763,0.23734,0.55195,3.372,0.23,0.58,45.267,2.992,6.099,3.254,14.1118393406,12.4289345589
2005-05-06,FCX,0.803065,0.14552,-0.240908,0.311042,3.092,0.162,0.36,21.235,2.314,5.564,3.264,12.4152349892,14.1864634251
2005-08-03,FCX,0.902909,0.190372,0.274892,0.585934,3.061,0.194,0.49,13.839,2.292,6.067,3.424,14.3967098461,17.8646825393
2005-11-03,FCX,0.98327,0.18093,-0.192589,0.393345,2.369,0.169,0.47,13.775,2.607,6.506,4.07,17.9488341352,18.6528432593
2006-03-15,FCX,1.489874,0.478305,0.370754,0.763599,2.012,0.311,1.27,10.114,2.262,5.129,4.967,19.1486237619,19.1486237619
2006-03-16,FCX,1.489874,0.478305,0.370754,0.763599,2.012,0.311,1.27,10.005,2.238,5.074,4.967,18.9438448586,24.0497562607
2006-05-09,FCX,1.086122,0.266775,-0.479529,0.28407,1.575,0.232,0.67,12.4,2.934,7.03,4.955,25.0823685247,20.804649699
2006-08-03,FCX,1.426202,0.38238,0.073681,0.357751,1.632,0.258,0.97,8.366,2.094,5.378,5.149,20.6051732992,22.4863139328
2006-11-02,FCX,1.636049,0.365787,0.341139,0.69889,1.207,0.214,0.93,8.281,2.104,4.96,6.31,22.6972761677,21.6571348627
2007-02-28,FCX,1.642127,0.441567,0.208574,0.907464,1.204,0.26,1.09,7.697,1.856,4.394,6.208,22.3019930487,28.4850925039
2007-05-10,FCX,2.3029,0.4929,2.219,3.1265,1.452,0.207,1.1,16.706,3.863,1.661,37.589,27.7163852131,35.5126288373
2007-08-09,FCX,5.807,1.168,-1.048,2.078,1.252,0.19,1.45,13.904,2.878,1.887,22.791,33.6138718109,44.5572151032
2007-11-07,FCX,5.066,0.838,0.299,2.377,1.216,0.153,1.01,14.842,2.786,2.305,23.448,42.4373123582,42.0311435461
2008-02-29,FCX,4.184,0.478,-0.751,1.626,1.162,0.099,0.46,13.902,2.272,2.111,23.804,39.7791229995,45.2338617739
