datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-13,FFIV,0.029001,-0.001611,0.038323,0.075024,0.252,-0.056,-0.04,-17.669,2.688,2.948,2.413,6.365,10.635
2001-12-28,FFIV,0.026566,-0.011507,0.000981,0.075783,0.292,-0.433,-0.24,-17.671,5.067,5.639,1.946,10.885,11.735
2002-02-14,FFIV,0.027025,-0.002071,-0.00459,0.01968,0.301,-0.077,-0.04,-23.985,5.234,6.0,1.922,11.385,6.435
2002-05-09,FFIV,0.027101,-0.00177,0.014749,0.034403,0.309,-0.065,-0.04,-17.773,2.748,3.127,1.913,5.885,5.56
2002-08-14,FFIV,0.027065,-0.004346,-0.010126,0.024496,0.343,-0.161,-0.09,-15.486,2.83,3.263,1.83,5.94,5.385
2002-12-19,FFIV,0.027075,-0.000423,0.002292,0.026801,0.348,-0.016,-0.01,-31.681,2.52,2.912,1.825,5.24,6.42
2003-02-13,FFIV,0.027056,0.00052,-0.011279,0.015581,0.341,0.019,0.01,-55.357,3.077,3.467,1.857,6.395,8.255
2003-05-15,FFIV,0.028017,0.000815,0.003961,0.01952,0.35,0.029,0.01,-130.31,4.097,4.517,1.893,8.485,9.035
2003-08-13,FFIV,0.029189,0.001399,0.005679,0.024998,0.341,0.048,0.03,209.76,4.354,4.651,1.956,8.99,12.14
2003-10-30,FFIV,0.031633,0.001353,-0.008971,0.016351,0.342,0.043,0.02,169.901,5.991,6.288,2.035,12.6,17.905
2004-02-13,FFIV,0.036081,0.003801,0.017102,0.033712,0.171,0.105,0.07,165.884,9.784,5.256,3.855,18.095,13.705
2004-05-13,FFIV,0.040647,0.005955,-0.005539,0.028345,0.182,0.147,0.09,75.677,6.882,3.753,3.734,13.735,11.4
2004-08-12,FFIV,0.044243,0.007416,0.000108,0.028423,0.196,0.168,0.11,41.863,5.082,2.963,3.806,11.22,23.41
2004-12-07,FFIV,0.050219,0.015781,0.002674,0.031144,0.179,0.314,0.23,49.082,9.448,5.257,4.445,22.46,25.794
2005-02-09,FFIV,0.060009,0.009993,-0.00128,0.030024,0.158,0.167,0.14,46.557,9.34,5.179,4.945,24.85,22.26
2005-05-09,FFIV,0.06773,0.012112,-0.001922,0.028008,0.151,0.179,0.17,36.631,7.468,4.17,5.392,22.08,19.025
2005-08-09,FFIV,0.073064,0.013977,-0.010136,0.017862,0.148,0.191,0.18,28.178,5.822,3.319,5.807,19.0,26.32
2005-12-13,FFIV,0.080607,0.015651,0.040432,0.055738,0.158,0.194,0.2,39.845,7.325,4.44,6.029,26.145,26.41
2005-12-15,FFIV,0.080607,0.015651,0.040432,0.055738,0.158,0.194,0.2,40.066,7.366,4.465,6.029,26.29,31.845
2006-02-07,FFIV,0.088087,0.015221,-0.033168,0.022597,0.167,0.173,0.2,43.915,8.083,4.957,6.443,31.295,29.05
2006-05-09,FFIV,0.094116,0.016067,0.004291,0.026873,0.171,0.171,0.2,38.713,7.021,4.338,6.775,29.08,36.965
2006-12-13,FFIV,0.100129,0.016965,-0.001777,0.025085,0.189,0.169,0.21,47.778,8.412,5.382,6.994,37.145,37.145
2006-12-14,FFIV,0.111717,0.017752,0.016768,0.041675,0.183,0.159,0.21,47.907,8.025,5.129,7.568,38.47,37.69
2007-02-08,FFIV,0.12003,0.022353,-0.006633,0.035026,0.2,0.186,0.27,42.337,7.269,4.716,8.001,37.505,38.86
2007-05-08,FFIV,0.127605,0.019956,0.016114,0.050981,0.2,0.156,0.24,42.164,7.068,4.663,8.409,38.9,36.215
2007-08-07,FFIV,0.132425,0.021809,0.001372,0.051986,0.195,0.165,0.26,32.948,5.485,3.636,8.872,32.02505,29.69
2007-11-19,FFIV,0.145607,0.012882,0.006142,0.058255,0.225,0.088,0.16,31.788,4.656,3.176,9.139,28.83,21.73
2008-02-08,FFIV,0.154184,0.017751,0.015778,0.073411,0.225,0.115,0.21,25.654,3.318,2.293,9.546,21.81,25.95
2008-05-08,FFIV,0.159141,0.017745,0.073713,0.14673,0.26,0.112,0.21,31.997,3.798,3.016,8.974,27.42,31.02
2008-08-07,FFIV,0.165585,0.019134,-0.033554,0.111958,0.276,0.116,0.24,37.663,4.071,3.471,9.032,31.59,20.78
