datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-07-24,FISV,0.472646,0.051989,-0.004183,0.077963,2.598,0.11,0.14,37.705,4.088,5.25,3.688,19.3233333333,17.96
2001-10-23,FISV,0.467173,0.052629,0.014788,0.092751,2.69,0.113,0.14,35.663,3.891,5.021,3.789,19.005,21.085
2002-02-27,FISV,0.496736,0.052834,0.043337,0.136088,2.316,0.106,0.14,38.078,4.194,4.94,4.267,20.805,21.15
2002-04-23,FISV,0.631928,0.065113,0.002607,0.138695,2.248,0.103,0.17,36.776,3.957,4.845,4.43,21.4,15.7
2002-07-23,FISV,0.632426,0.066645,0.049634,0.188329,2.18,0.105,0.17,24.743,2.634,3.347,4.581,15.265,16.01
2002-10-22,FISV,0.635672,0.066151,0.02964,0.217969,2.202,0.104,0.17,22.352,2.338,3.168,4.606,14.645,15.54
2003-02-28,FISV,0.668861,0.068228,0.00927,0.227239,2.523,0.102,0.18,23.013,2.384,3.351,4.774,15.95,16.84
2003-04-23,FISV,0.707498,0.074188,-0.045078,0.182161,2.362,0.105,0.2,22.33,2.324,3.182,5.026,15.905,18.805
2003-07-23,FISV,0.738615,0.078438,0.108988,0.291149,2.277,0.106,0.2,26.235,2.737,3.724,5.23,19.45,17.989
2003-10-22,FISV,0.796052,0.080412,-0.089447,0.201702,2.412,0.101,0.21,22.311,2.309,3.198,5.428,17.34,19.2
2004-02-27,FISV,0.791505,0.081974,0.001066,0.202768,2.279,0.104,0.21,23.821,2.474,3.411,5.672,19.28,17.53
2004-04-22,FISV,0.93748,0.092798,0.005578,0.208346,2.431,0.099,0.24,23.871,2.44,3.446,5.94,20.425,17.895
2004-07-22,FISV,0.94602,0.095034,0.024386,0.232732,2.313,0.1,0.24,19.237,1.941,2.787,6.196,17.25,17.7
2004-10-22,FISV,0.958094,0.092357,0.21733,0.450062,2.278,0.096,0.23,18.416,1.836,2.65,6.442,17.05,18.77
2005-02-25,FISV,0.888152,0.097453,0.106165,0.516127,2.269,0.11,0.25,19.447,1.969,2.864,6.576,19.0,20.8
2005-04-29,FISV,0.973114,0.139026,0.203601,0.719728,1.512,0.143,0.36,19.09,2.149,3.133,6.678,21.15,22.23
2005-07-29,FISV,0.996426,0.113997,-0.153149,0.566579,1.322,0.114,0.3,18.849,2.187,3.254,6.719,22.185,21.29
2005-10-28,FISV,1.011645,0.112939,-0.392566,0.174013,1.447,0.112,0.3,17.123,2.051,3.177,6.664,21.505,21.13
2006-03-15,FISV,1.078293,0.150476,0.010458,0.184471,1.449,0.14,0.41,14.704,1.871,3.08,6.716,21.22,22.8
