datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-13,FLIR,0.051395,0.005624,-0.000913,0.008101,2.833,0.109,0.05,-135.963,2.579,12.994,0.328,3.91618187729,5.31194631873
2001-11-09,FLIR,0.047499,0.006173,0.004982,0.013083,2.29,0.13,0.05,33.384,3.36,14.225,0.403,5.26599522601,6.2826631525
2002-03-12,FLIR,0.065007,0.010263,0.002431,0.015514,0.765,0.158,0.08,34.306,4.15,8.486,0.788,6.14595865165,5.54399933698
2002-04-24,FLIR,0.058098,0.008668,-0.007243,0.008271,0.56,0.149,0.07,25.71,3.559,6.844,0.863,5.42797282786,4.48138031777
2002-08-06,FLIR,0.063595,0.009557,0.002735,0.011006,0.467,0.15,0.07,19.601,2.901,5.292,0.951,4.62727503717,5.4497995969
2002-11-08,FLIR,0.064455,0.01065,0.016714,0.02772,0.434,0.165,0.08,20.038,3.123,5.584,1.035,5.31079754142,4.99143744699
2003-03-10,FLIR,0.074933,0.012685,0.018886,0.046606,0.357,0.169,0.09,17.729,2.822,4.276,1.245,4.89264259764,6.10575144552
2003-05-07,FLIR,0.069171,0.00915,0.001481,0.048087,0.363,0.132,0.07,21.111,3.261,4.961,1.289,5.8759959819,5.99891515494
2003-08-08,FLIR,0.075162,0.009715,0.15612,0.204207,1.884,0.129,0.07,20.567,3.059,6.058,1.082,6.0218907013,7.3636626088
2003-11-07,FLIR,0.070232,0.010865,-0.00129,0.202917,1.948,0.155,0.08,25.14,3.683,7.406,1.095,7.45096968497,8.88464377792
2004-03-05,FLIR,0.097414,0.014963,-0.004924,0.197993,1.732,0.154,0.11,29.264,4.192,7.934,1.244,9.07074570344,10.6606535116
2004-05-06,FLIR,0.108861,0.012683,-0.142009,0.055984,1.422,0.117,0.1,31.913,4.376,7.401,1.546,10.5159075696,14.1713169957
2004-08-06,FLIR,0.119295,0.017926,0.011019,0.067003,1.258,0.15,0.13,35.43,5.052,8.692,1.704,13.6084161098,14.1506390039
2004-08-11,FLIR,0.119295,0.017926,0.011019,0.067003,1.258,0.15,0.13,36.609,5.22,8.981,1.704,14.0610343731,13.3993386379
2004-11-05,FLIR,0.110769,0.016824,0.027892,0.094895,1.138,0.152,0.13,31.641,4.525,7.489,1.927,13.266080469,14.6216377043
2005-03-04,FLIR,0.143726,0.024062,0.025797,0.120692,0.978,0.167,0.18,32.475,4.811,7.414,2.249,15.3223918684,12.2505613199
2005-05-10,FLIR,0.108317,0.014707,0.004921,0.125613,0.911,0.136,0.1,24.444,3.728,5.331,2.43,11.9059281244,16.1931650755
2005-08-03,FLIR,0.130966,0.024572,-0.017631,0.107982,0.91,0.188,0.17,29.628,4.81,7.245,2.356,15.6831079462,10.0678844155
2005-11-04,FLIR,0.113031,0.017344,0.025902,0.133884,0.859,0.153,0.13,19.948,3.245,4.477,2.591,10.6606535116,11.8875476873
2006-03-07,FLIR,0.156247,0.034142,-0.026827,0.107057,0.882,0.219,0.24,19.907,3.553,4.897,2.671,12.0208058562,11.4877731807
2006-05-10,FLIR,0.117339,0.012659,0.020245,0.127302,0.85,0.108,0.09,19.432,3.331,4.501,2.769,11.460202525,11.0144769256
2006-08-07,FLIR,0.13855,0.021411,0.016019,0.143321,0.786,0.155,0.15,18.884,3.076,3.849,3.037,10.8168872269,14.8789638236
2006-11-09,FLIR,0.133212,0.02707,-0.030951,0.11237,1.119,0.203,0.2,22.215,3.881,6.058,2.589,14.8422029494,15.6509421813
2007-03-16,FLIR,0.185899,0.039756,0.026253,0.138623,1.002,0.214,0.3,22.137,3.884,5.601,3.009,15.4901133568,19.5843557184
2007-05-04,FLIR,0.161363,0.026264,0.01484,0.153463,0.888,0.163,0.2,25.319,4.683,6.719,3.266,20.0944128476,21.4407798644
2007-08-08,FLIR,0.184296,0.029085,-0.001839,0.151624,0.772,0.158,0.22,27.646,5.081,6.871,3.683,23.0444730004,33.4064444093
2007-11-07,FLIR,0.191104,0.034765,0.018319,0.169943,0.675,0.182,0.26,36.911,6.633,8.615,4.118,32.4460665714,26.3575467857
2008-02-29,FLIR,0.242634,0.046597,0.033738,0.203681,0.643,0.192,0.34,28.572,5.012,6.267,4.541,26.1553619777,30.4288136009
2008-05-09,FLIR,0.236906,0.037334,-0.044594,0.159087,0.601,0.158,0.27,30.551,5.281,6.647,4.958,30.2174385744,35.4834338004
2008-08-08,FLIR,0.260978,0.045443,0.017915,0.177002,0.542,0.174,0.33,32.965,5.808,7.072,5.542,35.7223794826,27.3776610441
2008-11-07,FLIR,0.27674,0.055633,0.029101,0.206103,0.547,0.201,0.4,22.7,4.128,5.47,5.515,27.7820306601,19.4740730958
2009-02-27,FLIR,0.30235,0.065323,0.083339,0.289442,0.481,0.216,0.47,14.206,2.687,3.445,5.924,18.7572360494,23.2696333547
2009-05-08,FLIR,0.271996,0.054272,0.037823,0.327265,0.316,0.2,0.38,18.077,3.587,4.136,6.706,24.4000302357,19.9060133674
2009-08-10,FLIR,0.277978,0.055653,0.019137,0.346402,0.283,0.2,0.37,14.146,2.893,3.174,6.863,19.814111182,26.4310685341
2009-11-09,FLIR,0.285553,0.060035,0.056918,0.40332,0.237,0.21,0.4,18.721,3.871,3.902,7.448,26.6700142162,24.354079143
2010-02-26,FLIR,0.31156,0.060254,0.018727,0.422047,0.234,0.193,0.4,17.803,3.573,3.405,7.874,24.6389759179,26.7067750904
2010-05-07,FLIR,0.287298,0.055895,0.039773,0.46182,0.221,0.195,0.37,18.811,3.752,3.479,8.199,26.1369815406,27.6717480376
2010-08-06,FLIR,0.331133,0.059454,-0.177299,0.284521,0.188,0.18,0.38,19.969,3.871,3.558,8.561,27.3500903885,26.3207859115
2010-11-09,FLIR,0.332497,0.062955,0.095382,0.379903,0.203,0.189,0.4,18.847,3.561,3.122,9.102,26.0542695737,29.7397700379
2011-03-01,FLIR,0.434373,0.069822,-0.186766,0.193137,0.22,0.161,0.44,20.308,3.637,3.31,9.545,29.0860475386,32.0416098241
2011-05-10,FLIR,0.373465,0.051315,0.057092,0.250229,0.207,0.137,0.32,23.295,3.856,3.54,10.055,32.7137470417,22.7980372546
2011-08-08,FLIR,0.389951,0.029309,-0.014607,0.235622,0.193,0.075,0.18,17.006,2.372,2.243,10.126,20.9535358586,25.1526825957
2011-11-08,FLIR,0.371327,0.064719,0.138877,0.374499,0.358,0.174,0.41,20.017,2.745,2.783,9.755,25.5318222966,24.6304623225
2012-02-29,FLIR,0.405212,0.076131,0.066347,0.440846,0.36,0.188,0.49,18.202,2.611,2.553,10.25,24.3237433577,20.0296778509
2012-05-10,FLIR,0.348452,0.048139,0.00732,0.448166,0.341,0.138,0.31,15.223,2.194,2.058,10.453,20.0296778509,19.3891162226
2012-08-06,FLIR,0.338291,0.041093,-0.018395,0.429771,0.352,0.121,0.27,13.695,2.153,2.014,10.216,19.4543994422,18.0881059588
2012-11-05,FLIR,0.33223,0.055905,-0.005282,0.424489,0.339,0.168,0.37,13.12,2.038,1.812,10.621,18.1068210193,24.8120299295
2013-03-01,FLIR,0.386385,0.077261,-0.10275,0.321739,0.361,0.2,0.52,17.085,2.704,2.375,11.036,24.6989481372,23.2854257333
2013-05-08,FLIR,0.348583,0.051636,-0.075732,0.246007,0.363,0.148,0.36,15.52,2.494,2.3,10.542,23.2854257333,31.0971727995
2013-08-08,FLIR,0.389329,0.050158,0.246426,0.492433,0.468,0.129,0.35,19.743,3.185,2.979,10.959,30.8796439144,26.7644705605
2013-11-08,FLIR,0.358141,0.046486,-0.000234,0.492199,0.448,0.13,0.33,18.252,2.777,2.562,11.324,27.5611450918,32.5830199028
2014-03-03,FLIR,0.400319,0.028735,0.050277,0.542476,0.452,0.072,0.2,27.234,3.222,2.988,11.452,32.6593714432,32.5925638453
2014-05-12,FLIR,0.351542,0.029894,0.041619,0.584095,0.441,0.085,0.21,31.476,3.26,2.973,11.665,32.9361457775,32.0200129644
2014-08-08,FLIR,0.36938,0.044758,0.017978,0.602073,0.454,0.121,0.32,31.897,3.231,2.894,11.667,32.2880429683,32.9507424451
2014-11-07,FLIR,0.375366,0.052857,-0.0367,0.565373,0.452,0.141,0.37,30.461,3.18,2.935,11.466,32.4322867073,31.0981313356
2015-02-27,FLIR,0.434366,0.072752,-0.033999,0.531374,0.462,0.167,0.52,22.533,2.948,2.803,11.515,31.1947694069,30.2090610799
2015-05-06,FLIR,0.344517,0.04791,0.016406,0.54778,0.458,0.139,0.34,19.901,2.851,2.739,11.346,29.9578020946,29.8189988271
2015-08-06,FLIR,0.392975,0.0505,0.01241,0.56019,0.452,0.129,0.36,19.251,2.787,2.632,11.698,29.8189988271,26.8429421504
2015-11-09,FLIR,0.381928,0.073072,-0.034814,0.525376,0.449,0.191,0.52,15.107,2.375,2.271,11.64,25.9961923436,30.4208132488
2016-02-26,FLIR,0.437647,0.070204,-0.052591,0.472785,0.459,0.16,0.5,17.672,2.743,2.589,11.991,30.4502337645,29.891243966
2016-05-06,FLIR,0.379472,0.001125,0.037828,0.510613,0.447,0.003,0.01,21.453,2.626,2.507,12.131,29.7931755803,31.3812729896
2016-08-03,FLIR,0.402729,0.045368,0.392566,0.903179,0.696,0.113,0.33,22.86,2.708,2.633,11.951,31.1154134444,31.8007325594
2016-11-04,FLIR,0.405228,0.058633,-0.225491,0.677688,0.565,0.145,0.43,24.791,2.675,2.629,12.072,31.5634874299,36.2623120606
2017-02-24,FLIR,0.474738,0.0615,-0.316339,0.361349,0.561,0.13,0.46,30.047,3.012,2.983,12.309,36.5710546241,37.0690265008
2017-05-03,FLIR,0.406814,0.042571,0.036087,0.397436,0.53,0.105,0.31,24.311,2.994,2.942,12.611,36.9196349378,37.24
2017-07-28,FLIR,0.434124,0.051413,0.006155,0.403591,0.518,0.118,0.38,23.387,2.91,2.812,13.01,36.5,37.55
