datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-14,FLR,2.33843,0.034239,0.213653,0.311011,2.623,0.015,0.22,,,3.709,5.333,15.7372025702,17.4058511736
2001-11-14,FLR,1.975961,-0.054514,0.100142,0.411153,2.823,-0.028,-0.35,,,4.138,4.844,16.1611137573,17.7155765611
2002-03-21,FLR,2.634951,0.028493,0.161501,0.572654,2.917,0.011,0.18,174.781,0.378,4.298,4.997,17.4141929468,15.6141483464
2002-05-15,FLR,2.506609,0.04119,0.100635,0.673289,2.837,0.016,0.26,61.353,0.321,3.673,5.211,15.5357060358,12.3982332762
2002-08-14,FLR,2.536113,0.042975,0.162975,0.836264,2.729,0.017,0.27,41.895,0.252,2.834,5.409,12.5226302656,10.4353354101
2002-11-14,FLR,2.451215,0.031249,-0.002964,0.8333,2.581,0.013,0.2,13.544,0.192,2.243,5.468,10.1183547982,14.4515297242
2003-03-31,FLR,2.465019,0.048201,-0.079933,0.753367,2.555,0.02,0.3,16.712,0.275,3.094,5.57,14.2068745217,14.4557479174
2003-05-15,FLR,2.076959,0.016912,-0.223237,0.53013,2.464,0.008,0.11,20.33,0.297,3.126,5.717,14.6582211885,14.4716467926
2003-08-14,FLR,2.2434,0.044994,0.05352,0.58365,2.344,0.02,0.28,20.071,0.307,2.922,6.098,14.7259070583,15.5134325402
2003-11-14,FLR,2.120815,0.044124,-0.004876,0.578774,2.239,0.021,0.28,19.028,0.33,2.891,6.349,15.2240187095,16.4572979234
2004-03-15,FLR,2.364529,0.05142,-0.082272,0.496502,2.189,0.022,0.32,20.091,0.359,2.925,6.729,16.3500143646,15.9251714716
2004-05-10,FLR,2.063254,0.046726,0.049744,0.546246,2.141,0.023,0.29,16.334,0.348,2.709,6.976,15.8093052281,17.9486932236
2004-08-09,FLR,2.21445,0.04479,0.048317,0.594563,2.068,0.02,0.27,18.617,0.397,2.975,7.204,17.9831602293,19.321566729
2004-11-09,FLR,2.36267,0.047262,-0.033014,0.561549,2.068,0.02,0.29,19.808,0.418,3.067,7.513,19.4426508535,26.3430732084
2005-03-04,FLR,2.739903,0.047917,0.042968,0.604517,1.972,0.017,0.29,28.252,0.562,3.949,8.111,26.7421449579,23.0677010681
2005-05-05,FLR,2.859767,0.047393,0.038533,0.64305,1.941,0.017,0.28,24.285,0.447,3.181,8.546,22.8545944783,27.8997594265
2005-08-08,FLR,2.919942,-0.016432,0.045935,0.688985,1.943,-0.006,-0.1,43.87,0.509,3.978,8.184,27.8212668242,29.3414057456
2005-11-03,FLR,3.418525,0.131189,0.358327,1.047312,1.75,0.038,0.77,26.957,0.474,3.687,9.017,28.515072012,37.8117828777
2006-03-01,FLR,3.962817,0.065123,-0.258296,0.789016,1.805,0.016,0.38,33.754,0.583,4.705,9.612,38.4733795422,41.0292403326
2006-05-08,FLR,3.624876,0.088854,-0.135032,0.653984,1.831,0.025,0.52,30.544,0.589,4.786,9.982,41.1829901625,39.8233146032
2006-08-07,FLR,3.45643,0.066552,-0.06915,0.584834,1.688,0.019,0.39,22.405,0.545,4.402,10.376,39.6119802637,34.7963086012
2006-11-06,FLR,3.364036,0.027338,0.310213,0.895047,1.673,0.008,0.16,27.685,0.476,3.757,10.575,34.3947278678,37.3357718484
2007-03-01,FLR,3.633164,0.080708,0.081003,0.97605,1.817,0.022,0.46,28.62,0.536,4.357,10.022,37.8798187548,43.7762665877
2007-05-07,FLR,3.641804,0.084616,0.132209,1.108259,1.866,0.023,0.48,33.593,0.618,4.948,10.117,43.7762665877,51.7655938609
2007-08-07,FLR,4.221538,0.095564,0.345696,1.453955,1.808,0.023,0.55,35.809,0.695,5.488,10.786,51.889955648,68.4241341409
2007-11-07,FLR,4.115226,0.093676,0.116639,1.570594,1.779,0.023,0.54,36.184,0.822,6.428,11.428,64.5407464732,63.4674686233
