datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-14,FLS,0.464579,0.002602,-0.001471,0.01715,7.282,0.006,0.02,-54.6,0.504,3.76,2.212,7.25700595695,6.96099650344
2001-11-02,FLS,0.469605,0.005833,0.007706,0.024856,6.247,0.012,,575.534,0.491,3.256,2.55,7.27610334105,8.80389406882
2002-03-12,FLS,0.539288,-0.001392,-0.003323,0.021533,3.992,-0.003,,-921.282,0.719,3.355,3.026,8.89938098931,10.1693570318
2002-05-15,FLS,0.44705,0.012737,-0.002895,0.018638,3.803,0.028,0.09,95.261,0.981,4.464,2.552,9.98793188285,5.01306332552
2002-08-14,FLS,0.592729,0.014346,0.062878,0.081516,2.643,0.024,0.09,30.383,0.468,1.259,4.594,5.07035547782,3.72398989896
2002-11-14,FLS,0.586711,0.009347,-0.048686,0.03283,2.544,0.016,0.05,20.892,0.338,0.97,4.552,3.87676897174,3.59985690233
2003-03-21,FLS,0.624841,0.016595,0.016463,0.049293,2.451,0.027,0.1,13.561,0.319,0.952,4.561,3.8099281274,4.96531986528
2003-05-12,FLS,0.564011,0.008241,-0.010777,0.038516,2.395,0.015,0.05,20.19,0.414,1.276,4.642,5.1849397824,5.46185185181
2003-08-14,FLS,0.614036,0.013227,0.017368,0.055884,2.235,0.022,0.08,21.919,0.435,1.285,4.887,5.50004662,6.28303936799
2003-11-10,FLS,0.565146,0.010599,-0.02591,0.029974,2.129,0.019,0.06,23.041,0.473,1.374,4.934,5.92973776219,6.44381987093
2004-04-27,FLS,0.661178,0.020821,0.023596,0.053522,2.412,0.031,0.13,23.14,0.509,1.491,5.043,6.59814620559,7.10422688417
2004-07-08,FLS,0.61135,0.010287,-0.013848,0.039674,2.348,0.017,0.06,23.434,0.525,1.542,5.045,6.80821743066,13.1294515668
2006-02-13,FLS,,,,0.063759,2.027,,,104.051,0.954,2.894,5.16,13.0912567987,15.7266958041
2006-06-30,FLS,,,,0.096492,2.096,,,271.709,1.193,3.866,4.906,16.6338215487,14.7431805231
2006-09-29,FLS,0.752859,0.033071,0.012463,0.060683,1.936,0.044,0.2,,,3.134,5.381,14.7909239833,16.1563869463
2006-11-09,FLS,0.770757,0.028183,-0.00951,0.052417,1.898,0.037,0.17,,,3.386,5.436,16.1372895622,15.1633229732
2007-03-01,FLS,0.88359,0.039886,0.018263,0.070457,1.811,0.045,0.24,25.415,0.955,2.865,6.004,15.0869334368,18.1043201242
2007-05-09,FLS,0.8034,0.033614,-0.029006,0.040463,1.922,0.042,0.2,27.184,1.141,3.615,5.92,18.8204720278,22.0861247084
2007-08-08,FLS,0.930677,0.063205,0.009961,0.050979,1.898,0.068,0.37,26.532,1.291,4.053,6.309,22.5349132347,23.2319677543
2007-11-01,FLS,0.919247,0.063055,0.023152,0.074837,1.807,0.069,0.37,21.565,1.218,3.692,6.806,22.1816116289,30.4889737112
2008-02-27,FLS,1.10937,0.0959,0.299468,0.373238,1.723,0.086,0.56,22.972,1.562,4.544,7.518,30.2120616418,32.9429875677
2008-04-28,FLS,0.993319,0.088065,-0.172662,0.199394,1.614,0.089,0.52,21.272,1.67,4.668,8.18,33.8405646203,37.7746257443
2008-07-30,FLS,1.157605,0.122864,-0.061171,0.137102,1.523,0.106,0.72,20.956,1.855,5.156,8.733,39.9899222996,12.9098316497
2008-10-28,FLS,1.153592,0.117049,0.016689,0.15395,1.656,0.101,0.69,6.843,0.657,2.057,8.312,15.2206151255,14.1798076922
2009-02-25,FLS,1.168957,0.114435,0.318361,0.472056,1.942,0.098,0.68,5.829,0.576,1.886,8.153,13.75011655,18.4194269618
2009-04-29,FLS,1.024726,0.092305,-0.270517,0.201539,1.684,0.09,0.55,8.138,0.807,2.572,8.409,19.441137011,21.9810890959
2009-07-29,FLS,1.090399,0.108218,0.049999,0.251538,1.5,0.099,0.65,9.346,0.91,2.553,9.426,21.7137257186,31.224222999
2009-10-28,FLS,1.051064,0.116944,0.039687,0.291225,1.335,0.111,0.7,12.857,1.281,3.227,10.269,29.9828930327,29.257192437
2010-02-24,FLS,1.199073,0.11042,0.363095,0.65432,1.362,0.092,0.66,12.592,1.234,3.0,10.744,29.2380950529,33.5732012429
2010-05-05,FLS,0.958906,0.08022,-0.185964,0.468356,1.232,0.084,0.48,14.451,1.398,3.301,10.824,32.5037477335,29.3526793574
2010-07-28,FLS,0.961096,0.091647,0.035146,0.503502,1.155,0.095,0.55,13.415,1.284,2.92,10.929,29.1235107483,35.1391867389
2010-10-27,FLS,0.971681,0.103919,-0.192889,0.310613,1.095,0.107,0.62,16.553,1.563,3.172,12.033,34.9291155138,38.4430341877
2011-02-23,FLS,1.140353,0.112504,0.246966,0.557579,1.116,0.099,0.67,17.605,1.695,3.25,12.579,37.507262367,41.3744826467
2011-04-27,FLS,0.997207,0.096982,-0.268721,0.288858,1.002,0.097,0.58,18.557,1.847,3.39,13.24,41.2789957262,32.9429875677
2011-07-27,FLS,1.125752,0.098732,-0.067546,0.221312,0.962,0.088,0.59,13.936,1.356,2.475,13.881,31.6921089094,26.917762885
2011-10-27,FLS,1.121813,0.107771,0.006573,0.227885,0.946,0.096,0.65,12.308,1.168,2.227,13.792,28.457048773,36.5046497019
2012-02-22,FLS,1.265429,0.125097,0.109471,0.337356,1.033,0.099,0.76,14.978,1.423,2.828,13.883,36.4855523178,35.9985690233
2012-04-30,FLS,1.07498,0.093125,-0.164662,0.172694,0.955,0.087,0.57,14.791,1.369,2.665,14.378,35.7025595698,36.1895428643
2012-07-30,FLS,1.182225,0.107316,0.002519,0.175213,1.312,0.091,0.66,13.664,1.275,2.979,12.958,36.0940559438,40.9256941204
2012-10-29,FLS,1.165923,0.106296,0.042207,0.21742,1.347,0.091,0.7,15.155,1.396,3.245,13.45,42.3484492356,49.4335787357
2013-02-21,FLS,1.328211,0.141602,0.086832,0.304252,1.543,0.107,0.93,16.728,1.578,3.968,13.093,48.8415598287,48.3450278421
2013-04-24,FLS,1.096596,0.097789,-0.134815,0.169437,1.616,0.089,0.68,16.438,1.56,4.178,12.465,49.0802771299,53.816428386
2013-07-24,FLS,1.239526,0.120386,-0.064725,0.104712,1.699,0.097,0.85,16.91,1.632,4.592,12.205,52.9665947937,60.3477337473
2013-10-24,FLS,1.229057,0.126271,0.009039,0.113751,1.599,0.103,0.9,18.218,1.81,4.907,12.94,60.1281138301,72.5223161092
2014-02-18,FLS,1.38944,0.141084,0.250053,0.363804,1.689,0.102,1.0,21.616,2.118,5.611,13.594,72.3695370365,74.8343100071
2014-04-23,FLS,1.068136,0.107734,-0.199388,0.164416,1.561,0.101,0.78,21.655,2.178,5.783,13.511,74.2828692778,69.50385381
2014-07-23,FLS,1.224378,0.123513,-0.020847,0.143569,1.526,0.101,0.9,19.81,2.011,5.113,14.121,68.7892836885,61.3694437965
2014-10-23,FLS,1.204012,0.128562,0.0193,0.162869,1.499,0.107,0.94,18.059,1.851,4.724,14.048,63.3651204346,56.78378792
2015-02-17,FLS,1.381359,0.159015,0.287481,0.45035,1.567,0.115,1.17,15.47,1.645,4.155,14.338,57.0422877132,56.5396458834
2015-04-30,FLS,1.01462,0.027666,-0.116574,0.333776,1.991,0.027,0.21,17.936,1.631,4.492,13.03,56.2131046977,45.2137880012
2015-07-30,FLS,1.162247,0.075008,-0.018472,0.315304,1.995,0.065,0.56,16.079,1.318,3.548,13.261,45.3390606448,43.2644582258
2015-10-29,FLS,1.096476,0.093623,-0.077462,0.237842,2.046,0.085,0.71,16.574,1.265,3.488,12.901,43.5548237172,41.9892026947
2016-02-18,FLS,1.287687,0.071372,0.128602,0.366444,2.052,0.055,0.53,20.968,1.231,3.368,12.812,41.9503148015,46.6992280109
2016-04-28,FLS,0.947248,0.037859,-0.056126,0.310318,1.881,0.04,0.29,21.99,1.36,3.547,13.214,45.7523582121,48.4560812219
2016-07-28,FLS,1.026232,0.062997,-0.044305,0.266013,1.817,0.061,0.48,24.227,1.478,3.693,13.376,48.4070861954,43.0530591744
2016-10-27,FLS,0.943334,-0.020928,-0.005143,0.26087,1.853,-0.022,-0.16,37.515,1.35,3.35,12.989,42.8070979131,50.7701278957
