datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-10,FRT,0.073398,0.022167,0.020332,0.031475,2.664,0.275,0.51,16.056,3.181,1.924,12.145,12.3305566868,12.2695377676
2001-11-02,FRT,0.075524,0.015182,-0.016839,0.014636,2.862,0.175,0.34,15.552,3.049,1.925,11.807,12.3636208267,14.6704479697
2002-03-22,FRT,0.079877,0.017174,0.002927,0.017563,2.103,0.177,0.35,17.43,3.464,1.757,15.007,14.8833968026,15.6258400305
2002-05-02,FRT,0.076318,-0.001331,-0.000238,0.017325,2.215,-0.081,-0.15,26.736,3.618,1.892,14.693,15.5855524135,15.4223079238
2002-08-12,FRT,0.075828,0.035335,0.001398,0.018723,1.981,0.402,0.75,22.797,3.824,1.801,16.007,15.9318942471,15.5974157341
2002-10-30,FRT,0.077251,0.018504,0.005929,0.024652,2.1,0.177,0.32,21.937,3.691,1.766,15.706,15.7167076326,18.7159010605
2003-03-26,FRT,0.089437,0.002779,-0.001529,0.023123,2.103,-0.023,-0.06,38.345,4.313,2.134,14.973,18.789876954,19.4125073912
2003-05-07,FRT,0.085306,0.016376,-0.00501,0.018113,2.082,0.135,0.26,26.615,4.349,2.121,15.182,19.3015435509,21.4013803563
2003-07-30,FRT,0.086409,0.018126,0.000496,0.018609,2.022,0.158,0.29,46.506,5.047,2.518,14.385,21.7957316176,24.0766917423
2003-11-03,FRT,0.087229,0.024595,0.015047,0.033656,1.963,0.249,0.44,42.383,5.451,2.793,13.894,24.4954168161,28.3930420007
2004-03-15,FRT,0.098932,0.0354,0.001312,0.034968,2.057,0.294,0.61,28.695,6.093,3.154,14.592,28.4572796523,29.5303413413
2004-03-26,FRT,0.098932,0.0354,0.001312,0.034968,2.057,0.294,0.61,29.213,6.203,3.211,14.592,29.2900460632,24.2828120244
2004-05-05,FRT,0.096173,0.017246,-0.007028,0.02794,2.247,0.149,0.29,23.708,5.069,2.734,13.906,23.5424427891,26.6598360685
2004-07-28,FRT,0.099112,0.026332,0.017163,0.045103,1.842,0.237,0.46,24.053,5.592,2.7,15.414,27.0605876703,32.1309771718
2004-11-04,FRT,0.099105,0.01866,-0.021666,0.023437,1.844,0.159,0.31,30.963,6.513,3.244,15.261,32.669262415,34.756444542
2005-03-07,FRT,0.099884,0.021918,0.007038,0.030475,1.844,0.191,0.36,37.509,6.914,3.449,15.242,34.8772198319,36.225773235
2005-05-05,FRT,0.103507,0.023997,-0.00283,0.027645,1.882,0.204,0.4,35.959,7.112,3.567,15.345,36.8696363702,44.107768212
2005-07-28,FRT,0.101135,0.024807,-0.01402,0.013625,1.929,0.217,0.42,44.452,8.58,4.454,14.818,44.9628350585,41.8697313243
2005-10-31,FRT,0.100386,0.03068,0.002948,0.016573,1.936,0.277,0.53,35.572,7.9,4.112,14.772,41.8835428801,48.6512873886
2006-03-03,FRT,0.105302,0.035128,-0.007934,0.008639,2.009,0.306,0.61,35.831,9.006,4.769,14.674,48.7281787911,46.7030292535
2006-05-03,FRT,0.108905,0.031031,-0.003847,0.004792,2.025,0.259,0.53,31.721,8.406,4.54,14.51,46.4071729596,51.0996659939
2006-08-02,FRT,0.10822,0.038256,0.00925,0.014042,1.996,0.327,0.67,30.913,9.038,4.916,14.646,51.1351765332,56.0698842848
2006-11-06,FRT,0.113405,0.024984,0.052382,0.066424,1.835,0.195,0.42,36.631,9.911,4.672,16.723,55.9195820675,65.2081738461
2007-03-01,FRT,0.120492,0.024441,-0.054929,0.011495,2.401,0.148,0.32,48.198,11.062,6.363,14.664,64.8622801181,65.4947228302
2007-05-02,FRT,0.122501,0.023136,0.004492,0.015987,2.334,0.189,0.42,51.82,10.981,5.885,15.384,65.6470024117,54.8911349877
2007-08-01,FRT,0.121847,0.026718,-0.004269,0.011718,2.31,0.218,0.47,47.494,8.903,4.923,15.338,55.1541215275,64.6549417877
2007-10-31,FRT,0.129338,0.023515,-0.001437,0.010281,2.359,0.181,0.42,54.95,10.109,5.796,15.221,64.89031814,55.5958364162
2008-02-27,FRT,0.112206,0.122168,0.04041,0.050691,1.653,1.088,2.17,22.328,8.965,3.908,19.866,54.9436858424,62.8442183145
2008-05-07,FRT,0.127223,0.029986,-0.023037,0.027654,1.649,0.235,0.51,23.9,9.833,4.336,18.924,61.3198163483,55.327182507
2008-07-30,FRT,0.129694,0.028974,-0.007373,0.020281,1.695,0.222,0.49,20.863,8.543,3.832,18.862,54.4681115718,42.3889168254
2008-10-29,FRT,0.131767,0.037102,0.02871,0.048991,1.758,0.281,0.63,14.223,6.181,2.773,18.935,39.8534765998,33.7905186772
2009-02-26,FRT,0.131841,0.033725,-0.033768,0.015223,1.746,0.255,0.57,19.289,4.789,2.237,18.999,32.3860978465,43.4324527198
2009-05-06,FRT,0.131201,0.010484,0.007237,0.02246,1.756,0.079,0.17,30.925,6.471,3.026,18.977,44.7014059002,45.2134545558
2009-08-04,FRT,0.130338,0.028417,0.147599,0.170059,1.902,0.217,0.48,32.258,6.707,3.16,18.837,46.948793007,49.0690856003
2009-11-04,FRT,0.130992,0.027433,0.238369,0.408428,1.866,0.208,0.45,37.308,7.08,3.058,19.845,48.3597874651,53.2834578692
2010-02-17,FRT,0.138488,0.03197,-0.273039,0.135389,1.665,0.23,0.53,42.064,7.744,3.401,20.251,54.0156829773,64.5750172463
2010-05-04,FRT,0.13847,0.02922,-0.112795,0.022594,1.579,0.21,0.47,41.057,8.886,3.984,19.568,63.3082035277,66.3462882263
2010-08-04,FRT,0.133835,0.031114,0.000963,0.023557,1.598,0.231,0.5,42.015,9.244,4.193,19.447,66.821595133,68.5663671362
2010-11-03,FRT,0.134064,0.02964,-0.014383,0.009174,1.635,0.22,0.48,41.782,9.31,4.274,19.292,68.1202189467,68.4283556824
