datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2002-03-08,GE,33.975,3.933,0.248,9.082,7.934,0.116,0.39,29.479,3.204,7.358,5.518,24.5560766134,18.5380233547
2002-05-13,GE,30.521,2.503,0.36,9.442,7.981,0.082,0.35,22.519,2.434,5.557,5.552,18.6589892493,19.2292306778
2002-07-31,GE,33.214,4.426,0.769,10.211,8.12,0.133,0.45,22.652,2.519,5.455,5.903,19.5943426527,16.0801398943
2002-10-29,GE,32.585,4.087,0.915,11.126,7.836,0.125,0.41,17.208,1.974,4.132,6.256,15.8351091912,14.9042645201
2003-03-07,GE,35.378,3.102,-1.567,8.91,7.944,0.088,0.31,17.2,1.844,3.812,6.375,15.1220721436,18.1091481226
2003-05-02,GE,30.319,2.999,0.589,9.499,7.712,0.099,0.32,19.888,2.21,4.38,6.64,18.0967019726,17.8137836929
2003-08-01,GE,33.51,3.794,-2.348,6.535,7.468,0.113,0.38,20.393,2.164,3.962,7.183,17.8263109669,18.2025167998
2003-10-31,GE,33.394,3.649,1.183,8.321,7.57,0.109,0.4,21.507,2.197,4.019,7.219,18.2844533367,20.7559974678
2004-03-01,GE,36.964,4.56,4.33,12.664,7.104,0.123,0.46,22.029,2.463,4.174,7.856,20.92832586,19.3390751314
2004-05-04,GE,33.35,3.24,0.707,13.371,6.583,0.097,0.32,20.394,2.266,3.594,8.469,19.4284305941,21.3238127004
2004-07-30,GE,37.035,3.924,-3.106,10.265,5.922,0.106,0.38,22.836,2.494,3.572,9.309,21.3494963049,21.2511846617
2004-10-26,GE,38.272,4.051,-0.19,10.075,5.763,0.106,0.38,22.538,2.442,3.493,9.627,21.7227155068,23.0141552881
2005-03-01,GE,43.706,5.378,5.253,15.328,5.655,0.123,0.52,22.499,2.45,3.385,10.404,23.0272315127,23.4391325875
2005-05-06,GE,39.726,3.965,-2.429,12.899,5.5,0.1,0.37,21.955,2.395,3.369,10.642,23.4391325875,22.9496871618
2005-07-29,GE,41.556,4.647,-0.005,12.894,5.435,0.112,0.44,20.272,2.24,3.254,10.601,22.6996619003,22.3396523954
2005-10-24,GE,41.927,4.677,-1.967,10.927,4.782,0.112,0.44,19.319,2.161,3.192,10.693,22.6045756375,22.0750745727
2006-03-03,GE,26.493,3.064,0.874,9.011,5.084,0.116,0.48,21.072,2.302,3.151,10.491,22.2161937709,22.8277102963
2006-04-26,GE,37.821,4.305,0.32,8.503,5.202,0.114,0.41,21.26,2.401,3.302,10.337,22.9352296854,21.8348723274
2006-07-24,GE,39.9,4.852,-0.869,11.099,5.014,0.122,0.47,19.928,2.304,3.096,10.537,22.0853809401,24.0051684813
2006-10-31,GE,40.856,4.964,2.716,13.782,5.049,0.121,0.48,21.06,2.495,3.249,10.807,23.9437916301,26.1067835126
2007-01-19,GE,40.693,4.867,2.716,13.782,5.05,0.12,0.47,22.164,2.626,3.42,10.805,25.3854118629,24.4713483963
2007-02-27,GE,44.621,6.576,0.307,14.275,5.14,0.147,0.63,17.111,2.181,3.173,10.922,24.0004792138,24.8175757364
2007-04-27,GE,40.195,4.508,4.985,19.26,5.186,0.112,0.44,18.135,2.289,3.32,11.097,25.5100304165,27.5702686963
2007-07-27,GE,42.316,5.42,-3.41,15.85,5.25,0.128,0.53,18.514,2.366,3.396,11.421,27.0541543823,28.3262293025
2007-11-02,GE,42.534,5.539,4.137,19.848,5.684,0.13,0.54,18.49,2.402,3.612,11.165,28.319207431,24.2753016828
2008-02-20,GE,47.693,6.741,-3.957,15.747,5.813,0.141,0.67,15.45,1.986,2.969,11.572,24.3319534954,23.4481162754
2008-04-25,GE,42.273,4.304,-0.444,15.291,6.118,0.102,0.43,15.098,1.9,2.864,11.638,23.8197414038,20.7458911104
2008-07-25,GE,46.891,5.072,3.741,18.989,6.08,0.108,0.51,13.188,1.592,2.413,11.9,20.7458911104,14.0474445024
2008-10-30,GE,47.234,4.312,-2.85,16.301,6.305,0.091,0.43,9.43,1.046,1.715,11.283,14.1571901626,8.06119455004
2009-02-18,GE,46.117,3.722,31.889,48.187,6.537,0.079,0.35,6.616,0.628,1.096,9.911,8.09848037127,9.72400133585
2009-05-01,GE,38.411,2.811,-1.355,46.83,6.448,0.071,0.26,8.523,0.752,1.33,9.539,9.75474916616,10.3865759792
2009-08-03,GE,39.082,2.671,5.488,52.316,5.866,0.066,0.24,10.97,0.853,1.3,10.551,10.6346136145,11.1195227251
2009-11-02,GE,37.799,2.494,9.058,61.374,5.633,0.064,0.23,13.517,0.955,1.311,11.038,11.2832744623,12.7456446237
2010-02-19,GE,41.491,3.049,10.886,72.26,5.599,0.072,0.28,16.087,1.1,1.471,10.993,12.6907065003,13.6707485903
2010-05-07,GE,36.605,1.945,-2.692,69.628,5.681,0.051,0.17,18.28,1.163,1.564,10.79,13.331151716,12.8109524259
2010-08-02,GE,37.444,3.109,4.214,73.848,5.523,0.081,0.29,17.038,1.144,1.54,10.657,13.0414224137,12.7615649506
2010-11-03,GE,35.888,2.055,4.543,78.392,5.524,0.055,0.18,17.358,1.13,1.481,10.844,12.8576369578,16.7170257414
2011-02-25,GE,40.274,4.535,0.575,78.958,5.272,0.111,0.42,19.488,1.472,1.859,11.201,16.9119764789,16.1646653185
2011-05-06,GE,38.448,3.433,3.238,82.173,4.874,0.087,0.32,16.538,1.396,1.718,11.648,16.2540177398,14.8303214363
2011-07-29,GE,35.625,3.764,8.89,91.053,4.753,0.104,0.35,14.077,1.264,1.482,12.082,14.6665409676,13.5470128518
2011-11-08,GE,35.367,3.224,0.287,91.368,4.909,0.066,0.22,12.562,1.162,1.398,11.789,13.621401574,16.2526696558
2012-02-24,GE,37.86,3.73,-6.878,84.501,5.145,0.099,0.35,15.517,1.382,1.748,11.004,16.1937526762,16.5051709969
2012-05-04,GE,35.182,3.034,-0.852,83.65,4.89,0.086,0.29,16.002,1.422,1.708,11.322,16.2779197899,17.7610279402
2012-07-30,GE,36.501,3.105,-9.362,74.295,4.747,0.085,0.29,17.984,1.516,1.828,11.376,17.6591482389,18.4687807297
2012-11-07,GE,36.349,3.491,11.164,85.461,4.658,0.096,0.33,16.585,1.519,1.808,11.687,18.0752819277,19.8493558217
2013-02-26,GE,39.327,4.011,-8.113,77.356,4.526,0.102,0.38,17.571,1.627,1.948,11.831,20.0582048089,19.736229287
2013-05-08,GE,35.01,3.527,12.425,89.781,4.378,0.101,0.34,16.834,1.616,1.923,11.964,20.0233966443,21.6609186734
2013-07-26,GE,35.123,3.133,-1.078,88.711,4.34,0.089,0.31,17.726,1.722,2.049,12.03,21.6258260551,23.1111648847
2013-11-01,GE,35.725,3.191,-2.198,86.5,4.339,0.089,0.31,19.371,1.849,2.189,12.127,23.464816987,22.7461024202
