datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2010-04-07,GM,32.327,-3.439,-2.299,36.596,5.052,-0.109,-2.84,,,,17.15,29.5958956881,29.5958956881
2010-05-17,GM,31.476,1.068,0.651,36.051,4.765,0.027,0.58,,,,14.826,29.5958956881,29.5958956881
2010-08-16,GM,33.174,1.536,3.052,26.773,4.388,0.04,0.89,,,,15.343,29.5958956881,29.5958956881
2010-11-10,GM,34.06,2.162,0.693,27.466,4.683,0.058,1.31,,,,15.165,29.5958956881,29.0245797725
2011-03-01,GM,36.882,1.406,-5.819,22.151,2.812,0.014,0.34,11.017,0.379,1.421,24.12,28.522514271,27.7174782081
2011-05-06,GM,36.194,3.366,-0.281,22.176,2.795,0.087,2.09,7.162,0.355,1.304,25.398,27.6222588888,22.497728252
2011-08-05,GM,39.373,2.992,0.612,21.596,2.636,0.064,1.68,5.045,0.28,0.999,27.321,22.774729908,21.6753795856
2011-11-09,GM,36.719,2.107,-0.219,21.421,2.299,0.047,1.1,4.412,0.234,0.78,28.645,19.3122092074,22.566978666
2012-02-27,GM,37.99,0.725,0.265,16.614,2.771,0.012,0.27,5.462,0.276,1.087,24.249,22.9045744343,19.848899916
2012-05-03,GM,37.759,1.315,1.307,17.378,2.803,0.027,0.64,6.117,0.231,0.892,24.972,19.3641470179,16.5681615522
2012-08-03,GM,37.614,1.846,4.806,22.184,2.712,0.04,0.95,6.693,0.209,0.771,25.94,17.3472287099,20.1518704773
2012-10-31,GM,37.576,1.833,1.136,23.32,2.708,0.039,0.94,8.996,0.265,0.959,26.534,22.0735694661,24.0212373602
2013-02-15,GM,39.307,1.194,-4.898,18.422,3.102,0.023,0.57,7.807,0.249,1.047,23.323,24.029893662,26.1247186858
2013-05-02,GM,36.884,1.175,2.221,20.643,3.071,0.023,0.63,9.075,0.283,1.14,27.396,26.9730362575,27.7694160186
2013-05-09,GM,36.884,1.175,2.221,20.643,3.071,0.023,0.63,9.218,0.287,1.158,27.396,27.3971950433,32.1495047048
2013-07-25,GM,39.075,1.414,-0.946,19.697,3.234,0.031,0.87,11.578,0.336,1.337,27.888,32.0975668943,31.2146241157
2013-10-30,GM,38.983,1.717,0.658,20.355,3.567,0.018,0.5,14.148,0.335,1.406,26.535,32.2274114206,30.504807372
2014-02-06,GM,40.485,1.04,-0.334,20.021,2.891,0.023,0.64,14.856,0.36,1.315,29.629,30.4961510703,30.0309961003
2014-04-24,GM,37.408,0.213,-0.595,19.426,3.097,0.003,0.08,18.665,0.351,1.298,26.605,29.8388815571,32.9363433104
2014-07-24,GM,39.649,0.278,0.438,19.864,3.251,0.005,0.12,29.777,0.366,1.366,26.116,31.4660494497,27.8145977377
2014-10-23,GM,39.255,1.471,-1.804,18.06,3.101,0.035,0.86,19.026,0.317,1.156,26.676,27.4770203778,30.4636329353
2015-02-04,GM,39.617,1.987,0.894,18.954,3.995,0.028,0.69,20.578,0.37,1.627,22.009,32.1221885836,33.5799397565
2015-04-23,GM,35.712,0.945,-3.178,15.776,3.939,0.026,0.58,15.93,0.374,1.589,22.467,32.4594035537,27.6625563424
2015-07-23,GM,38.18,1.117,1.851,17.627,4.272,0.029,0.7,10.964,0.327,1.42,22.021,28.7581031282,30.9325443887
2015-10-21,GM,38.843,1.359,-2.194,15.433,4.442,0.035,0.86,12.178,0.362,1.591,21.964,32.7249319668,27.674608708
2016-02-03,GM,39.621,6.266,-0.195,15.238,3.867,0.158,3.97,4.611,0.293,1.12,25.674,26.9932439742,30.4192302813
2016-04-21,GM,37.265,1.953,-0.344,14.894,3.965,0.052,1.26,4.702,0.327,1.229,26.476,30.8633756132,30.1401498192
2016-07-21,GM,42.372,2.866,4.029,20.518,3.815,0.068,1.85,4.02,0.316,1.147,28.185,30.657002182,31.9424220457
2016-10-25,GM,42.825,2.773,-2.991,17.576,3.859,0.065,1.79,3.476,0.297,1.077,28.852,30.605837982,36.0592513158
2017-02-07,GM,43.918,1.835,-2.866,12.96,4.052,0.042,1.22,5.577,0.316,1.199,28.916,34.3654553675,34.1619700461
2017-04-28,GM,41.2,2.608,0.386,12.864,4.015,0.063,1.73,5.185,0.307,1.137,30.546,34.260875576,35.82
2017-07-25,GM,36.984,1.66,3.999,16.598,4.274,0.045,1.11,5.84,0.314,1.139,30.408,35.57,35.27
