datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-29,GPN,0.102699,0.000766,0.005553,0.006103,0.549,0.007,-0.01,51.99,3.484,4.54,1.856,8.13850221342,7.4236664107
2001-10-12,GPN,0.110955,0.012874,-0.005446,0.000657,0.543,0.116,0.09,,,3.844,1.946,7.22805255928,8.17338181473
2002-01-14,GPN,0.115617,0.011642,0.026211,0.026868,0.589,0.101,0.08,,,4.29,2.007,8.33056223424,9.30178221656
2002-04-05,GPN,0.115283,0.010275,-0.009398,0.01747,0.427,0.089,0.07,38.526,3.081,4.51,2.068,9.03062146481,8.60693279018
2002-05-10,GPN,0.115283,0.010275,-0.009398,0.01747,0.427,0.089,0.07,36.512,2.92,4.274,2.068,8.55851122737,6.66366486271
2002-08-28,GPN,0.120971,-0.010951,0.001724,0.019194,0.371,-0.091,-0.08,40.354,2.079,3.247,2.01,6.33594363995,6.28010965385
2002-10-11,GPN,0.127728,0.014613,-0.001854,0.01734,0.301,0.114,0.1,38.545,2.056,3.172,2.105,6.48402508134,7.62130653235
2003-01-13,GPN,0.129461,0.013582,0.01764,0.03498,0.275,0.105,0.09,42.141,2.35,3.575,2.192,7.62130653235,7.41065355034
2003-04-04,GPN,0.124573,0.012098,-0.005612,0.029368,0.236,0.097,0.08,38.865,2.268,3.373,2.281,7.49342694742,9.05114853526
2003-08-26,GPN,0.134322,0.013007,0.008642,0.03801,0.258,0.097,0.09,25.617,2.646,3.726,2.464,8.9632969992,9.55141422675
2003-10-10,GPN,0.136464,0.015825,0.05811,0.09612,0.262,0.116,0.11,26.978,2.802,3.857,2.552,9.60754159701,11.9417151276
2004-01-14,GPN,0.148447,0.014872,-0.016367,0.079753,0.681,0.1,0.1,33.979,3.487,4.626,2.719,12.2885597887,11.0208518304
2004-04-01,GPN,0.16256,0.016503,0.006137,0.08589,0.914,0.102,0.11,29.113,3.013,4.092,2.829,11.3191091337,10.4406256441
2004-08-10,GPN,0.181849,0.015243,-0.051418,0.034472,0.802,0.084,0.1,26.085,2.588,3.624,2.937,10.4186041698,12.9681727132
2004-10-04,GPN,0.192591,0.024198,-0.011153,0.023319,0.705,0.126,0.16,28.821,2.978,4.213,3.149,12.9975623397,14.2641140481
2004-12-28,GPN,0.188549,0.023578,0.007948,0.031267,0.614,0.125,0.15,28.895,3.167,4.368,3.396,14.5435142202,15.8165148505
2005-04-01,GPN,0.195526,0.021623,0.026935,0.058202,0.467,0.111,0.14,29.793,3.325,4.541,3.565,15.8802812307,16.6142335946
2005-08-15,GPN,0.207665,0.023497,-0.009223,0.048979,0.448,0.113,0.15,28.265,3.348,4.54,3.696,16.4817123813,19.3989165393
2005-10-07,GPN,0.224456,0.030738,-0.013525,0.035454,0.334,0.137,0.2,31.508,3.839,5.059,3.955,19.649383563,22.9011715148
2006-01-03,GPN,0.219673,0.030613,0.096242,0.131696,0.317,0.139,0.2,35.284,4.434,5.646,4.199,23.2991536845,24.0312523887
2006-04-07,GPN,0.225159,0.030111,0.081447,0.213143,0.351,0.134,0.19,33.481,4.389,5.365,4.506,23.7658223152,20.2993183169
2006-08-04,GPN,0.238768,0.034062,0.005332,0.218475,0.306,0.143,0.22,25.858,3.574,4.214,4.82,19.9747652624,21.2053136994
2006-10-06,GPN,0.260308,0.041509,-0.049897,0.168578,0.262,0.159,0.26,24.802,3.581,4.118,5.119,20.7428312196,20.2254075307
2007-01-08,GPN,0.260697,0.034002,0.080669,0.249247,0.276,0.13,0.21,23.64,3.353,3.812,5.378,20.1811075386,18.3691653383
2007-04-06,GPN,0.260418,0.034296,0.042812,0.292059,0.266,0.132,0.22,20.925,2.951,3.335,5.592,18.3543912107,18.0042184667
2007-07-30,GPN,0.2801,0.033178,0.016813,0.308872,0.238,0.118,0.2,20.606,2.776,3.076,5.916,17.9352367867,21.6870676315
2007-10-04,GPN,0.31098,0.043575,-0.038328,0.270544,0.241,0.14,0.27,23.876,3.114,3.67,5.979,21.6377676369,18.116059452
2008-01-08,GPN,0.308776,0.038313,0.092853,0.363397,0.282,0.124,0.24,19.535,2.515,2.907,6.314,18.1061950036,21.3672196995
2008-04-02,GPN,0.310641,0.040055,0.02507,0.388467,0.238,0.129,0.26,21.887,2.805,3.209,6.651,21.0612687477,22.1665939836
2008-07-30,GPN,0.343832,0.040811,0.067593,0.45606,0.27,0.119,0.26,22.201,2.836,3.207,7.073,22.3936904922,21.9682705812
2008-10-08,GPN,0.405757,0.057527,-0.168339,0.287721,0.471,0.142,0.36,19.778,2.553,3.102,7.024,21.5237687035,17.270878485
2009-01-08,GPN,0.401063,0.048907,0.068513,0.356234,0.48,0.122,0.3,15.108,1.937,2.653,6.639,17.4092431767,15.822154026
2009-04-06,GPN,0.392663,-0.106776,0.031359,0.387593,0.542,-0.272,-0.67,63.351,1.661,2.802,5.691,15.7677653715,20.9230587082
2009-07-28,GPN,0.402041,0.037559,0.039342,0.426935,0.572,0.093,0.23,92.205,2.143,3.278,6.5,21.0813793227,23.625600986
2009-10-06,GPN,0.44131,0.057831,0.645414,1.072349,1.81,0.131,0.36,105.486,2.418,4.765,5.125,24.175033567,25.7686890712
2010-01-08,GPN,0.408951,0.062835,0.055849,1.090847,1.589,0.154,0.39,77.579,2.426,4.283,5.717,24.2485146775,22.5650106015
2010-04-01,GPN,0.398535,0.048461,-0.486422,0.58962,0.99,0.122,0.3,18.02,2.256,3.94,5.791,22.6095956938,19.7901497628
2010-07-28,GPN,0.393672,0.03419,0.12817,0.769946,1.237,0.087,0.21,14.249,1.764,3.364,5.433,18.1149505092,20.9958816427
2010-10-12,GPN,0.440138,0.049368,-0.191733,0.578213,0.945,0.112,0.31,15.906,1.888,3.362,5.785,19.2900282452,23.5511983397
2011-01-10,GPN,0.443526,0.053505,0.085447,0.66366,0.954,0.121,0.34,20.528,2.273,3.853,6.196,23.6851529121,24.2805207858
2011-04-01,GPN,0.456382,0.047789,0.665405,1.329065,1.538,0.105,0.3,21.887,2.334,3.691,6.847,25.0845772795,23.9471802305
2011-07-25,GPN,0.519756,0.058576,0.02522,1.354285,1.586,0.113,0.36,18.564,2.089,3.279,7.372,24.0067626818,21.3399475133
2011-10-11,GPN,0.542771,0.063974,-0.630333,0.723952,1.091,0.118,0.4,15.282,1.743,2.955,7.391,21.6976002649,23.8490232546
2012-01-06,GPN,0.530505,0.061181,0.046908,0.77086,1.03,0.115,0.39,15.691,1.773,3.169,7.315,23.0389814145,23.6147256522
2012-04-02,GPN,0.533539,0.05792,-0.035127,0.735733,0.901,0.109,0.37,14.87,1.69,2.921,7.828,22.7397379228,21.1438238002
2012-07-27,GPN,0.597032,0.005086,0.045542,0.781275,1.06,0.009,0.03,18.532,1.582,2.975,7.451,22.0490639629,21.7960280981
2012-09-28,GPN,0.597032,0.005086,0.045542,0.781275,1.06,0.009,0.03,17.487,1.493,2.807,7.451,20.8157044599,20.7957994114
