datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-07-02,GS,3.99,0.577,-1.178,22.751,15.487,0.145,1.12,,,2.28,35.064,71.2215772542,65.699170899
2001-10-10,GS,3.661,0.468,1.025,27.385,15.819,0.128,0.92,,,2.151,35.343,68.0428600443,67.1858423277
2002-02-22,GS,3.427,0.497,2.278,29.043,16.126,0.145,0.99,16.245,2.373,2.058,36.324,66.7884930652,73.0953558281
2002-04-04,GS,3.598,0.524,0.068,27.151,15.787,0.146,1.05,19.854,2.795,2.218,36.975,73.1714439847,60.0605488824
2002-07-10,GS,3.851,0.563,-0.675,24.353,16.353,0.146,1.13,16.791,2.37,1.827,37.959,60.6026268867,51.8237927076
2002-10-11,GS,3.649,0.522,-2.613,25.491,17.548,0.143,1.05,14.555,2.11,1.627,38.076,54.4709805473,56.5968704194
2003-02-27,GS,2.888,0.505,1.133,25.211,17.711,0.175,1.03,15.112,2.284,1.681,38.718,57.6269879466,61.2196292398
2003-04-10,GS,4.187,0.662,-0.234,27.827,18.062,0.158,1.35,15.086,2.331,1.741,39.881,61.5942174315,73.7997412235
2003-07-11,GS,3.985,0.695,2.62,33.945,19.192,0.174,1.43,17.364,2.814,2.065,41.256,74.4563073788,74.3980502232
2003-10-10,GS,3.793,0.677,-0.567,36.023,18.285,0.178,1.39,16.212,2.771,2.014,41.838,74.3467412231,91.7108256014
2004-02-24,GS,4.047,0.971,0.446,36.802,17.667,0.24,1.98,16.778,3.149,2.331,44.156,89.6903846136,90.8768563426
2004-04-06,GS,5.928,1.293,-0.137,46.712,18.936,0.218,2.63,14.013,2.87,2.291,45.193,90.7736848879,77.5712476057
2004-07-09,GS,5.511,1.187,1.091,58.587,19.211,0.215,2.43,10.601,2.27,1.89,47.452,77.6143427433,81.9849181989
2004-10-08,GS,4.53,0.879,-0.291,57.093,19.698,0.194,1.8,10.538,2.28,1.941,48.066,81.4576562052,95.2087961682
2005-02-08,GS,4.581,1.194,-3.385,52.544,20.188,0.261,2.44,11.817,2.618,2.145,51.297,96.9115905882,96.0775688315
2005-04-06,GS,6.405,1.512,1.166,50.733,21.863,0.236,3.06,11.201,2.542,2.05,52.751,97.7369246183,89.4457482213
2005-07-05,GS,4.806,0.865,2.511,55.274,22.659,0.18,1.78,10.781,2.361,1.818,54.378,89.8550511291,103.799589615
2005-10-05,GS,7.285,1.617,-1.147,53.387,24.163,0.221,3.4,10.249,2.3,1.995,56.216,102.778352482,125.160807095
2006-02-07,GS,6.286,1.632,3.366,61.666,24.241,0.258,3.5,10.842,2.454,2.172,60.94,122.2337864,141.092913754
2006-04-05,GS,10.335,2.479,-3.69,67.527,25.243,0.237,5.36,10.603,2.419,2.402,63.23,140.873825379,132.10799607
2006-07-03,GS,10.097,2.312,1.151,78.462,24.122,0.226,5.08,8.256,1.935,2.07,70.714,133.881965039,153.359832809
2006-10-04,GS,7.463,1.594,2.341,86.372,22.835,0.208,3.46,9.495,2.2,2.245,74.528,155.437497594,187.797677759
2007-02-06,GS,9.77,3.152,-3.77,87.283,22.423,0.318,7.01,9.395,2.344,2.467,81.387,189.653124117,185.323749283
2007-04-04,GS,12.73,3.197,0.594,85.171,23.729,0.247,7.08,8.45,2.129,2.311,83.015,184.475545234,193.963675408
2007-07-03,GS,10.182,2.333,1.122,86.275,23.525,0.225,5.25,9.024,2.269,2.368,88.249,198.715865101,212.064978748
2007-10-10,GS,12.334,2.854,4.646,110.332,25.734,0.228,6.54,8.27,2.084,2.399,91.184,209.17479551,174.574622313
2008-01-29,GS,10.741,3.215,-0.773,131.821,25.163,0.295,7.45,6.804,1.688,1.813,101.086,174.39671187,159.140891372
2008-04-09,GS,8.335,1.511,0.833,117.211,26.892,0.176,3.39,7.058,1.65,1.61,98.496,154.906622826,159.422080218
2008-07-07,GS,9.422,2.087,1.066,98.661,23.279,0.218,4.8,7.047,1.638,1.492,104.837,151.339133895,102.685757435
2008-10-08,GS,6.043,0.845,-1.621,111.59,22.724,0.134,1.89,5.963,1.294,0.98,106.639,100.899918176,66.4682037016
2009-01-27,GS,-1.578,-2.121,5.18,122.404,12.742,1.449,-5.41,17.707,1.626,0.561,139.902,70.1051431495,121.780026473
2009-05-06,GS,9.425,1.814,21.612,105.003,13.559,0.176,3.48,31.387,3.006,1.103,133.123,125.401000633,149.154838753
2009-08-05,GS,13.761,3.435,-13.24,75.99,13.162,0.198,5.27,29.729,3.118,1.373,122.181,152.288381712,155.302126153
2009-11-04,GS,12.372,3.188,0.838,65.974,12.499,0.245,5.74,17.026,2.564,1.333,124.271,153.392636693,142.101548755
2010-03-01,GS,9.615,4.948,15.276,74.954,11.005,0.498,9.14,6.757,1.824,1.165,132.971,142.27423372,129.959069117
2010-05-10,GS,12.775,3.456,-11.227,70.117,11.071,0.258,6.02,5.354,1.526,1.015,133.597,130.722518436,141.37872732
2010-08-09,GS,8.841,0.613,5.537,89.015,10.964,0.051,0.82,6.929,1.838,1.085,136.753,141.579161139,154.546626288
2010-11-09,GS,8.903,1.898,3.528,88.321,11.011,0.195,3.19,8.288,2.122,1.125,139.795,152.126126527,150.25175564
2011-03-01,GS,8.642,2.387,3.659,93.519,10.781,0.258,4.09,10.886,2.144,1.085,142.961,147.985777887,136.802673104
2011-05-10,GS,11.894,2.735,2.895,96.195,11.878,0.076,1.66,14.623,2.034,1.074,134.053,137.976944976,108.213733269
2011-08-09,GS,7.281,1.087,2.75,106.924,11.949,0.144,1.96,10.479,1.691,0.858,136.033,112.876691178,100.166170979
2011-11-09,GS,3.587,-0.393,-1.23,121.626,12.539,-0.119,-0.84,13.054,1.563,0.7,135.253,91.9466039921,107.645942025
2012-02-28,GS,6.049,1.013,11.805,120.272,12.118,0.162,1.87,23.091,2.012,0.824,138.514,108.785101525,99.6631674713
2012-05-10,GS,9.949,2.109,1.13,110.237,12.271,0.208,4.05,14.226,1.947,0.73,140.282,98.7621210323,95.6612307884
2012-08-09,GS,6.627,0.962,1.775,115.598,12.021,0.14,1.83,13.987,1.895,0.682,145.274,96.6878391188,110.590651755
2012-11-08,GS,8.351,1.512,4.726,117.236,11.882,0.175,2.95,9.963,1.749,0.735,150.014,108.050385047,141.444646318
2013-03-01,GS,9.236,2.892,9.03,122.34,11.396,0.307,5.78,9.609,2.051,0.925,157.25,142.17189243,141.916884053
2013-05-09,GS,10.09,2.26,-9.336,104.377,11.421,0.217,4.53,9.196,1.985,0.882,160.191,140.292386245,154.854834462
2013-08-08,GS,8.612,1.931,9.065,124.328,11.025,0.216,3.92,8.769,2.015,0.937,164.926,154.276911861,155.427531018
2013-11-07,GS,6.722,1.517,-6.92,119.353,10.895,0.213,3.07,8.706,2.088,0.932,167.492,151.739548995,158.242238339
2014-02-28,GS,8.782,2.332,-4.345,110.804,10.616,0.256,4.79,9.754,2.203,0.96,167.988,159.266057392,150.60665325
2014-05-09,GS,9.328,2.033,-2.275,119.038,10.576,0.209,4.15,9.389,2.102,0.889,168.799,150.415285203,162.968238419
2014-08-07,GS,9.125,2.037,-1.875,97.651,9.534,0.214,4.21,9.83,2.194,0.913,176.801,162.35377116,183.244257316
2014-11-05,GS,8.387,2.241,-2.833,98.34,9.561,0.256,4.69,9.97,2.321,1.005,180.626,182.830135117,185.025822653
2015-02-23,GS,7.688,2.166,3.45,109.316,9.341,0.264,4.5,10.264,2.401,1.001,183.912,183.866452452,193.153166607
2015-05-05,GS,10.617,2.844,5.529,105.452,9.167,0.259,6.05,9.603,2.38,1.001,187.794,191.205159257,199.364856422
2015-08-03,GS,9.069,1.048,-2.284,96.185,8.81,0.101,2.01,11.303,2.478,1.011,194.183,198.995428201,185.041426003
2015-11-03,GS,6.861,1.426,4.73,123.743,9.04,0.194,2.95,11.576,2.376,0.927,195.33,186.026726722,143.807599598
2016-02-22,GS,7.273,0.765,9.53,131.943,8.932,0.079,1.32,11.286,1.858,0.725,196.217,145.647898334,156.839919362
2016-05-06,GS,6.338,1.135,4.064,137.456,9.111,0.189,2.71,16.414,2.234,0.76,196.999,156.171385888,156.304258275
2016-08-04,GS,7.932,1.822,24.124,167.913,9.366,0.206,3.77,13.525,2.256,0.741,200.31,156.017986739,174.978708238
2016-11-03,GS,8.168,2.094,-3.758,154.061,9.102,0.257,4.96,12.721,2.358,0.804,206.226,174.612063533,245.859334485
2017-02-27,GS,8.17,2.347,3.842,121.711,8.899,0.264,5.13,14.015,3.245,1.143,209.33,247.827401929,225.535566912
2017-05-04,GS,8.026,2.255,1.324,123.035,9.286,0.269,5.23,11.081,2.762,1.026,210.708,225.814608751,223.99
2017-08-04,GS,7.887,1.831,-12.147,110.888,9.459,0.207,4.0,10.77,2.687,1.0,213.433,229.79,229.79
