datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-01,GT,3.5825,0.0078,0.0532,0.2874,3.043,0.002,0.05,-37.003,0.313,1.377,20.623,25.8833212008,18.1432319945
2001-11-14,GT,3.6779,0.0093,0.498,0.7854,3.091,0.003,0.06,-31.673,0.23,1.008,20.833,19.0795970591,26.1587173882
2002-03-11,GT,3.4726,-0.174,0.174,0.9594,3.718,-0.05,-1.08,-22.614,0.325,1.608,17.59,26.2798225613,20.7835108593
2002-05-02,GT,3.3112,-0.0632,-0.313,0.6464,3.815,-0.019,-0.39,-17.026,0.267,1.355,16.944,21.3797209423,18.7349780335
2002-06-19,GT,3.3112,-0.0632,-0.313,0.6464,3.815,-0.019,-0.39,-14.719,0.231,1.172,16.944,18.5850982092,13.976293613
2002-08-06,GT,3.4788,0.0289,0.0336,0.68,3.792,0.008,0.18,-12.858,0.184,0.9,17.415,14.6788552893,8.32916081228
2002-10-30,GT,3.5296,0.0337,-0.1317,0.5483,3.636,0.01,0.2,-8.143,0.103,0.489,17.471,7.65867281038,5.19739601981
2003-04-03,GT,3.5304,-1.1052,0.3747,0.923,19.207,-0.313,-6.62,-0.91,0.073,1.547,3.727,5.51442757,5.71617492013
2003-04-30,GT,3.5455,-0.1633,-0.2027,0.7203,22.786,-0.046,-0.93,-0.832,0.071,1.784,3.206,5.49521353666,4.96682761967
2003-07-30,GT,3.7582,-0.0736,0.4625,1.1828,23.118,-0.02,-0.42,-0.742,0.068,1.589,3.487,5.32228723655,6.09084857035
2003-11-19,GT,3.906,-0.1059,-0.1473,1.0344,33.003,-0.027,-0.6,-0.785,0.077,2.646,2.449,6.22534680377,7.83932560475
2004-05-19,GT,3.9087,-0.4697,0.5343,1.5649,-1146.458,-0.12,-2.68,-1.871,0.099,-114.573,-0.075,8.22360627164,9.06902373882
2004-06-18,GT,4.2909,-0.0769,-0.2497,1.3787,-127.924,-0.018,-0.44,-2.388,0.109,-14.273,-0.693,9.50133948908,10.4236130896
2004-08-05,GT,4.5089,0.0251,0.0093,1.3857,-104.47,0.006,0.14,-3.046,0.115,-12.957,-0.841,10.471648173,11.1441393401
2004-11-09,GT,4.7137,0.0365,0.2976,1.687,-409.203,0.008,0.21,-4.245,0.118,-53.617,-0.219,11.2786375735,13.9301741751
2005-03-16,GT,4.8364,0.1271,0.3644,2.1203,226.106,0.026,0.72,21.498,0.134,33.9,0.414,13.4882514082,11.9991638239
2005-05-04,GT,4.767,0.068,-0.236,1.895,369.114,0.014,0.39,8.897,0.121,51.904,0.25,12.4699076409,16.6681739268
2005-08-04,GT,4.992,0.069,-0.111,1.84,354.756,0.014,0.39,10.221,0.159,68.278,0.256,16.7642440935,12.8541883078
2005-10-27,GT,5.03,0.142,0.041,1.877,53.861,0.028,0.81,6.668,0.138,9.148,1.682,14.7467705923,13.9397811918
2006-02-17,GT,4.934,-0.051,0.516,2.409,213.068,-0.01,-0.29,11.543,0.133,36.051,0.415,14.285633792,13.7092127916
2006-05-04,GT,4.856,0.074,-0.576,1.821,80.337,0.015,0.42,11.261,0.133,13.653,1.09,14.285633792,10.6349674564
2006-08-04,GT,5.142,0.002,-0.022,1.788,70.716,0.0,0.01,12.518,0.105,9.417,1.254,11.3266726569,14.5738442922
2006-11-09,GT,5.284,-0.048,-0.25,1.521,89.727,-0.009,-0.27,-135.346,0.154,17.687,0.994,16.8507072435,24.4114293648
2007-02-16,GT,4.976,-0.358,2.585,4.113,-23.466,-0.072,-2.02,-13.754,0.224,-5.988,-4.282,24.1904679813,31.2228041856
2007-04-27,GT,4.499,-0.174,-1.779,2.274,-177.233,-0.039,-0.96,-10.838,0.315,-69.606,-0.5,33.05774437,30.7904884353
2007-07-26,GT,4.921,0.056,0.245,2.519,16.014,0.011,0.28,-11.725,0.312,6.334,4.949,28.0332746503,26.0446221991
2007-10-30,GT,5.064,0.668,0.605,3.116,8.473,0.132,3.17,32.067,0.316,3.422,8.526,28.014060617,24.3249662147
2008-02-14,GT,5.16,0.052,0.53,3.654,5.032,0.01,0.19,10.848,0.332,2.291,13.194,26.1214783325,26.1791204325
2008-04-25,GT,4.942,0.147,-1.247,2.406,4.316,0.03,0.61,7.535,0.346,2.162,13.404,27.7738852001,18.7913246114
2008-07-31,GT,5.239,0.075,-0.147,2.25,4.217,0.014,0.31,5.025,0.232,1.412,13.913,18.8585737281,8.56945887185
2008-11-03,GT,5.172,0.031,-0.463,1.784,4.303,0.006,0.13,7.436,0.111,0.706,13.336,9.03059567213,5.78342403683
2009-02-18,GT,4.135,-0.33,0.288,1.906,13.898,-0.08,-1.37,-19.998,0.079,1.507,4.241,6.12927663704,10.0585464561
2009-04-29,GT,3.536,-0.348,0.002,1.896,16.241,-0.098,-1.38,-4.9,0.155,3.435,3.386,11.1345323234,13.3441461581
2009-07-30,GT,3.943,-0.253,0.47,2.366,17.317,-0.064,-0.92,-4.263,0.229,4.844,3.286,15.2367284426,16.0821459097
2009-10-28,GT,4.385,0.102,0.224,2.59,13.657,0.023,0.3,-3.932,0.204,3.174,4.244,12.9310444412,13.3537531747
2010-02-18,GT,4.437,0.135,-0.668,1.922,13.013,0.03,0.45,-9.516,0.212,3.513,4.091,13.7380338416,13.4978584248
2010-04-28,GT,4.27,-0.047,-0.148,1.774,13.506,-0.011,-0.19,-53.288,0.197,3.447,4.025,13.2768970414,11.4803849236
2010-07-29,GT,4.528,0.039,-0.091,1.683,14.609,0.009,0.11,11.956,0.155,3.056,3.702,10.8271077899,11.1537463568
2010-10-28,GT,4.962,-0.013,-0.018,1.665,12.366,-0.003,-0.08,22.501,0.141,2.276,4.657,10.1450096061,12.0183778573
2011-02-10,GT,5.072,-0.218,0.34,2.005,15.337,-0.043,-0.73,-16.086,0.185,3.773,3.806,13.7380338416,15.5633670094
2011-04-29,GT,5.402,0.124,0.21,2.215,9.29,0.023,0.42,-65.165,0.222,2.742,6.65,17.4367352606,16.4952476267
2011-07-28,GT,5.62,0.047,-0.411,1.804,8.667,0.007,0.16,-58.1,0.185,2.213,7.209,15.3039775593,13.7188198083
2011-10-28,GT,6.062,0.168,0.322,2.126,8.861,0.027,0.66,33.89,0.164,2.043,7.275,14.256812742,13.4210022915
2012-02-14,GT,5.683,0.025,0.646,2.772,15.737,0.003,0.07,10.095,0.142,3.186,4.168,12.729297091,11.4611708903
2012-04-27,GT,5.533,-0.004,-0.689,2.083,14.086,-0.002,-0.05,13.318,0.121,2.407,4.717,10.8751428732,9.96247628936
2012-07-31,GT,5.15,0.092,0.073,2.156,13.049,0.017,0.35,11.076,0.125,2.316,4.939,11.00003409,11.8166305072
2012-10-26,GT,5.264,0.117,0.101,2.257,10.486,0.021,0.45,13.364,0.125,1.79,6.155,10.5869323731,13.3633601914
2013-02-12,GT,5.045,0.007,0.024,2.281,25.302,0.0,0.0,18.586,0.162,5.442,2.551,13.3153251081,12.4314795742
2013-04-26,GT,4.853,0.033,0.105,2.386,20.529,0.005,0.1,13.908,0.151,3.905,3.212,12.0183778573,16.3703564099
2013-07-30,GT,4.894,0.188,0.178,2.564,16.603,0.037,0.74,14.402,0.228,4.766,3.894,17.8306229441,21.1834717628
2013-10-29,GT,5.002,0.173,-0.064,2.5,13.241,0.033,0.67,13.742,0.259,4.261,4.89,19.9441666121,23.3247144207
2014-02-13,GT,4.791,0.235,0.496,2.996,8.074,0.048,0.93,11.138,0.342,3.578,7.593,25.9978405665,26.2583979887
2014-04-29,GT,4.469,-0.051,-1.143,1.853,7.978,-0.013,-0.23,12.067,0.326,3.396,7.407,24.2800916352,24.6185238165
