datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-07-30,HCN,0.032742,0.015123,0.003317,0.005854,0.506,0.359,0.41,16.229,6.007,1.035,26.408,9.18195104303,9.63823204578
2001-10-30,HCN,0.034733,0.016967,0.03771,0.043564,0.567,0.391,0.42,16.868,6.154,1.074,23.692,9.66513301242,10.9319182961
2002-03-25,HCN,0.035068,0.013258,-0.033738,0.009826,0.676,0.282,0.3,19.923,6.937,1.237,23.465,10.8377114598,11.6224372111
2002-05-07,HCN,0.037395,0.015888,-0.001704,0.008122,0.752,0.335,0.38,20.512,6.996,1.253,23.722,11.5583134196,11.544749194
2002-08-14,HCN,0.040638,0.016831,0.001134,0.009256,0.683,0.332,0.38,22.539,7.543,1.28,24.577,11.6919202177,11.9356755038
2002-11-07,HCN,0.042373,0.019763,0.012184,0.02144,0.743,0.398,0.44,20.762,7.046,1.245,22.772,11.7061432825,11.0065466696
2003-03-10,HCN,0.045072,0.015175,-0.01189,0.00955,0.777,0.273,0.3,18.647,6.309,1.147,22.587,10.8998527313,12.586278473
2003-05-07,HCN,0.046292,0.019297,0.024328,0.033878,0.838,0.355,0.41,19.693,6.678,1.303,22.351,12.5688580183,13.61844041
2003-07-21,HCN,0.047856,0.019062,-0.025925,0.007953,0.95,0.35,0.41,20.981,7.207,1.462,22.081,13.4573012047,14.4365766352
2003-10-24,HCN,0.049975,0.025301,0.000219,0.008172,0.812,0.412,0.47,24.21,8.458,1.427,25.376,14.4188303824,17.3279818449
2004-03-12,HCN,0.061198,0.01908,0.116324,0.124496,0.899,0.277,0.33,27.864,9.804,1.714,23.234,17.6856379931,13.9356321438
2004-05-10,HCN,0.060961,0.020925,-0.077433,0.047063,0.884,0.306,0.37,20.411,6.767,1.283,22.941,13.5433422309,15.0424501123
2004-07-23,HCN,0.059334,0.021429,-0.013073,0.03399,0.888,0.324,0.37,22.252,7.248,1.445,22.663,15.1732134166,16.9500164213
2004-10-26,HCN,0.063629,0.021807,-0.018571,0.015419,0.838,0.299,0.37,25.71,7.741,1.422,25.884,17.2260133198,17.2260133198
2004-10-27,HCN,0.063629,0.021807,-0.018571,0.015419,0.838,0.299,0.37,26.122,7.865,1.445,25.884,17.5020102182,16.650239888
2005-03-16,HCN,0.068346,0.02121,0.004344,0.019763,0.909,0.231,0.3,24.611,7.111,1.339,25.397,16.5025004036,17.0044607834
