datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-27,HD,14.576,0.924,-0.076,1.287,0.482,0.063,0.4,42.86,2.347,6.876,7.133,35.2864281385,31.2501335627
2001-11-28,HD,13.289,0.778,0.367,1.654,0.479,0.059,0.33,36.67,2.031,5.912,7.428,31.6105733961,35.7756705423
2002-04-19,HD,13.488,0.71,0.823,2.477,0.46,0.053,0.3,37.945,2.157,6.388,7.714,35.5083644417,29.2736302579
2002-06-04,HD,14.282,0.856,2.505,4.982,0.594,0.06,0.36,28.896,1.697,4.951,8.12,28.9702017113,24.2546414564
2002-08-26,HD,16.277,1.182,0.752,5.734,0.555,0.073,0.5,22.673,1.394,3.949,8.6,24.5439899974,18.887903445
2002-12-05,HD,14.475,0.94,-1.754,3.98,0.558,0.065,0.4,16.377,1.032,3.002,8.609,18.858856304,19.9303352223
2003-04-21,HD,13.213,0.686,-1.792,2.188,0.516,0.052,0.3,17.197,1.082,3.182,8.598,20.0031533999,23.8989259041
2003-06-06,HD,15.104,0.907,2.076,4.264,0.632,0.06,0.4,20.323,1.278,3.651,9.022,23.9280531752,25.0330901929
2003-09-05,HD,17.989,1.299,0.945,5.209,0.578,0.072,0.57,20.856,1.315,3.644,9.557,24.682159022,26.0269100828
2003-12-04,HD,16.598,1.147,-0.265,4.944,0.589,0.069,0.5,19.637,1.261,3.563,9.764,25.5361127353,26.5679167762
2004-04-12,HD,15.125,0.951,-2.118,2.826,0.537,0.063,0.42,18.992,1.261,3.648,9.893,26.7587360679,26.0394941221
2004-06-04,HD,17.55,1.098,1.483,4.298,0.692,0.063,0.49,17.471,1.168,3.502,10.001,25.9294060691,27.1940934039
2004-09-02,HD,19.96,1.545,-0.636,3.672,0.707,0.077,0.7,17.565,1.203,3.709,10.172,27.9683287096,31.2393468173
2004-12-02,HD,18.772,1.317,-0.326,3.375,0.669,0.07,0.6,18.847,1.296,3.898,10.838,31.1432939534,27.7620634461
2005-04-11,HD,16.812,1.041,-1.151,0.506,0.611,0.062,0.48,16.29,1.115,3.372,11.036,27.9546497987,29.5842266285
2005-06-02,HD,18.973,1.247,0.181,0.683,0.761,0.066,0.58,16.812,1.162,3.635,11.018,29.8805133249,30.015684906
2005-09-01,HD,22.305,1.768,0.057,0.736,0.698,0.079,0.83,16.177,1.131,3.458,11.747,30.2315715286,31.1766161052
2005-12-01,HD,20.744,1.538,0.171,0.905,0.732,0.074,0.72,15.775,1.119,3.421,12.109,30.9975259218,32.1958435773
2006-03-29,HD,19.489,1.285,-0.123,0.793,0.653,0.066,0.61,15.566,1.115,3.377,12.711,32.1359304002,28.5486289176
2006-06-01,HD,21.461,1.484,0.447,1.264,0.895,0.069,0.7,13.116,0.949,2.866,13.15,28.8706622449,26.2579522163
2006-09-06,HD,26.026,1.862,-0.618,0.645,0.902,0.072,0.9,11.433,0.804,2.591,13.184,25.8048382868,29.9122859074
2006-12-06,HD,23.085,1.49,-0.028,0.603,0.896,0.065,0.73,13.31,0.905,2.935,13.587,30.3301613773,28.098879667
2007-03-29,HD,20.265,0.925,0.01,0.6,1.088,0.046,0.47,12.588,0.798,2.897,12.553,28.1370886413,29.867955175
2007-06-06,HD,21.585,1.046,0.328,0.938,1.184,0.048,0.53,14.204,0.831,2.945,13.105,29.4375368812,29.6342436114
2007-09-04,HD,22.184,1.587,0.064,0.987,1.093,0.072,0.81,14.247,0.825,2.646,13.865,28.1258443673,21.1756047732
2007-11-28,HD,18.961,1.091,-0.436,0.535,1.608,0.058,0.6,10.262,0.575,2.735,9.639,22.0491472169,22.9386160921
2008-04-03,HD,17.659,0.671,-0.11,0.445,1.502,0.038,0.43,11.236,0.638,2.788,10.633,22.9858148907,21.4872530369
2008-06-04,HD,17.907,0.356,0.308,0.767,1.575,0.02,0.21,12.449,0.601,2.605,10.546,21.5586392596,23.4504532818
2008-09-04,HD,20.99,1.202,0.285,1.051,1.418,0.057,0.72,14.616,0.643,2.602,11.101,22.8428043048,18.3848761018
2008-12-04,HD,17.784,0.756,-0.158,0.864,1.401,0.043,0.45,13.189,0.53,2.14,10.943,18.7564509263,19.4722124678
2009-04-02,HD,14.607,-0.054,-0.316,0.519,1.316,-0.004,-0.04,18.592,0.589,2.364,10.55,20.2403148479,19.9134627713
2009-06-04,HD,16.175,0.514,1.687,2.214,1.432,0.032,0.31,17.309,0.602,2.326,10.692,20.0768888096,22.0628742626
2009-09-03,HD,19.071,1.116,0.898,3.107,1.295,0.059,0.66,19.662,0.678,2.392,11.39,22.3705736021,23.7491097092
2009-12-03,HD,16.361,0.689,-0.405,2.719,1.221,0.042,0.41,20.968,0.717,2.451,11.522,23.4137887108,27.2959866217
2010-03-25,HD,14.569,0.342,-1.313,1.421,1.108,0.023,0.2,20.758,0.835,2.848,11.543,27.5493528342,28.8065344133
2010-06-03,HD,16.863,0.725,1.006,2.436,1.252,0.043,0.43,19.559,0.84,2.9,11.551,28.4323131218,24.5909896358
2010-09-02,HD,19.41,1.192,-0.036,2.395,1.187,0.061,0.72,16.613,0.729,2.519,11.763,25.2257064942,27.324730894
2010-12-02,HD,16.598,0.834,-0.974,1.425,1.184,0.05,0.51,17.676,0.811,2.86,11.677,28.8374888524,31.8691986285
2011-03-24,HD,15.126,0.587,-0.874,0.545,1.124,0.039,0.37,18.155,0.891,3.208,11.653,32.5131966346,30.8074721859
