datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-07,HOG,0.850944,0.115627,0.147317,0.546656,0.743,0.136,0.38,40.211,5.007,9.483,5.389,38.9752899035,36.8801246078
2001-11-06,HOG,0.850792,0.111721,0.015119,0.561775,0.769,0.131,0.37,35.778,4.584,8.962,5.443,37.4475111402,42.1260576372
2002-03-28,HOG,0.894401,0.11835,-0.122337,0.439438,0.776,0.132,0.39,38.131,4.963,9.504,5.801,42.31795841,39.6159955294
2002-05-07,HOG,0.927845,0.119998,-0.060903,0.378535,0.84,0.129,0.4,33.862,4.475,8.538,6.106,39.9921210441,36.0706768284
2002-08-12,HOG,1.001094,0.144341,0.145514,0.524049,0.73,0.144,0.48,27.981,3.765,7.028,6.513,35.1489389196,37.3649615409
2002-11-12,HOG,1.135499,0.165017,0.11805,0.642099,0.754,0.145,0.55,27.48,3.802,7.072,7.044,38.2258699327,30.7220949858
2003-03-28,HOG,1.026532,0.150861,-0.361171,0.280928,0.729,0.147,0.5,20.916,2.966,5.435,7.323,30.645097254,34.3255888338
2003-05-14,HOG,1.113691,0.186184,0.115015,0.395943,0.668,0.167,0.62,20.65,3.121,5.568,7.929,33.9944985871,35.5894928547
2003-08-11,HOG,1.218872,0.202242,0.295516,0.691459,0.691,0.166,0.67,19.862,3.112,5.506,8.409,35.6203196133,36.0902247889
2003-11-12,HOG,1.133641,0.190072,0.250562,0.942021,0.644,0.168,0.63,19.789,3.213,5.273,9.054,36.7458497316,38.8994155279
2004-03-12,HOG,1.15807,0.18243,-0.129572,0.812449,0.665,0.158,0.61,20.105,3.308,5.173,10.045,40.207153985,43.7821549745
2004-05-06,HOG,1.165701,0.20458,-0.221806,0.590643,0.695,0.175,0.69,21.443,3.574,6.039,9.291,43.813107364,44.6097967013
2004-08-06,HOG,1.327808,0.247241,0.207899,0.798542,0.605,0.186,0.84,20.333,3.503,5.693,10.004,44.0284353194,45.8998921451
2004-11-04,HOG,1.300684,0.228983,0.210986,1.009528,0.594,0.176,0.78,20.145,3.512,5.623,10.518,45.954239108,47.1029760949
2005-03-11,HOG,1.220997,0.208962,-0.251249,0.275159,0.704,0.171,0.72,19.82,3.516,5.479,11.023,47.0873842458,36.6564372059
2005-05-02,HOG,1.235464,0.227215,-0.07478,0.200379,0.622,0.184,0.78,15.029,2.697,4.192,11.158,37.5529685285,37.5529685285
2005-05-03,HOG,1.235464,0.227215,-0.07478,0.200379,0.622,0.184,0.78,14.888,2.671,4.153,11.158,37.202151924,41.2962074209
2005-08-03,HOG,1.333264,0.237391,0.119341,0.31972,0.619,0.178,0.85,16.005,2.838,5.483,9.389,41.1710673984,40.173572677
2005-11-03,HOG,1.431151,0.264954,0.117287,0.437007,0.64,0.185,0.97,14.996,2.696,4.917,10.43,40.2206602793,40.5854147327
2006-03-03,HOG,1.342335,0.230044,-0.296032,0.140975,0.704,0.171,0.84,14.561,2.616,4.531,11.315,40.3728019664,40.064585112
2006-05-05,HOG,1.28509,0.234563,0.055489,0.196464,0.706,0.183,0.86,14.119,2.532,4.314,11.78,40.1594125324,44.9503647457
2006-07-31,HOG,1.377047,0.24343,0.195503,0.391967,0.699,0.177,0.91,15.361,2.75,5.036,11.318,45.2360662165,54.0269955021
2006-10-31,HOG,1.635916,0.312734,0.114172,0.506139,0.768,0.191,1.2,17.423,3.153,6.248,10.984,54.6480869758,54.8668660259
2007-02-27,HOG,1.502633,0.252426,-0.267742,0.238397,1.007,0.168,0.98,16.372,2.944,6.195,10.704,52.9581060579,51.238286102
2007-05-03,HOG,1.178875,0.19231,0.071613,0.31001,0.921,0.163,0.75,16.3,2.865,5.754,11.01,50.757551596,45.8367916638
2007-08-03,HOG,1.620218,0.29049,0.106074,0.416084,0.927,0.179,1.15,13.565,2.394,5.349,10.32,44.4126891319,40.0433852242
2007-11-02,HOG,1.541401,0.264966,-0.014699,0.401385,1.104,0.172,1.07,11.94,2.044,5.054,9.786,40.0514829765,30.5877815067
2008-02-22,HOG,1.386354,0.186077,0.001469,0.402854,1.381,0.134,0.79,9.812,1.6,3.857,9.96,31.3131512253,31.4268871604
2008-05-01,HOG,1.306313,0.187581,-0.070215,0.332639,1.412,0.144,0.79,10.064,1.597,3.846,10.278,32.4785581556,31.6696558535
2008-07-31,HOG,1.572569,0.222787,0.470761,0.8034,1.678,0.142,0.95,10.337,1.534,3.516,10.763,31.3465806303,19.65343589
2008-10-30,HOG,1.422834,0.166541,-0.299015,0.504385,1.879,0.117,0.71,7.321,0.982,2.234,10.739,20.0461703657,10.4781644931
2009-02-17,HOG,1.292591,0.077809,0.089173,0.593558,2.7,0.06,0.35,4.231,0.495,1.309,9.057,10.1033358446,18.1602382705
2009-04-30,HOG,1.290648,0.117347,0.30574,0.899298,2.86,0.091,0.51,8.889,0.931,2.327,9.523,19.0815969689,19.2943441411
2009-07-31,HOG,1.153645,0.01975,0.131896,1.031194,2.891,0.017,0.08,13.898,1.027,2.353,9.604,19.562681812,22.9577936316
2009-10-30,HOG,1.121275,0.026483,0.493188,1.524382,3.084,0.024,0.11,24.203,1.203,2.551,9.768,21.6625602916,21.1615161979
2010-02-23,HOG,1.216341,-0.218696,0.112114,1.630433,3.343,-0.18,-0.94,-102.239,1.178,2.673,8.997,21.0738908721,27.6370277798
2010-05-06,HOG,1.207172,0.033325,-0.185165,1.442798,4.127,0.028,0.14,-52.459,1.553,3.497,8.865,27.1638510201,24.4784921301
2010-08-05,HOG,1.308806,0.071157,-0.031115,1.414912,3.784,0.054,0.3,-76.799,1.388,3.153,9.074,25.1555193909,27.7060634923
2010-11-03,HOG,1.25996,0.088829,0.074085,1.494301,3.585,0.071,0.38,-296.078,1.506,3.432,9.298,28.1560664344,36.1808460877
2011-02-24,HOG,1.083398,-0.046766,-0.472368,1.021933,3.273,-0.043,-0.2,65.412,1.973,4.344,9.37,36.1010158316,32.8457153868
2011-05-04,HOG,1.22493,0.11926,-0.089418,0.932515,3.019,0.097,0.51,37.37,1.781,3.712,9.905,32.6150946469,37.3883359994
2011-08-04,HOG,1.505597,0.19058,0.040963,0.973478,2.698,0.127,0.81,26.301,1.824,3.656,10.708,34.842974396,34.7059398908
2011-11-03,HOG,1.397256,0.183594,0.455275,1.428753,2.731,0.131,0.79,20.455,1.753,3.512,11.194,35.1167667655,42.0826284276
2012-02-23,HOG,1.18393,0.10568,0.098197,1.52695,2.997,0.089,0.46,18.167,2.049,4.497,10.5,42.4602930417,45.3916898083
2012-05-10,HOG,1.429691,0.172035,-0.250613,1.276337,2.731,0.12,0.75,17.995,2.127,4.556,11.121,45.5625380861,37.6075397437
2012-08-09,HOG,1.72966,0.24725,-0.204841,1.071496,2.494,0.143,1.08,13.406,1.655,3.562,11.7,37.5985189858,42.1106394891
2012-11-08,HOG,1.250295,0.134001,0.723645,1.795141,2.705,0.107,0.59,15.441,1.819,3.764,11.948,40.716307414,46.5531765766
2013-02-22,HOG,1.17086,0.070639,-0.727003,1.256146,2.586,0.06,0.32,18.57,2.076,4.53,11.304,46.6990827128,52.3438263565
2013-05-09,HOG,1.571213,0.224129,-0.049379,1.215784,2.513,0.143,1.0,18.955,2.239,4.823,11.854,52.1340862857,53.2894521814
2013-08-08,HOG,1.794307,0.271739,0.281931,1.512694,2.441,0.151,1.22,18.848,2.282,4.68,12.648,54.1773046138,59.2059191168
2013-11-06,HOG,1.343718,0.162716,-0.270735,1.224284,2.291,0.121,0.73,19.502,2.419,4.935,13.034,59.068166862,58.3740391437
2014-02-20,HOG,1.190634,0.075409,0.036657,1.211419,2.125,0.063,0.35,19.28,2.399,4.702,13.676,59.4934145377,67.0145070613
2014-05-08,HOG,1.726048,0.265917,-0.130792,1.053703,2.079,0.154,1.21,20.165,2.584,4.951,14.47,66.2744241561,57.299849801
2014-08-07,HOG,2.000699,0.354153,0.063526,1.154027,1.993,0.177,1.63,15.363,2.106,3.917,15.48,56.3061571059,60.0253017113
2014-11-06,HOG,1.301604,0.150066,-0.01948,1.122152,2.052,0.115,0.7,16.651,2.264,4.287,15.328,61.2843781145,59.5310744772
2015-02-19,HOG,1.200157,0.074475,-0.073186,1.005307,2.275,0.062,0.36,15.87,2.152,4.607,13.754,59.6345904144,53.1977812234
2015-05-07,HOG,1.672945,0.269854,0.262044,1.289152,2.496,0.161,1.28,13.947,1.916,4.031,14.105,53.5083290353,54.9932056674
2015-08-06,HOG,1.824392,0.29981,0.078855,1.384339,2.494,0.164,1.44,15.158,2.007,3.982,14.68,55.3149693901,46.5105252818
2015-11-05,HOG,1.31743,0.140347,0.120975,1.482053,3.193,0.107,0.69,12.109,1.579,3.711,13.341,47.1196256743,39.9954527136
2016-02-18,HOG,1.180635,0.042196,-0.646345,0.810476,4.431,0.036,0.28,10.18,1.277,4.162,9.997,40.2274785451,45.2257016664
2016-05-05,HOG,1.749968,0.250489,-0.028196,0.787205,4.53,0.143,1.37,11.421,1.378,4.422,10.452,44.6843080595,50.3067908461
2016-08-04,HOG,1.861077,0.280431,0.170657,0.942748,4.12,0.151,1.55,13.315,1.555,4.7,11.303,51.7683478143,54.9228195425
2016-11-03,HOG,1.274813,0.114065,-0.074386,0.855372,4.126,0.089,0.64,14.385,1.629,4.962,11.271,54.8639526405,56.5394455408
2017-02-21,HOG,1.1106,0.047179,-0.0303,0.812558,4.151,0.042,0.28,14.555,1.68,5.247,10.889,56.7380734893,55.1788440936
2017-05-04,HOG,1.501932,0.186369,0.079716,0.915405,4.158,0.124,1.06,15.502,1.694,4.884,11.388,55.2384324782,47.8
2017-08-03,HOG,1.765169,0.258867,0.148776,1.051701,4.126,0.147,1.48,13.499,1.448,4.001,11.994,47.99,48.34
