datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-14,HOLX,0.044938,-0.001213,-0.004258,0.011908,0.659,-0.027,-0.02,-3.074,0.515,0.711,1.874,1.325,2.4875
2001-12-12,HOLX,0.045261,-0.004927,0.000846,0.012754,0.745,-0.109,-0.08,-7.925,0.926,1.478,1.795,2.6075,3.29
2002-02-12,HOLX,0.047143,-0.001573,0.017848,0.030602,0.522,-0.033,-0.03,-15.672,1.355,1.805,2.115,3.2375,4.0
2002-05-14,HOLX,0.046068,0.004426,-0.004372,0.02623,0.486,0.096,0.06,-96.067,1.722,2.215,1.881,4.0975,2.48
2002-08-13,HOLX,0.047637,0.000492,0.005706,0.031936,0.46,0.01,0.01,-121.705,1.035,1.325,1.886,2.475,3.0625
2002-12-24,HOLX,0.049345,-0.003165,0.0139,0.045836,0.294,-0.064,-0.04,1331.884,1.254,1.674,1.835,3.0475,1.9725
2003-02-11,HOLX,0.048964,-0.000912,-0.002627,0.043209,0.264,-0.019,-0.01,179.442,0.786,1.063,1.822,1.9225,2.355
2003-05-13,HOLX,0.050336,0.000383,-0.011788,0.031421,0.271,0.008,0.01,-57.311,0.935,1.279,1.831,2.33,3.7925
2003-08-12,HOLX,0.052389,0.001076,0.008453,0.039874,0.263,0.021,0.01,-121.582,1.583,2.193,1.846,4.0225,4.25
2003-12-23,HOLX,0.052345,0.002334,0.005303,0.045177,0.266,0.045,0.03,120.97,1.709,2.341,1.88,4.34,4.9625
2004-02-10,HOLX,0.049882,0.00104,-0.000162,0.045015,0.272,0.021,0.01,83.406,1.967,2.664,1.894,4.9925,4.7075
2004-05-11,HOLX,0.055648,0.002589,0.011118,0.056133,0.264,0.047,0.03,55.591,1.861,2.514,1.926,4.7975,4.8825
2004-08-06,HOLX,0.059225,0.003325,0.000811,0.056944,0.268,0.056,0.04,39.749,1.701,2.307,1.965,4.5,6.185
2004-12-08,HOLX,0.063949,0.00521,0.011391,0.068335,0.273,0.081,0.06,42.508,2.261,3.11,2.029,6.225,9.3625
2005-02-03,HOLX,0.066176,0.004574,0.004367,0.072702,0.247,0.069,0.06,49.074,3.144,4.453,2.095,9.23,9.2225
2005-05-05,HOLX,0.069237,0.006048,0.022989,0.095691,0.289,0.087,0.07,42.08,3.117,4.31,2.213,9.25,11.5875
2005-08-04,HOLX,0.074053,0.008158,0.006556,0.102247,0.306,0.11,0.09,40.505,3.554,4.897,2.272,11.025,19.19
2005-12-06,HOLX,0.078218,0.009476,0.011747,0.113994,0.285,0.121,0.11,59.493,5.843,7.717,2.472,18.94,25.7
2006-02-02,HOLX,0.087956,0.005716,-0.01948,0.094514,0.253,0.065,0.07,78.231,7.432,9.796,2.647,25.355,23.19
