datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-13,HP,0.217222,0.040437,0.021233,0.167874,0.302,0.186,0.4,10.529,1.822,1.411,10.349,8.38069015789,9.58552510659
2001-12-27,HP,0.195513,0.028228,-0.044912,0.122962,0.329,0.144,0.28,11.454,1.998,1.61,10.284,9.55008878457,9.28431636942
2002-01-08,HP,0.195513,0.028228,-0.044912,0.122962,0.329,0.144,0.28,10.891,1.9,1.531,10.284,9.0805575178,8.45156280193
2002-02-14,HP,0.174147,0.015604,-0.045238,0.077724,0.299,0.09,0.15,11.866,1.85,1.416,10.616,8.66418073406,12.2078129361
2002-05-15,HP,0.155576,0.010872,-0.032825,0.044899,0.301,0.07,0.11,21.424,2.745,1.908,10.726,11.8268724744,10.1347880979
2002-08-14,HP,0.185467,0.028218,0.003301,0.0482,0.296,0.152,0.28,21.669,2.528,1.693,10.646,10.4271377546,11.8107018332
2002-12-23,HP,-0.004262,0.008823,-0.007181,0.046883,0.371,-2.07,0.08,23.331,2.9,1.655,8.966,11.7828651622,9.66206431447
2003-02-14,HP,0.113313,0.000607,0.054348,0.101231,0.5,0.005,0.01,25.207,2.717,1.362,8.985,9.75381802184,11.7564424173
2003-05-14,HP,0.12632,0.002574,-0.057983,0.043248,0.503,0.02,0.03,36.994,3.536,1.666,8.928,11.896447686,11.6204372992
2003-08-14,HP,0.137025,0.008162,-0.016275,0.026973,0.536,0.06,0.08,71.59,3.877,1.583,9.109,11.5602693463,11.1741774358
2003-12-23,HP,0.138626,0.00653,0.011216,0.038189,0.544,0.047,0.06,76.489,2.653,1.49,9.153,10.9649382472,11.9626647087
2004-02-13,HP,0.138894,0.005629,-0.002692,0.035497,0.555,0.041,0.06,64.645,2.736,1.598,9.232,11.8940760746,10.1874294737
2004-05-13,HP,0.151186,0.006048,-0.004939,0.030558,0.549,0.04,0.06,48.167,2.245,1.356,9.321,10.1995718211,9.75058235336
2004-08-13,HP,0.147874,0.004347,-0.006111,0.024447,0.547,0.029,0.04,54.789,2.143,1.319,9.292,9.95363488051,12.5688462178
2004-12-13,HP,0.182974,-0.011665,0.040849,0.065296,0.539,-0.064,-0.12,361.325,2.537,1.723,9.063,12.67474058,15.7253127826
