datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-09-11,HRL,1.039491,0.033212,0.080373,0.149751,1.238,0.032,0.06,19.683,0.857,3.625,1.706,4.54697614212,4.83584944989
2001-11-28,HRL,1.039491,0.033212,0.080373,0.149751,1.238,0.032,0.06,20.311,0.884,3.741,1.706,4.78709718711,4.87462436667
2002-01-25,HRL,1.118722,0.068803,0.036525,0.186276,1.172,0.062,0.13,19.631,0.868,3.596,1.795,4.85956761187,5.13999967003
2002-03-12,HRL,0.983014,0.050351,0.029959,0.216235,1.098,0.051,0.09,20.101,0.924,3.71,1.867,5.21340134968,4.4978105134
2002-06-11,HRL,0.954627,0.03274,0.077726,0.293961,1.09,0.034,0.06,17.619,0.796,3.092,1.899,4.43736114908,4.07754382125
2002-09-10,HRL,0.933778,0.038261,-0.026493,0.267468,1.025,0.041,0.07,16.036,0.764,2.832,1.939,4.17241454766,4.26041599289
2003-01-24,HRL,1.038895,0.06797,0.042095,0.309563,0.991,0.065,0.12,15.91,0.77,2.701,2.014,4.1647193174,3.93313336271
2003-03-11,HRL,1.01845,0.04694,-0.176481,0.133082,0.936,0.046,0.09,15.204,0.716,2.453,2.082,3.90825222708,4.55184360349
2003-06-10,HRL,1.002602,0.033801,0.023897,0.156979,0.924,0.034,0.06,17.521,0.82,2.78,2.129,4.55376664684,4.66338011765
2003-07-11,HRL,1.002602,0.033801,0.023897,0.156979,0.924,0.034,0.06,18.335,0.858,2.909,2.129,4.76530141507,4.32900258106
2003-09-09,HRL,1.009395,0.034673,-0.018194,0.138785,0.913,0.034,0.06,16.764,0.755,2.559,2.17,4.28650456375,4.99647595955
2004-01-23,HRL,1.169881,0.070365,-0.040809,0.097976,0.91,0.06,0.13,19.281,0.853,2.859,2.26,5.03350132742,5.60447147413
2004-03-09,HRL,1.135533,0.051826,-0.016038,0.081938,0.86,0.046,0.09,20.945,0.925,3.074,2.343,5.62200980628,6.06381744433
2004-06-08,HRL,1.143127,0.053651,0.110298,0.192236,0.847,0.047,0.1,20.457,0.966,3.229,2.405,6.06968565476,5.31723851659
2004-09-02,HRL,1.155999,0.056343,0.048119,0.240355,0.828,0.049,0.1,16.59,0.837,2.813,2.466,5.45075853842,5.86219808264
2005-01-13,HRL,1.345216,0.069843,0.048526,0.288881,0.811,0.052,0.13,17.884,0.867,2.961,2.529,5.91543701579,6.08516390934
2005-03-11,HRL,1.271431,0.064474,-0.143676,0.145205,0.796,0.051,0.12,17.273,0.858,2.909,2.627,6.04754005178,6.09425284532
2005-06-10,HRL,1.309637,0.055819,-0.05305,0.092155,0.824,0.043,0.1,17.177,0.833,2.835,2.699,6.0922638594,6.40217701398
2005-09-09,HRL,1.355021,0.051433,0.042738,0.134893,0.804,0.038,0.09,18.123,0.829,2.887,2.746,6.35024047658,6.69281689536
2006-01-13,HRL,1.477908,0.081733,0.105153,0.131046,0.792,0.055,0.15,18.143,0.849,2.92,2.857,6.69281689536,6.82911777739
2006-03-10,HRL,1.415933,0.069276,-0.019373,0.111673,0.715,0.049,0.13,18.159,0.844,2.835,3.0,6.84925672689,7.09786942348
2006-06-09,HRL,1.365345,0.067308,0.008968,0.120641,0.722,0.049,0.12,17.978,0.864,2.849,3.086,7.11404690365,7.31543431112
2006-09-08,HRL,1.406894,0.059551,0.011548,0.132189,0.709,0.042,0.11,17.988,0.882,2.867,3.16,7.35197088648,7.70479911181
