datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-31,HRS,0.5285,0.0291,-0.0125,0.103,0.757,0.055,0.21,90.291,0.988,1.733,7.997,9.88521525031,11.7715029488
2001-11-06,HRS,0.4434,0.0171,-0.0102,0.0928,0.703,0.039,0.12,31.174,1.179,2.08,7.901,11.682527114,11.8426836167
2002-02-04,HRS,0.4515,0.0164,-0.0084,0.0844,0.659,0.036,0.12,30.975,1.2,2.031,8.058,11.6736295305,12.1629966221
2002-05-10,HRS,0.4833,0.0225,0.0465,0.1309,0.617,0.047,0.16,26.479,1.182,1.987,8.118,11.5223706113,10.8372566831
2002-09-03,HRS,0.4976,0.0266,0.0953,0.2262,0.616,0.053,0.19,25.273,1.113,1.815,8.186,10.6682025969,9.08443273678
2002-11-06,HRS,0.4502,0.0199,0.1371,0.3633,0.713,0.044,0.14,21.307,0.967,1.58,8.216,9.31576990735,10.303401674
2003-01-23,HRS,0.5239,0.0163,0.0166,0.3799,0.727,0.031,0.12,23.11,1.008,1.695,8.298,10.1343475878,9.86742008334
2003-05-06,HRS,0.5389,0.0226,0.0166,0.3965,0.727,0.042,0.16,22.316,0.948,1.61,8.445,9.80513699895,11.1842624389
2003-08-28,HRS,0.5797,0.0007,0.0461,0.4426,0.758,0.001,0.0,36.778,1.046,1.849,8.416,11.2999310242,12.2964603744
2003-10-22,HRS,0.5592,0.026,0.064,0.5066,0.767,0.046,0.18,35.947,1.071,1.957,8.585,12.1807917891,16.6829690318
2004-01-28,HRS,0.6086,0.0331,-0.0127,0.4939,0.735,0.054,0.24,38.674,1.394,2.604,8.718,16.4694270282,16.042343021
2004-04-28,HRS,0.6642,0.0355,0.041,0.5349,0.751,0.053,0.26,31.974,1.263,2.43,8.949,15.8288010174,16.6829690318
2004-09-01,HRS,0.6866,0.0382,0.0926,0.6275,0.741,0.056,0.27,24.446,1.289,2.539,9.109,16.9587941198,19.9661773373
2004-10-21,HRS,0.6694,0.0401,-0.0792,0.5483,0.677,0.06,0.28,26.819,1.499,2.97,9.452,20.4555444288,19.2721658255
2005-01-27,HRS,0.7372,0.0451,-0.3179,0.2304,0.714,0.061,0.32,26.806,1.545,3.14,9.637,22.261753876,21.4075858616
2005-04-27,HRS,0.7721,0.0558,0.0452,0.2756,0.684,0.072,0.4,20.759,1.298,2.64,10.026,19.4145271613,26.6749552839
2005-09-02,HRS,0.8219,0.0612,0.102,0.3776,0.708,0.074,0.43,24.899,1.678,3.498,10.209,26.4525156968,26.5859794491
2005-10-27,HRS,0.7597,0.0503,0.3515,0.7291,0.877,0.066,0.36,24.878,1.71,3.534,10.662,27.6447918836,31.7109875356
2006-01-26,HRS,0.8416,0.03,-0.451,0.2781,0.894,0.036,0.22,31.921,1.971,4.134,10.831,32.9477516399,32.6363362179
2006-05-02,HRS,0.8811,0.0725,0.0574,0.3355,0.913,0.082,0.51,29.922,1.938,4.021,11.296,33.4994018158,30.8924098551
2006-09-07,HRS,0.9924,0.0851,-0.1542,0.1813,0.891,0.086,0.6,24.122,1.651,3.453,11.731,30.2428862608,31.8622464549
2006-10-26,HRS,0.9468,0.0839,0.1148,0.2961,0.835,0.089,0.6,21.731,1.611,3.393,12.361,31.0347711909,33.7752269038
2007-01-31,HRS,1.0162,0.094,0.0718,0.3679,0.799,0.093,0.67,20.311,1.776,3.791,12.78,35.9462372738,34.771756254
2007-05-08,HRS,1.0724,0.2149,0.1139,0.4818,0.975,0.2,1.53,13.883,1.647,3.325,14.175,35.029786175,41.8898230409
2007-08-27,HRS,1.2076,0.0876,-0.1135,0.3683,1.314,0.073,0.64,16.727,1.894,4.221,13.09,41.5517148685,44.6569715043
2007-11-06,HRS,1.2305,0.1002,-0.0247,0.3436,1.077,0.081,0.72,18.162,1.993,4.209,15.27,46.8813673752,38.8646446565
2008-02-05,HRS,1.3177,0.1143,0.028,0.3716,1.06,0.087,0.79,14.265,1.528,3.339,15.379,38.579921985,38.010476642
2008-05-06,HRS,1.3296,0.108,-0.0797,0.2919,1.074,0.081,0.76,17.648,1.423,3.316,15.319,38.4731509832,36.666941536
2008-08-26,HRS,1.4332,0.1217,0.0781,0.37,1.005,0.085,0.86,15.679,1.311,3.063,16.01,37.2452844624,26.3012567776
2008-11-04,HRS,1.3677,0.1187,-0.0278,0.3422,1.06,0.087,0.84,10.972,0.932,2.233,16.138,27.173219959,31.9067343723
2009-02-10,HRS,1.5234,-0.0386,0.0105,0.3527,0.996,-0.025,-0.27,18.525,1.015,2.683,15.254,31.1415421927,23.2835402627
2009-05-12,HRS,1.3617,0.1142,0.0993,0.452,0.988,0.084,0.87,12.263,0.682,1.778,16.51,23.8206649245,28.700413599
2009-08-31,HRS,0.7522,-0.1564,-0.1708,0.2812,1.389,-0.208,-1.18,120.107,0.91,2.435,14.26,28.4465001225,31.2711222233
2009-10-28,HRS,1.203,0.1045,-0.0501,0.2311,1.286,0.087,0.79,231.533,1.134,2.857,14.574,34.3372417455,38.7642494426
2010-01-28,HRS,1.2177,0.1395,0.0791,0.3102,1.25,0.115,1.07,28.741,1.279,2.881,15.382,36.7266414591,41.4369421856
2010-04-29,HRS,1.3295,0.1662,0.0955,0.4057,1.186,0.125,1.27,27.834,1.569,3.337,16.234,45.2818643164,35.8425715097
2010-08-30,HRS,1.4559,0.1514,0.0495,0.4552,1.162,0.104,1.18,9.791,1.056,2.511,16.968,35.6251917898,37.7371102201
2010-10-28,HRS,1.4054,0.1639,-0.1138,0.3414,1.27,0.117,1.28,9.405,1.08,2.546,18.089,38.2836592763,41.2395138076
2011-01-27,HRS,1.4385,0.1511,0.3994,0.7408,1.373,0.105,1.19,9.746,1.095,2.582,18.967,40.7407169001,45.0212922278
2011-05-04,HRS,1.4133,0.1395,0.1443,0.8851,1.422,0.099,1.1,10.188,1.08,2.485,19.876,41.2475611066,32.1989009717
2011-08-29,HRS,1.6674,0.1335,-0.5182,0.3669,1.463,0.08,1.06,8.102,0.804,1.904,20.814,33.856260162,31.8323325256
2011-10-27,HRS,1.4603,0.1216,-0.0615,0.3054,1.835,0.083,1.01,8.166,0.745,2.064,18.178,33.3211115272,35.5459490193
2012-02-01,HRS,1.4464,0.1331,0.0816,0.387,1.747,0.092,1.17,8.884,0.783,2.089,19.963,35.6933346616,38.8722996493
2012-05-02,HRS,1.476,-0.3532,-0.088,0.299,1.979,-0.239,-3.15,138.842,0.803,2.567,16.86,37.308672315,40.9844596226
2012-08-27,HRS,1.079,0.1291,0.057,0.356,1.881,0.12,1.12,174.004,0.977,2.746,17.122,41.4160604224,41.8550134728
2012-10-31,HRS,1.2615,-0.0858,-0.0292,0.3268,1.896,-0.068,-0.77,-29.405,0.988,2.816,16.5,40.6474865674,42.1449594745
2013-01-30,HRS,1.2869,0.0485,0.0013,0.3281,1.874,0.038,0.43,-20.247,1.037,2.904,16.232,41.9749118571,41.6723443202
2013-05-01,HRS,1.2037,0.0948,0.1309,0.459,2.032,0.079,0.85,26.556,1.026,2.961,15.13,40.7883855013,51.7585121221
2013-08-26,HRS,1.3596,0.0555,-0.138,0.321,2.112,0.041,0.5,53.96,1.193,3.905,14.6,51.8039382342,57.4369410893
2013-10-30,HRS,1.1919,0.1258,0.0162,0.3372,1.933,0.106,1.17,20.46,1.317,4.074,15.322,56.869527076,64.891068587
2014-01-29,HRS,1.2232,0.1362,-0.0028,0.3344,1.85,0.111,1.27,18.257,1.512,4.393,16.12,64.9279175754,67.293906692
2014-04-30,HRS,1.2675,0.1414,0.0152,0.3496,1.762,0.112,1.32,17.062,1.553,4.361,16.906,68.1091412444,66.1521921569
2014-08-25,HRS,1.3294,0.1314,0.2114,0.561,1.701,0.099,1.23,13.876,1.481,4.064,17.429,65.9752150165,64.0884914639
2014-10-29,HRS,1.1554,0.1251,-0.1119,0.4491,1.693,0.108,1.19,13.426,1.441,3.992,17.171,64.2853983141,71.3946621345
2015-02-10,HRS,1.2063,0.1395,0.0204,0.4695,1.649,0.116,1.34,14.736,1.597,4.371,17.436,71.7910893964,75.2885571169
2015-05-06,HRS,1.1866,0.1257,0.0182,0.4877,1.627,0.106,1.21,15.696,1.679,4.449,17.75,74.5572314075,74.0813303432
2015-08-31,HRS,1.5347,-0.0563,-0.0067,0.481,2.863,-0.037,-0.58,28.536,1.875,2.806,27.379,73.3934459242,76.4470935987
2015-11-06,HRS,1.811,0.148,-0.161,0.32,2.629,0.082,1.2,27.741,1.725,2.86,28.032,76.5336483656,75.7083320617
2016-02-03,HRS,1.843,-0.152,0.191,0.511,2.721,-0.082,-1.23,148.46,1.523,2.987,26.26,75.3696572633,74.4299512124
2016-05-04,HRS,1.909,0.168,-0.209,0.302,2.535,0.088,1.35,86.162,1.307,2.757,27.145,72.4530730106,89.0197254873
2016-08-29,HRS,1.904,0.16,0.185,0.487,2.925,0.084,1.29,35.51,1.541,3.765,24.601,90.7640574046,91.388059866
2016-11-02,HRS,1.754,0.16,-0.203,0.284,2.858,0.091,1.29,34.457,1.562,3.792,24.641,91.8118371306,103.988036337
2017-02-03,HRS,1.7,0.177,0.077,0.361,2.68,0.104,1.42,19.521,1.786,4.112,25.521,103.314461706,109.024814979
2017-05-03,HRS,1.489,0.085,-0.059,0.302,2.812,0.057,0.7,22.945,1.95,4.583,23.768,108.736178898,116.69
