datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-14,IDXX,0.102001,0.009966,0.014632,0.049495,0.241,0.098,0.07,21.07,2.051,2.798,2.067,5.7825,6.44
2001-11-09,IDXX,0.097522,0.010217,0.019542,0.069037,0.256,0.105,0.08,23.792,2.332,3.096,2.149,6.655,6.855
2002-03-21,IDXX,0.095132,0.009828,-0.002371,0.066666,0.237,0.103,0.07,25.408,2.476,3.168,2.266,7.04,6.975
2002-05-14,IDXX,0.096551,0.007185,0.014812,0.081478,0.258,0.074,0.05,26.515,2.521,3.138,2.319,7.2625,7.005
2002-08-14,IDXX,0.10569,0.012964,-0.012908,0.06857,0.23,0.123,0.1,24.478,2.492,3.223,2.257,7.39,9.0325
2002-11-14,IDXX,0.104534,0.012483,0.036627,0.105197,0.285,0.119,0.09,29.604,3.128,3.932,2.4,9.1375,9.1675
2003-03-20,IDXX,0.105895,0.012757,0.008591,0.113788,0.222,0.12,0.1,26.723,2.939,3.557,2.545,8.9125,8.965
2003-05-14,IDXX,0.109247,0.012062,0.019663,0.133451,0.236,0.11,0.09,24.701,2.919,3.514,2.613,9.0875,9.9
2003-08-14,IDXX,0.121846,0.01669,0.017983,0.151434,0.252,0.137,0.12,25.085,3.068,3.64,2.728,9.85,11.9975
2003-11-13,IDXX,0.120061,0.015973,0.025423,0.176857,0.234,0.133,0.12,28.984,3.645,4.136,2.927,11.95,12.735
2004-03-03,IDXX,0.124838,0.012365,0.00986,0.186717,0.263,0.099,0.09,31.02,3.72,4.285,2.973,12.7575,15.1825
2004-05-10,IDXX,0.133417,0.017791,-0.006207,0.18051,0.225,0.133,0.13,32.954,4.139,4.849,3.069,14.9025,11.535
2004-08-09,IDXX,0.137379,0.02391,-0.015851,0.164659,0.234,0.174,0.17,22.699,3.083,3.749,3.065,11.6025,13.09
2004-11-08,IDXX,0.134111,0.019696,-0.018125,0.146534,0.254,0.147,0.14,23.65,3.293,4.268,3.001,12.96,13.885
2005-03-15,IDXX,0.144274,0.016935,-0.009603,0.047156,0.293,0.117,0.13,22.775,3.248,4.486,2.972,13.5525,14.4075
2005-05-05,IDXX,0.152426,0.01769,-0.002577,0.044579,0.259,0.116,0.14,23.961,3.299,4.838,2.939,14.3775,15.925
2005-08-03,IDXX,0.16063,0.019933,0.007775,0.052354,0.275,0.124,0.15,27.642,3.47,5.233,3.005,15.7625,17.37
2005-11-02,IDXX,0.158069,0.020604,0.005414,0.057768,0.294,0.13,0.16,29.487,3.601,5.821,2.931,17.285,20.2325
2006-03-10,IDXX,0.16697,0.020027,0.009383,0.067151,0.33,0.12,0.16,32.872,4.031,6.971,2.881,20.19,19.75
2006-05-08,IDXX,0.168164,0.018273,-0.031812,0.035339,0.309,0.109,0.14,31.606,3.811,6.863,2.854,19.74,22.1225
2006-08-03,IDXX,0.191364,0.02578,0.014684,0.050023,0.404,0.135,0.2,32.979,4.08,7.822,2.837,22.4175,20.8025
2006-11-01,IDXX,0.18738,0.024953,0.000927,0.05095,0.354,0.133,0.2,29.28,3.652,6.726,3.105,20.8225,21.545
2007-03-01,IDXX,0.192209,0.024672,0.010716,0.061666,0.365,0.128,0.2,28.573,3.621,6.531,3.278,21.49,22.425
2007-05-02,IDXX,0.211155,0.021027,-0.007729,0.053937,0.569,0.1,0.17,29.107,3.589,6.811,3.309,22.6525,24.865
2007-07-31,IDXX,0.237046,0.021664,-0.004349,0.049588,0.68,0.091,0.17,33.224,3.705,7.976,3.116,25.065,29.46
2007-10-31,IDXX,0.229385,0.025795,0.008919,0.058507,0.605,0.112,0.21,40.019,4.286,8.874,3.438,30.445,28.05
2008-02-27,IDXX,0.244969,0.025528,0.001853,0.06036,0.602,0.104,0.21,36.236,3.693,7.772,3.582,27.945,25.13
2008-04-25,IDXX,0.249074,0.027551,-0.00014,0.06022,0.699,0.111,0.23,32.502,3.402,7.536,3.562,27.095,27.125
2008-07-25,IDXX,0.28057,0.039364,0.015045,0.075265,0.785,0.14,0.33,25.335,2.984,6.992,3.569,25.2,18.615
2008-10-24,IDXX,0.251093,0.025699,0.009321,0.084586,0.781,0.102,0.21,16.042,1.848,4.334,3.677,15.91,16.285
2009-02-20,IDXX,0.243293,0.023555,-0.005718,0.078868,0.747,0.097,0.2,16.471,1.869,4.367,3.685,16.18,19.125
2009-04-24,IDXX,0.236455,0.026071,0.007427,0.086295,0.728,0.11,0.22,20.489,2.323,5.271,3.767,19.91,23.995
2009-07-24,IDXX,0.265723,0.033667,0.017449,0.103744,0.697,0.127,0.28,27.043,2.958,6.264,3.994,25.15,26.3
2009-10-23,IDXX,0.25912,0.031536,0.002984,0.106728,0.631,0.122,0.27,27.748,3.172,6.377,4.259,27.19,26.945
2010-02-19,IDXX,0.270335,0.030951,0.0,0.106728,0.571,0.114,0.27,25.153,2.98,5.975,4.398,26.475,30.2
2010-04-23,IDXX,0.268525,0.033026,-0.000374,0.106354,0.658,0.123,0.28,29.839,3.624,7.754,4.283,33.43,31.025
2010-07-23,IDXX,0.281482,0.037193,0.011621,0.117975,0.59,0.132,0.32,26.043,3.202,6.592,4.539,29.945,31.23
2010-10-22,IDXX,0.269628,0.034694,0.015537,0.133512,0.577,0.129,0.3,26.724,3.331,6.642,4.743,31.57,39.665
2011-02-22,IDXX,0.283757,0.036371,0.023403,0.156915,0.562,0.128,0.32,31.451,4.027,7.738,4.997,38.75,39.94
2011-04-21,IDXX,0.292672,0.036612,-0.003456,0.153459,0.524,0.125,0.32,31.718,4.075,7.699,5.194,40.065,40.74
2011-07-22,IDXX,0.317862,0.048657,0.005939,0.159398,0.561,0.153,0.42,31.623,4.247,8.121,5.314,43.485,36.435
2011-10-21,IDXX,0.300954,0.038507,0.022101,0.181499,0.654,0.128,0.34,25.843,3.463,7.063,5.167,36.855,44.515
2012-02-17,IDXX,0.307201,0.03801,0.002396,0.183895,0.91,0.124,0.34,30.112,3.998,9.029,4.84,44.245,44.09
2012-04-20,IDXX,0.322676,0.040743,0.001596,0.185491,0.872,0.126,0.37,28.674,3.81,8.392,5.134,43.22,46.355
2012-07-20,IDXX,0.335649,0.051317,0.016322,0.201813,0.809,0.153,0.47,30.306,4.034,8.66,5.355,44.92,49.48
2012-10-19,IDXX,0.315475,0.042853,0.019628,0.221441,0.771,0.136,0.39,30.855,4.165,8.64,5.647,48.795,45.6
2013-02-19,IDXX,0.319538,0.043354,0.002545,0.223986,0.735,0.136,0.4,28.155,3.881,7.889,5.785,45.98,45.0
2013-04-23,IDXX,0.332106,0.04486,0.004378,0.228364,0.794,0.135,0.41,25.704,3.599,7.427,5.782,43.325,48.71
2013-07-23,IDXX,0.352583,0.053995,0.022649,0.251013,1.118,0.153,0.51,27.362,3.837,9.214,5.12,48.185,52.985
2013-10-22,IDXX,0.338297,0.045688,0.013798,0.264811,1.235,0.135,0.43,28.511,3.99,10.016,5.099,51.615,62.0
2014-02-18,IDXX,0.354073,0.043258,0.014247,0.279058,1.375,0.122,0.41,34.51,4.706,12.507,4.987,62.8,60.325
2014-04-25,IDXX,0.360203,0.046585,0.007145,0.286203,1.464,0.129,0.45,33.499,4.518,12.395,4.962,61.875,66.525
2014-07-25,IDXX,0.390122,0.057218,0.018845,0.305048,1.833,0.147,0.56,33.66,4.497,14.326,4.429,64.53,63.175
2014-10-24,IDXX,0.383523,0.052142,-0.012313,0.292735,4.626,0.136,0.53,32.362,4.333,28.104,2.306,67.6,79.54
2015-02-17,IDXX,0.351959,0.025961,0.029801,0.322536,10.778,0.074,0.28,40.417,4.948,62.562,1.231,78.005,80.53
2015-04-28,IDXX,0.382477,0.046594,-0.140376,0.18216,41.06,0.122,0.49,34.357,4.144,183.705,0.361,66.78,66.46
2015-07-30,IDXX,0.413343,0.056912,-0.019008,0.163152,173.455,0.138,0.61,36.142,4.286,775.111,0.091,71.34,76.74
2015-10-28,IDXX,0.406387,0.044223,-0.022002,0.14115,-38.98,0.109,0.48,36.094,4.034,-161.195,-0.423,68.92,69.41
2016-02-17,IDXX,0.399685,0.044349,-0.012156,0.128994,-18.532,0.111,0.48,33.377,4.002,-76.207,-0.926,71.52,80.79
2016-04-29,IDXX,0.41755,0.046019,0.003959,0.132953,-21.001,0.11,0.51,39.435,4.613,-102.161,-0.822,84.35,93.51
2016-08-02,IDXX,0.466569,0.067202,0.008186,0.141139,-173.39,0.144,0.75,46.982,5.609,-1097.541,-0.096,105.88,107.14
2016-11-01,IDXX,0.448308,0.056455,0.008933,0.150072,26.352,0.126,0.63,43.559,5.382,169.966,0.61,103.98,141.95
2017-02-17,IDXX,0.442996,0.052369,0.004829,0.154901,-15.126,0.118,0.58,56.371,7.05,-115.521,-1.214,142.23,162.76
2017-04-28,IDXX,0.462021,0.069019,0.005507,0.160408,-22.216,0.149,0.78,60.319,8.122,-199.5,-0.841,167.73,166.46
2017-08-01,IDXX,0.50894,0.085357,0.005567,0.165975,-19.96,0.168,0.97,51.291,7.249,-156.366,-0.981,154.68,152.6
