datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-14,IFF,0.478216,0.033005,-0.005245,0.060689,3.429,0.069,0.34,33.337,1.653,5.174,5.625,21.107847866,21.5799939505
2001-11-14,IFF,0.462719,0.033555,0.005695,0.066384,3.392,0.073,0.35,32.73,1.596,5.34,5.663,22.1697306273,25.6304556479
2002-03-27,IFF,0.41917,0.02917,-0.017863,0.048521,3.327,0.07,0.31,28.496,1.793,6.306,5.55,25.718633821,24.8074593657
2002-05-10,IFF,0.445844,0.041947,-0.014049,0.034472,3.165,0.094,0.44,22.98,1.752,5.885,5.687,24.6678439249,22.3743475923
2002-08-12,IFF,0.476336,0.045401,-0.000357,0.034115,2.944,0.095,0.48,19.129,1.591,4.954,6.128,22.3669657554,24.097135279
2002-11-12,IFF,0.462777,0.049599,-0.010971,0.023144,2.868,0.107,0.52,18.451,1.699,5.327,6.081,24.1045543477,22.9661515532
2003-03-25,IFF,0.424292,0.038997,-0.008286,0.014858,2.885,0.092,0.42,16.395,1.594,5.02,6.122,23.0110804444,24.0743975362
2003-05-13,IFF,0.466224,0.032017,0.001008,0.015866,2.893,0.069,0.34,18.191,1.651,5.133,6.249,24.0968619818,22.7939565933
2003-08-12,IFF,0.482611,0.051398,-0.00044,0.015426,2.553,0.106,0.55,16.686,1.563,4.394,6.965,22.9294109408,23.887707272
2003-11-12,IFF,0.480886,0.051071,-0.000432,0.014994,2.438,0.106,0.55,17.276,1.617,4.48,7.174,24.1977408263,28.581813659
2004-03-11,IFF,0.471799,0.038111,-0.002913,0.012081,2.106,0.081,0.4,20.529,1.863,4.771,7.902,28.6425936987,27.5384484059
2004-05-07,IFF,0.535015,0.056358,-0.000285,0.011796,1.987,0.105,0.6,16.889,1.688,4.242,8.338,26.8974870133,27.9907655704
2004-08-06,IFF,0.524177,0.056502,-0.000551,0.011245,1.892,0.108,0.6,16.85,1.692,4.203,8.605,27.6994346771,30.038984712
2004-11-09,IFF,0.506229,0.042305,0.003019,0.014264,1.738,0.084,0.45,19.187,1.82,4.404,8.942,30.308565344,31.4157071138
2005-03-14,IFF,0.468232,0.040906,0.018332,0.032596,1.596,0.087,0.43,19.833,1.912,4.271,9.632,31.8178776628,29.440253929
