datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-13,ILMN,0.00046984,-0.005892927,-0.102175662,0.011423458,0.111,-12.542,-0.1,-20.689,183.121,3.41,1.974,6.21,4.47
2001-11-14,ILMN,0.000691356,-0.005784894,-0.007680099,0.003743359,0.123,-8.367,-0.1,-13.945,133.879,2.604,1.898,4.6,4.73
2002-03-29,ILMN,0.000761112,-0.008227102,0.000421377,0.007457,0.147,-10.809,-0.13,-12.317,122.987,2.863,1.77,3.75,3.4
2002-05-13,ILMN,0.001269,-0.008667,0.006252,0.010417,0.418,-6.83,-0.14,-7.92,70.909,2.283,1.627,3.5,1.92
2002-08-14,ILMN,0.0019,-0.016447,-0.009712,0.000705,0.578,-8.656,-0.27,-3.617,30.626,1.671,1.378,2.185,2.6
2002-11-14,ILMN,0.002985,-0.007602,0.00048,0.001185,0.632,-2.547,-0.12,-4.626,27.387,2.407,1.266,2.9145,1.22
2003-03-27,ILMN,0.003886,-0.007616,0.000852,0.014567,0.699,-1.96,-0.13,-2.018,8.107,1.134,1.146,1.245,1.135
2003-05-06,ILMN,0.004276,-0.00896,0.002842,0.017361,0.804,-2.095,-0.14,-1.907,5.938,1.213,1.011,1.185,1.495
2003-08-04,ILMN,0.004769,-0.008592,0.001587,0.018894,0.906,-1.802,-0.14,-2.982,6.14,1.748,0.879,1.495,3.02
2003-11-04,ILMN,0.008249,-0.005511,0.003523,0.022349,1.081,-0.668,-0.09,-6.478,9.384,3.892,0.796,3.025,3.63
2004-03-12,ILMN,0.010741,-0.004,0.002476,0.012565,1.094,-0.372,-0.07,-8.923,8.614,5.096,0.735,3.67,3.705
2004-05-04,ILMN,0.010803,-0.003931,-0.003725,0.00884,1.196,-0.364,-0.06,-11.441,7.294,5.637,0.687,3.8,2.155
2004-08-06,ILMN,0.011486,-0.003516,0.04527,0.066179,0.798,-0.306,-0.05,-9.53,3.915,2.319,0.997,2.14,3.47
