datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-14,INCY,0.056051,-0.009891,-0.050294,0.064395,0.41,-0.176,-0.15,-32.965,5.403,1.919,9.145,17.48,14.17
2001-11-14,INCY,0.057319,-0.017827,-0.018907,0.045488,0.415,-0.311,-0.27,-20.988,4.333,1.633,8.791,14.35,11.9
2002-04-01,INCY,0.054772,-0.145205,-0.00212,0.043368,0.603,-2.651,-2.19,-4.341,3.628,1.807,6.612,11.89,8.16
2002-05-15,INCY,0.029014,-0.013441,0.055788,0.099156,0.582,-0.463,-0.2,-2.892,2.734,1.279,6.303,8.02,5.77
2002-08-14,INCY,0.029059,-0.017541,-0.054963,0.044193,0.597,-0.604,-0.26,-2.237,2.551,1.074,5.995,6.428,5.24
2002-11-14,INCY,0.02239,-0.038411,-0.028457,0.015736,0.628,-1.716,-0.57,-1.614,2.562,0.935,5.469,5.1,3.05
2003-03-28,INCY,0.021149,-0.067492,0.007192,0.022928,0.826,-3.191,-1.0,-1.552,2.09,0.702,4.476,3.0,3.36
2003-05-14,INCY,0.012509,-0.055784,-0.012291,0.010637,0.882,-4.46,-0.81,-1.4,2.947,0.95,3.827,3.5,4.15
2003-08-13,INCY,0.011036,-0.0269,0.011378,0.022015,0.982,-2.437,-0.37,-1.305,3.669,1.037,3.301,3.41,5.91
2003-11-13,INCY,0.013249,-0.043012,-0.007708,0.014307,1.141,-3.246,-0.6,-2.157,7.19,2.147,2.688,5.75,8.69
2004-03-15,INCY,0.010298,-0.040767,0.015391,0.029698,1.459,-3.959,-0.56,-3.427,12.114,3.697,2.131,7.85,7.53
2004-05-07,INCY,0.006641,-0.037715,0.106149,0.135847,3.944,-5.679,-0.52,-3.579,12.883,4.508,1.622,7.3,5.81
2004-08-06,INCY,0.005163,-0.0636,0.017086,0.152933,9.224,-12.318,-0.87,-2.22,11.623,7.807,0.722,5.6,9.01
2004-11-05,INCY,0.003393,-0.025976,-0.074209,0.078724,14.296,-7.656,-0.35,-4.215,27.782,23.027,0.42,9.59,7.22
2005-03-11,INCY,-0.001052,-0.037526,0.053456,0.13218,5.584,35.671,-0.47,-3.844,44.784,8.068,0.99,7.63,7.94
2005-05-06,INCY,0.002915,-0.020131,-0.027344,0.104836,7.142,-6.906,-0.24,-4.488,63.425,11.038,0.721,7.95,7.86
2005-08-05,INCY,0.002676,-0.025145,-0.067659,0.037177,11.937,-9.396,-0.3,-5.797,79.5,18.684,0.405,7.56,4.99
2005-11-01,INCY,0.001228,-0.03021,0.01202,0.049197,112.26,-24.601,-0.36,-3.728,73.05,119.852,0.042,5.05,6.2
2006-03-03,INCY,0.001028,-0.027556,-0.037703,0.011494,-20.287,-26.805,-0.33,-4.879,64.071,-25.916,-0.232,6.01,4.17
2006-05-04,INCY,0.006465,-0.017306,0.03731,0.048804,-11.557,-2.677,-0.21,-3.514,30.898,-9.323,-0.452,4.21,4.26
