datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-08-08,INTC,6.334,0.196,0.344,3.205,0.242,0.031,0.03,37.008,6.544,5.423,5.463,20.2087654598,19.2948712866
2001-11-07,INTC,6.545,0.106,1.659,4.864,0.232,0.016,0.02,63.719,6.72,5.289,5.344,19.3221914583,22.5456443658
2002-03-13,INTC,6.983,0.504,3.106,7.97,0.239,0.072,0.07,162.72,7.916,5.863,5.347,21.4180204433,17.6315362978
2002-05-07,INTC,6.781,0.936,-1.446,6.524,0.238,0.138,0.14,100.367,6.562,4.876,5.365,17.8845878273,12.1343798642
2002-08-08,INTC,6.319,0.446,-0.456,6.068,0.223,0.071,0.07,61.497,4.601,3.443,5.329,12.5863375793,12.5794897351
2002-11-06,INTC,6.504,0.686,0.61,6.678,0.236,0.105,0.1,49.353,4.774,3.595,5.313,13.1347696634,10.9139315544
2003-03-11,INTC,7.16,1.049,0.726,7.404,0.247,0.147,0.16,33.276,3.875,2.924,5.376,10.879611015,13.4265703688
2003-05-07,INTC,6.751,0.915,-0.27,7.134,0.237,0.136,0.14,40.437,4.683,3.536,5.4,13.1654599932,16.6904500644
2003-08-06,INTC,6.816,0.896,1.248,8.382,0.253,0.131,0.14,44.318,5.771,4.428,5.439,16.6010492194,23.1616958455
2003-11-05,INTC,7.833,1.657,1.024,9.406,0.258,0.212,0.25,48.791,7.717,5.899,5.733,23.2167117501,20.6706995339
2004-02-23,INTC,8.741,2.173,-1.435,7.971,0.246,0.249,0.33,33.334,6.239,4.968,5.812,19.9816762161,19.9816762161
2004-02-24,INTC,8.741,2.173,-1.435,7.971,0.246,0.249,0.33,33.564,6.282,5.003,5.812,20.1194808796,17.7285699669
2004-05-03,INTC,8.091,1.73,-0.432,7.539,0.236,0.214,0.27,26.088,5.35,4.419,5.881,17.9421671954,16.8240348825
2004-08-02,INTC,8.049,1.757,-0.386,7.153,0.261,0.218,0.27,21.83,4.883,4.139,5.984,17.1828740186,15.697761234
2004-11-04,INTC,8.471,1.906,-0.62,6.533,0.251,0.225,0.3,19.121,4.338,3.788,5.991,15.8431749905,16.6920190532
2005-02-22,INTC,9.598,2.123,1.874,8.407,0.248,0.221,0.33,19.685,4.325,3.835,6.129,16.5113394132,17.2006031576
2005-05-11,INTC,9.434,2.178,0.872,9.279,0.261,0.231,0.35,19.2,4.301,4.055,6.072,17.2703259105,18.7188034908
2005-08-08,INTC,9.231,2.038,-0.304,8.975,0.237,0.221,0.33,19.739,4.43,4.327,6.122,18.6768487576,16.432270528
2005-11-01,INTC,9.96,1.995,-0.118,8.857,0.291,0.2,0.33,16.386,3.573,3.723,6.05,15.8379118068,14.3531867147
2006-02-27,INTC,10.201,2.453,-1.533,7.324,0.335,0.24,0.41,13.933,3.109,3.336,6.023,14.4659818951,13.8257470904
2006-05-08,INTC,8.94,1.357,-3.376,3.948,0.374,0.152,0.23,14.915,3.052,3.405,5.869,14.2509366473,12.5147459568
2006-08-02,INTC,8.009,0.885,-0.512,3.436,0.325,0.111,0.15,15.166,2.734,2.916,5.998,12.4651405085,14.7394302966
2006-11-03,INTC,8.739,1.301,1.033,4.469,0.338,0.149,0.23,19.723,3.295,3.377,6.07,14.689538608,14.9471970828
2007-02-26,INTC,9.694,1.501,2.129,6.598,0.316,0.155,0.26,23.839,3.398,3.272,6.376,15.0119970702,15.7895969184
2007-05-03,INTC,8.852,1.636,-2.126,4.472,0.299,0.185,0.28,23.729,3.579,3.366,6.496,15.7337969293,17.3857732343
2007-08-06,INTC,8.68,1.278,0.237,4.709,0.267,0.147,0.22,24.653,3.918,3.55,6.834,17.5456693257,19.2689696283
2007-11-02,INTC,10.09,1.791,1.135,5.844,0.297,0.178,0.31,25.25,4.199,3.831,7.007,19.4871089071,14.8136785571
2008-02-20,INTC,10.712,2.271,1.463,7.307,0.301,0.212,0.39,16.909,3.077,2.759,7.322,14.9753357636,17.113619722
2008-05-02,INTC,9.673,1.443,-1.424,5.883,0.313,0.149,0.25,19.912,3.45,3.322,7.026,17.3267133123,16.4035163441
2008-08-01,INTC,9.47,1.601,-1.804,4.079,0.298,0.169,0.28,17.682,3.146,3.113,7.082,16.5217931631,12.0260473406
2008-10-31,INTC,10.217,2.014,-0.375,3.704,0.355,0.197,0.36,12.166,2.225,2.291,6.945,11.9226694444,9.68993595506
2009-02-23,INTC,8.226,0.234,-0.354,3.35,0.297,0.028,0.04,12.696,1.788,1.719,7.025,9.15918828929,11.6385380994
2009-04-30,INTC,7.145,0.629,0.186,3.536,0.24,0.088,0.11,19.681,2.514,2.256,7.01,11.9645688084,14.7220074989
2009-08-03,INTC,8.024,-0.398,0.29,3.826,0.256,-0.05,-0.07,43.741,3.226,2.777,6.979,14.8137810521,14.7234267611
2009-11-02,INTC,9.389,1.856,0.283,4.109,0.306,0.198,0.34,45.228,3.202,2.689,7.049,14.6463810952,16.2910535695
2010-02-22,INTC,10.569,2.282,-0.122,3.987,0.273,0.216,0.42,26.387,3.282,2.764,7.55,16.3301771371,17.8716457025
2010-05-03,INTC,10.299,2.442,1.001,4.988,0.3,0.237,0.44,20.935,3.381,3.017,7.759,18.2002836708,16.5722615457
2010-07-30,INTC,10.765,2.887,0.526,5.514,0.259,0.268,0.52,12.116,2.796,2.502,8.24,16.233408837,16.3329246533
2010-11-02,INTC,11.102,2.955,0.003,5.517,0.27,0.266,0.53,10.738,2.655,2.379,8.555,16.1503007996,17.7263750758
2011-02-18,INTC,11.457,3.18,-0.019,5.498,0.278,0.278,0.57,10.599,2.785,2.458,8.903,17.8635386517,18.9037810314
2011-05-09,INTC,12.847,3.16,-1.31,4.188,0.384,0.246,0.58,9.906,2.614,2.549,8.685,18.5053787645,17.0663975986
2011-08-08,INTC,13.032,2.954,0.447,4.635,0.356,0.227,0.56,8.621,2.18,2.167,9.203,16.5081893077,20.0380358529
2011-11-04,INTC,14.233,3.468,2.422,7.057,0.53,0.244,0.67,9.472,2.344,2.621,8.879,19.6571475681,22.3067401739
2012-02-23,INTC,13.887,3.36,-1.992,5.065,0.549,0.242,0.66,10.292,2.467,2.901,9.05,22.24832372,24.0091625441
2012-05-04,INTC,12.906,2.738,-0.636,4.429,0.536,0.212,0.55,11.211,2.597,3.002,9.354,23.4543289559,21.6048836619
2012-08-01,INTC,13.501,2.827,0.794,5.223,0.483,0.209,0.56,10.468,2.379,2.66,9.713,21.7982347608,18.6107042908
2012-10-31,INTC,13.457,2.972,-1.703,3.52,0.511,0.221,0.59,9.047,2.002,2.185,9.862,18.3393865062,18.2793383337
2013-02-19,INTC,13.477,2.468,4.958,8.478,0.647,0.183,0.49,9.476,1.955,2.037,10.311,18.253367216,20.2574717977
2013-04-29,INTC,12.58,2.045,-2.78,5.698,0.623,0.163,0.41,11.454,2.228,2.307,10.346,20.56912521,20.3253659648
2013-07-29,INTC,12.811,2.0,-1.92,3.778,0.591,0.156,0.4,12.207,2.213,2.15,10.816,20.3078892958,21.3852101688
2013-10-28,INTC,13.483,2.95,1.103,4.881,0.633,0.219,0.59,12.797,2.313,2.184,11.133,21.4955114385,22.2100643389
2014-02-14,INTC,13.834,2.625,0.793,5.674,0.585,0.19,0.53,12.794,2.335,2.113,11.714,22.2595199478,24.0534097597
2014-04-25,INTC,12.764,1.93,-0.897,4.777,0.584,0.151,0.39,13.753,2.471,2.252,11.668,23.6128052445,31.0621407238
2014-07-25,INTC,13.831,2.796,-1.728,3.049,0.549,0.202,0.56,16.462,3.145,2.862,11.895,31.0621407238,30.8093875223
2014-10-29,INTC,14.554,3.317,0.094,3.143,0.616,0.228,0.68,15.373,2.983,2.925,11.49,30.9737529566,31.5926866427
2015-02-13,INTC,14.721,3.661,-0.582,2.561,0.646,0.249,0.76,13.904,2.913,2.913,11.714,31.8102480013,29.6994399267
2015-04-27,INTC,12.781,1.992,1.683,4.244,0.631,0.156,0.42,13.104,2.759,2.807,11.585,30.0882729931,26.1687648881
2015-07-27,INTC,13.195,2.706,0.21,4.454,0.568,0.205,0.57,11.543,2.439,2.336,12.123,26.43921898,32.4116785195
2015-10-28,INTC,14.465,3.109,2.611,7.065,0.726,0.215,0.65,14.283,2.969,2.869,12.028,32.6373472994,26.9581644337
2016-02-12,INTC,14.914,3.613,8.243,15.308,0.687,0.242,0.77,11.847,2.444,2.215,12.939,27.3593844572,28.9260531202
2016-05-02,INTC,13.702,2.046,-12.247,3.061,0.724,0.149,0.43,12.597,2.568,2.363,12.955,29.2412974244,33.5913231906
2016-08-01,INTC,13.533,1.33,0.824,3.885,0.79,0.098,0.28,16.328,2.912,2.687,12.977,33.5816871254,33.7298124379
2016-10-31,INTC,15.778,3.378,0.867,4.752,0.778,0.214,0.71,15.94,2.853,2.618,13.332,33.8560322312,35.8757499377
2017-02-17,INTC,16.374,3.562,0.808,5.56,0.711,0.218,0.75,16.719,2.904,2.604,13.984,35.9447228159,36.3881198901
2017-04-27,INTC,14.796,2.964,-0.626,4.934,0.73,0.2,0.63,15.69,2.914,2.637,14.153,36.8807833059,34.4924175451
2017-07-27,INTC,14.763,2.808,6.753,11.687,0.779,0.19,0.6,12.927,2.663,2.395,14.57,34.7107868072,36.3
