datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,eps,pe,ps,pb,bvps,P0,P1
2001-10-05,INTU,0.191169,-0.061289,0.0125,0.680514,0.37,-0.321,-0.15,-91.18,5.984,3.493,5.151,16.7209089357,20.6087307951
2001-12-07,INTU,0.208766,-0.092427,-0.03506,0.640048,0.389,-0.443,-0.22,-64.314,7.092,4.427,4.869,20.070704906,17.4928591244
2002-02-28,INTU,0.547245,0.119868,0.073511,0.744868,0.424,0.219,0.28,-167.373,5.872,3.641,5.207,17.726783424,20.8099056928
2002-05-31,INTU,0.545226,0.144481,-0.033764,0.738539,0.395,0.265,0.34,83.644,6.201,4.006,5.458,20.4590192434,20.3233431496
2002-09-25,INTU,0.057111,-0.031762,0.336099,0.735496,0.337,-0.556,-0.08,66.14,6.825,4.184,5.225,20.7350499169,24.9082594219
2002-12-05,INTU,0.223282,-0.054685,-0.126911,0.616325,0.39,-0.245,-0.13,59.436,7.702,5.485,4.634,24.1035598312,21.5210355636
2003-02-28,INTU,0.558076,0.12843,0.092078,0.639873,0.422,0.23,0.31,52.423,7.064,4.893,4.856,22.2321654344,21.273075806
2003-05-30,INTU,0.634698,0.293977,0.070364,0.775449,0.408,0.463,0.71,28.051,6.397,4.171,5.492,21.4836076757,23.2754678106
2003-09-19,INTU,0.245097,-0.024688,-0.274436,0.47605,0.42,-0.101,-0.06,28.391,5.9,4.957,4.868,22.9105459032,23.2988602406
2003-12-05,INTU,0.242528,-0.053965,-0.022436,0.430761,0.406,-0.223,-0.14,28.958,5.924,5.386,4.65,23.4626072503,20.2765582897
2004-03-09,INTU,0.636289,0.149066,-0.059776,0.087831,0.504,0.234,0.38,23.474,4.864,4.478,4.832,20.3280216356,19.1490431656
2004-06-14,INTU,0.712953,0.264033,-0.069311,0.01852,0.524,0.37,0.68,22.938,4.176,3.944,5.0,18.7373363983,20.5713029072
2004-09-24,INTU,0.275893,-0.042104,0.008729,0.027249,0.479,-0.153,-0.1,26.167,4.442,4.552,4.773,20.5245180473,20.2204164578
2004-12-10,INTU,0.26599,-0.046136,0.02471,0.052008,0.492,-0.173,-0.12,25.04,4.301,4.943,4.369,20.3046292056,20.7210144589
2005-03-08,INTU,0.662639,0.147252,-0.015442,0.036566,0.619,0.222,0.4,25.174,4.241,4.742,4.601,20.5198395613,20.3514140656
2005-06-07,INTU,0.849505,0.300507,0.085787,0.122353,0.645,0.354,0.82,22.121,3.872,4.319,5.019,20.5291965333,21.1982200301
2005-09-26,INTU,0.259569,-0.019996,-0.037205,0.083842,0.602,-0.077,-0.05,21.02,3.937,4.731,4.704,20.9970451325,24.9831151977
2005-12-05,INTU,0.304071,-0.045804,-0.008868,0.074974,0.628,-0.151,-0.13,24.409,4.491,6.213,4.229,24.6509426923,22.6953355476
2006-03-09,INTU,0.742704,0.182973,0.047732,0.122706,0.734,0.246,0.52,21.564,4.178,5.796,4.436,24.2018080371,25.0579709736
2006-06-09,INTU,0.952603,0.298648,0.130263,0.252969,0.769,0.314,0.87,22.269,4.099,5.535,4.868,25.3573940771,30.5317995843
2006-09-15,INTU,0.342925,-0.018854,-0.073368,0.179601,0.594,-0.055,-0.05,27.348,4.868,6.561,5.075,30.9060784637,29.4931756941
2006-12-01,INTU,0.362071,-0.05893,-0.013527,0.166074,0.576,-0.163,-0.17,26.609,4.477,5.975,5.195,28.8381876552,27.191360586
2007-03-02,INTU,0.763307,0.145362,0.120254,0.286328,0.664,0.19,0.42,27.239,4.121,5.47,5.253,27.2475024179,28.34226814
2007-05-30,INTU,1.154397,0.367211,-0.021755,0.264573,1.168,0.318,1.08,23.645,3.92,5.29,5.724,28.5668354677,26.6767271269
2007-09-14,INTU,0.393172,-0.01364,-0.009372,0.255201,1.089,-0.035,-0.04,21.92,3.608,4.74,6.03,26.6299422669,27.9305613727
2007-11-30,INTU,0.444938,-0.020804,-0.109133,0.146068,1.125,-0.047,-0.06,20.403,3.54,5.248,5.506,27.4346418576,25.9655972561
2008-02-29,INTU,0.834874,0.115247,0.08408,0.230148,1.371,0.138,0.35,19.429,3.079,4.724,5.564,24.85211759,27.0697199502
2008-05-30,INTU,1.313008,0.444179,0.241356,0.471504,1.215,0.338,1.37,17.708,3.113,4.534,6.34,27.0977908662,28.5761924397
2008-09-12,INTU,0.478154,-0.06186,-0.058164,0.41334,1.248,-0.129,-0.18,20.684,3.211,4.757,6.446,28.4826227198,21.5210355636
2008-12-04,INTU,0.481379,-0.052144,-0.243783,0.169557,1.105,-0.108,-0.16,16.045,2.3,3.671,6.023,20.8941184406,21.3245391519
2009-03-02,INTU,0.790976,0.08504,0.169151,0.338708,1.158,0.108,0.27,17.167,2.327,3.504,6.346,20.7631208329,24.9550442818
2009-05-29,INTU,1.434408,0.48482,0.88332,1.222028,0.936,0.338,1.51,19.291,2.761,3.384,8.073,25.4696777409,26.0685239479
2009-09-15,INTU,0.475774,-0.070675,-0.543126,0.678902,0.888,-0.149,-0.22,20.006,2.81,3.499,7.902,25.993668172,27.4346418576
2009-12-04,INTU,0.493,-0.068,-0.366,0.313,0.96,-0.138,-0.21,21.855,2.95,4.148,7.1,27.8369916529,30.2791613408
2010-03-01,INTU,0.837,0.114,0.024,0.337,1.118,0.136,0.36,22.445,3.187,4.578,7.185,30.7844378279,33.3763190675
2010-05-28,INTU,1.607,0.576,0.093,0.43,0.899,0.358,1.83,20.363,3.29,3.928,9.102,33.4418178714,41.2642464502
2010-09-16,INTU,0.537,-0.048,-0.216,0.214,0.843,-0.089,-0.15,24.822,4.124,5.051,8.927,41.984733293,43.9075910357
2010-12-06,INTU,0.532,-0.07,-0.102,0.112,0.89,-0.132,-0.22,25.419,4.139,5.56,8.275,43.7999858579,49.1989586928
2011-03-01,INTU,0.878,0.073,0.321,0.433,1.191,0.083,0.24,29.301,4.378,6.848,7.377,48.1135499426,50.4995777986
2011-06-01,INTU,1.848,0.688,0.936,1.369,0.973,0.372,2.27,25.209,4.271,5.746,9.31,49.8913746196,43.5005627544
2011-09-14,INTU,0.593,-0.057,-0.647,0.722,0.953,-0.096,-0.16,22.533,3.71,5.461,8.691,44.4362599528,49.9747000001
2011-12-01,INTU,0.594,-0.064,-0.389,0.333,0.983,-0.108,-0.21,24.579,4.02,6.663,7.87,49.6743261458,54.38940613
2012-02-29,INTU,1.019,0.118,-0.056,0.277,1.232,0.116,0.4,24.901,4.208,7.673,7.485,54.4458852641,53.2141859392
2012-05-25,INTU,1.945,0.734,0.582,0.859,0.805,0.377,2.49,22.678,3.994,5.847,9.61,53.2708068145,56.6918713912
2012-09-13,INTU,0.593,0.004,-0.466,0.393,0.707,0.007,0.02,22.365,4.267,6.455,9.365,56.7391776924,55.5782197602
